,summary,config
0,"{'_runtime': 16.18330192565918, '_timestamp': 1701881885.667282, 'lr': 1e-05, '_step': 199, 'val_acc': 1, 'test_acc': 0.9891304347826086, 'train_acc': 1, 'epoch': 199, '_wandb': {'runtime': 15}}","{'fold': 4, 'model': 'GlobalAttentionNet', 'epochs': 200, 'layers': 4, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 1, 'dataset_size': 200}"
1,"{'lr': 1e-05, '_wandb': {'runtime': 18}, '_runtime': 18.857060194015503, '_timestamp': 1701881887.5326662, '_step': 199, 'epoch': 199, 'val_acc': 0.98, 'test_acc': 0.9891304347826086, 'train_acc': 1}","{'fold': 4, 'model': 'SAGPool', 'epochs': 200, 'layers': 4, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 1, 'dataset_size': 200}"
2,"{'epoch': 199, '_wandb': {'runtime': 16}, 'val_acc': 1, 'test_acc': 1, 'train_acc': 1, '_timestamp': 1701881885.75128, 'lr': 1e-05, '_runtime': 16.751270055770874, '_step': 199}","{'fold': 4, 'model': 'GlobalAttentionNet', 'epochs': 200, 'layers': 4, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 0, 'dataset_size': 200}"
3,"{'train_acc': 1, '_timestamp': 1701881887.008693, '_step': 199, 'epoch': 199, '_wandb': {'runtime': 18}, 'test_acc': 0.9239130434782608, 'lr': 1e-05, 'val_acc': 0.96, '_runtime': 18.92653107643127}","{'fold': 4, 'model': 'SAGPool', 'epochs': 200, 'layers': 4, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 0, 'dataset_size': 200}"
4,"{'_runtime': 17.747977018356323, 'train_acc': 0.98, '_timestamp': 1701881883.728686, '_step': 199, 'epoch': 199, '_wandb': {'runtime': 17}, 'lr': 1e-05, 'val_acc': 0.98, 'test_acc': 0.9456521739130436}","{'fold': 4, 'model': 'GCN', 'epochs': 200, 'layers': 4, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 1, 'dataset_size': 200}"
5,"{'_runtime': 24.97984790802002, 'test_acc': 0.9782608695652174, 'train_acc': 1, '_timestamp': 1701881889.754221, '_step': 199, 'epoch': 199, '_wandb': {'runtime': 24}, 'val_acc': 0.98, 'lr': 1e-05}","{'fold': 4, 'model': 'GIN', 'epochs': 200, 'layers': 4, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 1, 'dataset_size': 200}"
6,"{'val_acc': 0.98, '_runtime': 18.51565003395081, 'test_acc': 0.9782608695652174, 'train_acc': 0.995, 'lr': 1e-05, '_step': 199, 'epoch': 199, '_wandb': {'runtime': 18}, '_timestamp': 1701881883.278434}","{'fold': 4, 'model': 'GCN', 'epochs': 200, 'layers': 4, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 0, 'dataset_size': 200}"
7,"{'_step': 199, '_runtime': 24.99933123588562, 'test_acc': 0.9891304347826086, '_timestamp': 1701881889.46972, 'lr': 1e-05, '_wandb': {'runtime': 24}, 'val_acc': 1, 'train_acc': 1, 'epoch': 199}","{'fold': 4, 'model': 'GIN', 'epochs': 200, 'layers': 4, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 0, 'dataset_size': 200}"
8,"{'_step': 199, 'epoch': 199, '_wandb': {'runtime': 15}, 'val_acc': 1, 'train_acc': 1, 'lr': 1e-05, '_runtime': 15.672859907150269, 'test_acc': 1, '_timestamp': 1701881853.5272908}","{'fold': 4, 'model': 'GlobalAttentionNet', 'epochs': 200, 'layers': 3, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 1, 'dataset_size': 200}"
9,"{'val_acc': 1, '_runtime': 16.471203804016113, 'test_acc': 1, '_timestamp': 1701881854.2372649, 'epoch': 199, '_wandb': {'runtime': 15}, 'train_acc': 1, 'lr': 1e-05, '_step': 199}","{'fold': 4, 'model': 'GlobalAttentionNet', 'epochs': 200, 'layers': 3, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 0, 'dataset_size': 200}"
