,_step,_wandb,val_acc,train_acc,_timestamp,lr,epoch,_runtime,test_acc,fold,model,layers,dataset,batch_size,hidden_dims,repetitions,dataset_size
0,199.0,{'runtime': 10},0.8378378378378378,0.8807947019867549,1702389363.162014,1e-05,199.0,11.005611896514893,0.75,4,GlobalAttentionNet,4,HotEdgesFull,32,64,"[1, 2]",150
1,199.0,{'runtime': 19},0.8648648648648649,0.8874172185430463,1702389370.643925,1e-05,199.0,20.302006006240845,0.7065217391304348,4,GINE,4,HotEdgesFull,32,64,"[1, 2]",150
2,199.0,{'runtime': 11},0.8378378378378378,0.8741721854304636,1702389359.664361,1e-05,199.0,12.146490097045898,0.8043478260869565,4,GlobalAttentionNet,3,HotEdgesFull,32,64,"[1, 2]",150
3,199.0,{'runtime': 20},0.8378378378378378,0.9735099337748344,1702389364.338361,1e-05,199.0,21.79617691040039,0.717391304347826,4,GINE,3,HotEdgesFull,32,64,"[1, 2]",150
4,199.0,{'runtime': 11},0.8648648648648649,0.8807947019867549,1702389352.05723,1e-05,199.0,11.75445795059204,0.782608695652174,4,GlobalAttentionNet,2,HotEdgesFull,32,64,"[1, 2]",150
5,199.0,{'runtime': 16},0.918918918918919,0.9933774834437086,1702389357.0493171,1e-05,199.0,17.569156169891357,0.9021739130434784,4,GINE,2,HotEdgesFull,32,64,"[1, 2]",150
6,199.0,{'runtime': 10},0.8648648648648649,0.8609271523178808,1702389340.1363468,1e-05,199.0,12.1542227268219,0.7608695652173914,4,GlobalAttentionNet,1,HotEdgesFull,32,64,"[1, 2]",150
7,199.0,{'runtime': 14},0.972972972972973,1.0,1702389341.6081762,1e-05,199.0,14.669260263442991,0.8913043478260869,4,GINE,1,HotEdgesFull,32,64,"[1, 2]",150
8,199.0,{'runtime': 13},0.8378378378378378,0.8807947019867549,1702389335.339547,1e-05,199.0,14.280807971954346,0.7717391304347826,4,GlobalAttentionNet,4,HotEdgesFull,32,32,"[1, 2]",150
9,199.0,{'runtime': 25},0.8108108108108109,0.9602649006622516,1702389344.042742,1e-05,199.0,26.272608995437626,0.7391304347826086,4,GINE,4,HotEdgesFull,32,32,"[1, 2]",150
10,199.0,{'runtime': 13},0.8378378378378378,0.8609271523178808,1702389331.8776882,1e-05,199.0,14.30579924583435,0.7608695652173914,4,GlobalAttentionNet,3,HotEdgesFull,32,32,"[1, 2]",150
11,199.0,{'runtime': 24},0.945945945945946,1.0,1702389339.356431,1e-05,199.0,25.298731088638306,0.9239130434782608,4,GINE,3,HotEdgesFull,32,32,"[1, 2]",150
12,199.0,{'runtime': 13},0.8378378378378378,0.8675496688741722,1702389326.8473332,1e-05,199.0,13.667737245559692,0.7934782608695652,4,GlobalAttentionNet,2,HotEdgesFull,32,32,"[1, 2]",150
13,199.0,{'runtime': 20},0.945945945945946,0.8807947019867549,1702389330.020043,1e-05,199.0,21.205766916275024,0.7391304347826086,4,GINE,2,HotEdgesFull,32,32,"[1, 2]",150
14,199.0,{'runtime': 10},0.8648648648648649,0.8344370860927153,1702389316.547164,1e-05,199.0,11.198256969451904,0.7934782608695652,4,GlobalAttentionNet,1,HotEdgesFull,32,32,"[1, 2]",150
15,199.0,{'runtime': 13},0.918918918918919,0.9668874172185432,1702389309.210837,1e-05,199.0,13.894868850708008,0.8260869565217391,4,GINE,1,HotEdgesFull,32,32,"[1, 2]",150
16,199.0,{'runtime': 12},0.8378378378378378,0.8675496688741722,1702389305.313288,1e-05,199.0,13.34563398361206,0.8152173913043478,4,GlobalAttentionNet,4,HotEdgesFull,32,16,"[1, 2]",150
17,199.0,{'runtime': 24},0.8108108108108109,0.8543046357615894,1702389317.008437,1e-05,199.0,25.068713903427124,0.75,4,GINE,4,HotEdgesFull,32,16,"[1, 2]",150
18,199.0,{'runtime': 13},0.8108108108108109,0.8543046357615894,1702389301.754909,1e-05,199.0,14.036440134048462,0.7608695652173914,4,GlobalAttentionNet,3,HotEdgesFull,32,16,"[1, 2]",150
19,199.0,{'runtime': 24},0.8378378378378378,0.9006622516556292,1702389306.80949,1e-05,199.0,25.1493718624115,0.717391304347826,4,GINE,3,HotEdgesFull,32,16,"[1, 2]",150
20,199.0,{'runtime': 13},0.8648648648648649,0.8741721854304636,1702389293.3452458,1e-05,199.0,14.052104949951172,0.7608695652173914,4,GlobalAttentionNet,2,HotEdgesFull,32,16,"[1, 2]",150
21,199.0,{'runtime': 21},0.8918918918918919,0.9867549668874172,1702389299.935607,1e-05,199.0,22.09987497329712,0.9130434782608696,4,GINE,2,HotEdgesFull,32,16,"[1, 2]",150
22,199.0,{'runtime': 10},0.8378378378378378,0.847682119205298,1702389285.4462788,1e-05,199.0,11.38033676147461,0.7934782608695652,4,GlobalAttentionNet,1,HotEdgesFull,32,16,"[1, 2]",150
23,199.0,{'runtime': 13},0.8648648648648649,0.9072847682119204,1702389280.070869,1e-05,199.0,14.230412006378174,0.8913043478260869,4,GINE,1,HotEdgesFull,32,16,"[1, 2]",150
24,199.0,{'runtime': 15},0.7297297297297297,0.9271523178807948,1702389281.635529,1e-05,199.0,15.92204213142395,0.75,3,GlobalAttentionNet,4,HotEdgesFull,32,64,"[1, 2]",150
25,199.0,{'runtime': 34},0.7297297297297297,0.9801324503311258,1702389298.376659,1e-05,199.0,35.36038684844971,0.7717391304347826,3,GINE,4,HotEdgesFull,32,64,"[1, 2]",150
26,199.0,{'runtime': 14},0.7297297297297297,0.9271523178807948,1702389268.485773,1e-05,199.0,15.04806399345398,0.7391304347826086,3,GlobalAttentionNet,3,HotEdgesFull,32,64,"[1, 2]",150
27,199.0,{'runtime': 25},0.7567567567567568,0.9602649006622516,1702389277.236601,1e-05,199.0,26.023033142089844,0.7717391304347826,3,GINE,3,HotEdgesFull,32,64,"[1, 2]",150
28,199.0,{'runtime': 12},0.7297297297297297,0.9072847682119204,1702389261.662977,1e-05,199.0,13.263561010360718,0.7608695652173914,3,GlobalAttentionNet,2,HotEdgesFull,32,64,"[1, 2]",150
29,199.0,{'runtime': 21},0.8918918918918919,0.9933774834437086,1702389267.389745,1e-05,199.0,22.26392507553101,0.8586956521739131,3,GINE,2,HotEdgesFull,32,64,"[1, 2]",150
30,199.0,{'runtime': 12},0.7567567567567568,0.8741721854304636,1702389256.986203,1e-05,199.0,12.67648196220398,0.75,3,GlobalAttentionNet,1,HotEdgesFull,32,64,"[1, 2]",150
31,199.0,{'runtime': 14},0.6756756756756757,0.9602649006622516,1702389253.8567731,1e-05,199.0,15.137668132781982,0.7717391304347826,3,GINE,1,HotEdgesFull,32,64,"[1, 2]",150
32,199.0,{'runtime': 11},0.7027027027027027,0.913907284768212,1702389248.962013,1e-05,199.0,12.232527017593384,0.75,3,GlobalAttentionNet,4,HotEdgesFull,32,32,"[1, 2]",150
33,199.0,{'runtime': 26},0.7567567567567568,0.9470198675496688,1702389263.942267,1e-05,199.0,27.33750605583191,0.717391304347826,3,GINE,4,HotEdgesFull,32,32,"[1, 2]",150
34,199.0,{'runtime': 10},0.7297297297297297,0.8874172185430463,1702389238.658048,1e-05,199.0,11.342103004455566,0.75,3,GlobalAttentionNet,3,HotEdgesFull,32,32,"[1, 2]",150
35,199.0,{'runtime': 19},0.8108108108108109,0.9933774834437086,1702389240.616653,1e-05,199.0,19.93146300315857,0.8260869565217391,3,GINE,3,HotEdgesFull,32,32,"[1, 2]",150
36,199.0,{'runtime': 10},0.7297297297297297,0.8940397350993378,1702389230.962263,1e-05,199.0,11.485328197479248,0.75,3,GlobalAttentionNet,2,HotEdgesFull,32,32,"[1, 2]",150
37,199.0,{'runtime': 18},0.918918918918919,0.9933774834437086,1702389236.7195892,1e-05,199.0,19.511072158813477,0.8260869565217391,3,GINE,2,HotEdgesFull,32,32,"[1, 2]",150
38,199.0,{'runtime': 12},0.7567567567567568,0.8675496688741722,1702389225.845147,1e-05,199.0,13.048162937164308,0.7608695652173914,3,GlobalAttentionNet,1,HotEdgesFull,32,32,"[1, 2]",150
39,199.0,{'runtime': 15},0.8378378378378378,0.9735099337748344,1702389227.104071,1e-05,199.0,16.357059955596924,0.8260869565217391,3,GINE,1,HotEdgesFull,32,32,"[1, 2]",150
40,199.0,{'runtime': 14},0.7297297297297297,0.8940397350993378,1702389225.152554,1e-05,199.0,14.647304058074951,0.7717391304347826,3,GlobalAttentionNet,4,HotEdgesFull,32,16,"[1, 2]",150
41,199.0,{'runtime': 25},0.6756756756756757,0.8807947019867549,1702389234.7340832,1e-05,199.0,26.05642819404602,0.7608695652173914,3,GINE,4,HotEdgesFull,32,16,"[1, 2]",150
42,199.0,{'runtime': 10},0.7567567567567568,0.8874172185430463,1702389207.8323789,1e-05,199.0,10.884549856185911,0.7608695652173914,3,GlobalAttentionNet,3,HotEdgesFull,32,16,"[1, 2]",150
43,199.0,{'runtime': 21},0.7567567567567568,0.9867549668874172,1702389212.61631,1e-05,199.0,21.82509422302246,0.8043478260869565,3,GINE,3,HotEdgesFull,32,16,"[1, 2]",150
44,199.0,{'runtime': 11},0.7027027027027027,0.8675496688741722,1702389201.893305,1e-05,199.0,11.982064008712769,0.7608695652173914,3,GlobalAttentionNet,2,HotEdgesFull,32,16,"[1, 2]",150
45,199.0,{'runtime': 19},0.7567567567567568,0.9536423841059604,1702389206.458851,1e-05,199.0,19.62330007553101,0.7934782608695652,3,GINE,2,HotEdgesFull,32,16,"[1, 2]",150
46,199.0,{'runtime': 12},0.7567567567567568,0.8543046357615894,1702389197.821415,1e-05,199.0,13.470793962478638,0.75,3,GlobalAttentionNet,1,HotEdgesFull,32,16,"[1, 2]",150
47,199.0,{'runtime': 16},0.7837837837837838,0.9205298013245032,1702389199.723296,1e-05,199.0,17.088083028793335,0.8152173913043478,3,GINE,1,HotEdgesFull,32,16,"[1, 2]",150
48,199.0,{'runtime': 16},0.8421052631578947,0.84,1702389198.104636,1e-05,199.0,17.178048849105835,0.7608695652173914,2,GlobalAttentionNet,4,HotEdgesFull,32,64,"[1, 2]",150
49,199.0,{'runtime': 29},0.868421052631579,0.94,1702389208.22326,1e-05,199.0,29.865063905715942,0.7934782608695652,2,GINE,4,HotEdgesFull,32,64,"[1, 2]",150
50,199.0,{'runtime': 13},0.868421052631579,0.88,1702389177.6308842,1e-05,199.0,13.864266157150269,0.75,2,GlobalAttentionNet,3,HotEdgesFull,32,64,"[1, 2]",150
51,199.0,{'runtime': 24},0.868421052631579,0.9933333333333332,1702389185.5519948,1e-05,199.0,25.092317819595337,0.782608695652174,2,GINE,3,HotEdgesFull,32,64,"[1, 2]",150
52,199.0,{'runtime': 14},0.868421052631579,0.8733333333333333,1702389172.254391,1e-05,199.0,14.977815866470335,0.75,2,GlobalAttentionNet,2,HotEdgesFull,32,64,"[1, 2]",150
53,199.0,{'runtime': 21},0.9473684210526316,1.0,1702389177.7501838,1e-05,199.0,21.592963933944706,0.9456521739130436,2,GINE,2,HotEdgesFull,32,64,"[1, 2]",150
54,199.0,{'runtime': 13},0.868421052631579,0.8533333333333334,1702389170.612299,1e-05,199.0,14.615659952163696,0.7934782608695652,2,GlobalAttentionNet,1,HotEdgesFull,32,64,"[1, 2]",150
55,199.0,{'runtime': 17},0.9473684210526316,0.9933333333333332,1702389171.777008,1e-05,199.0,18.47154712677002,0.8804347826086957,2,GINE,1,HotEdgesFull,32,64,"[1, 2]",150
56,199.0,{'runtime': 15},0.8157894736842105,0.88,1702389167.8791392,1e-05,199.0,15.71469521522522,0.7391304347826086,2,GlobalAttentionNet,4,HotEdgesFull,32,32,"[1, 2]",150
57,199.0,{'runtime': 29},0.8421052631578947,0.9133333333333332,1702389178.148528,1e-05,199.0,29.666452169418335,0.7608695652173914,2,GINE,4,HotEdgesFull,32,32,"[1, 2]",150
58,199.0,{'runtime': 10},0.868421052631579,0.8733333333333333,1702389145.918736,1e-05,199.0,11.38530707359314,0.7282608695652174,2,GlobalAttentionNet,3,HotEdgesFull,32,32,"[1, 2]",150
59,199.0,{'runtime': 19},0.9210526315789472,1.0,1702389153.007436,1e-05,199.0,20.329421997070312,0.9347826086956522,2,GINE,3,HotEdgesFull,32,32,"[1, 2]",150
60,199.0,{'runtime': 13},0.8157894736842105,0.8666666666666667,1702389141.248723,1e-05,199.0,13.695825099945068,0.7608695652173914,2,GlobalAttentionNet,2,HotEdgesFull,32,32,"[1, 2]",150
61,199.0,{'runtime': 12},0.8421052631578947,0.84,1702389139.639252,1e-05,199.0,13.329936027526855,0.7717391304347826,2,GlobalAttentionNet,1,HotEdgesFull,32,32,"[1, 2]",150
62,199.0,{'runtime': 18},0.8947368421052632,0.9466666666666668,1702389145.789685,1e-05,199.0,19.481836080551147,0.7717391304347826,2,GINE,2,HotEdgesFull,32,32,"[1, 2]",150
63,199.0,{'runtime': 16},0.8947368421052632,0.9866666666666668,1702389141.327474,1e-05,199.0,17.062074899673462,0.9130434782608696,2,GINE,1,HotEdgesFull,32,32,"[1, 2]",150
64,199.0,{'runtime': 14},0.7894736842105263,0.84,1702389137.421102,1e-05,199.0,14.981181144714355,0.75,2,GlobalAttentionNet,4,HotEdgesFull,32,16,"[1, 2]",150
65,199.0,{'runtime': 25},0.9210526315789472,0.9733333333333334,1702389145.0941389,1e-05,199.0,26.012884855270386,0.8369565217391305,2,GINE,4,HotEdgesFull,32,16,"[1, 2]",150
66,199.0,{'runtime': 11},0.8947368421052632,0.88,1702389116.97269,1e-05,199.0,11.606106758117676,0.782608695652174,2,GlobalAttentionNet,3,HotEdgesFull,32,16,"[1, 2]",150
67,199.0,{'runtime': 21},0.9210526315789472,0.98,1702389119.841394,1e-05,199.0,21.55911087989807,0.8369565217391305,2,GINE,3,HotEdgesFull,32,16,"[1, 2]",150
