,epoch,_wandb,val_acc,_runtime,test_acc,train_acc,lr,_step,_timestamp,fold,model,layers,dataset,batch_size,hidden_dims,repetitions,dataset_size
0,199.0,{'runtime': 15},1.0,16.18330192565918,0.9891304347826086,1.0,1e-05,199.0,1701881885.667282,4,GlobalAttentionNet,4,HotIn,32,64,1,200
1,199.0,{'runtime': 18},0.98,18.857060194015503,0.9891304347826086,1.0,1e-05,199.0,1701881887.5326662,4,SAGPool,4,HotIn,32,64,1,200
2,199.0,{'runtime': 16},1.0,16.751270055770874,1.0,1.0,1e-05,199.0,1701881885.75128,4,GlobalAttentionNet,4,HotIn,32,64,0,200
3,199.0,{'runtime': 18},0.96,18.92653107643127,0.9239130434782608,1.0,1e-05,199.0,1701881887.008693,4,SAGPool,4,HotIn,32,64,0,200
4,199.0,{'runtime': 17},0.98,17.747977018356323,0.9456521739130436,0.98,1e-05,199.0,1701881883.728686,4,GCN,4,HotIn,32,64,1,200
5,199.0,{'runtime': 24},0.98,24.97984790802002,0.9782608695652174,1.0,1e-05,199.0,1701881889.754221,4,GIN,4,HotIn,32,64,1,200
6,199.0,{'runtime': 18},0.98,18.51565003395081,0.9782608695652174,0.995,1e-05,199.0,1701881883.278434,4,GCN,4,HotIn,32,64,0,200
7,199.0,{'runtime': 24},1.0,24.99933123588562,0.9891304347826086,1.0,1e-05,199.0,1701881889.46972,4,GIN,4,HotIn,32,64,0,200
8,199.0,{'runtime': 15},1.0,15.672859907150269,1.0,1.0,1e-05,199.0,1701881853.5272908,4,GlobalAttentionNet,3,HotIn,32,64,1,200
9,199.0,{'runtime': 15},1.0,16.471203804016113,1.0,1.0,1e-05,199.0,1701881854.2372649,4,GlobalAttentionNet,3,HotIn,32,64,0,200
10,199.0,{'runtime': 17},1.0,17.757755041122437,0.9891304347826086,1.0,1e-05,199.0,1701881852.706878,4,GCN,3,HotIn,32,64,1,200
11,199.0,{'runtime': 19},0.98,19.73564505577087,0.9782608695652174,1.0,1e-05,199.0,1701881855.293524,4,SAGPool,3,HotIn,32,64,1,200
12,199.0,{'runtime': 19},0.98,19.6618709564209,0.9782608695652174,1.0,1e-05,199.0,1701881854.802281,4,SAGPool,3,HotIn,32,64,0,200
13,199.0,{'runtime': 22},1.0,22.913148164749146,0.9782608695652174,1.0,1e-05,199.0,1701881855.830402,4,GIN,3,HotIn,32,64,1,200
14,199.0,{'runtime': 16},1.0,17.392024040222168,0.967391304347826,1.0,1e-05,199.0,1701881851.857502,4,GCN,3,HotIn,32,64,0,200
15,199.0,{'runtime': 23},1.0,24.069222927093502,0.9891304347826086,1.0,1e-05,199.0,1701881856.151985,4,GIN,3,HotIn,32,64,0,200
16,199.0,{'runtime': 12},1.0,12.886033058166504,1.0,1.0,1e-05,199.0,1701881824.351773,4,GlobalAttentionNet,2,HotIn,32,64,1,200
17,199.0,{'runtime': 12},1.0,12.988338947296144,1.0,1.0,1e-05,199.0,1701881823.832507,4,GlobalAttentionNet,2,HotIn,32,64,0,200
18,199.0,{'runtime': 14},0.98,14.78250527381897,0.967391304347826,1.0,1e-05,199.0,1701881822.9023192,4,SAGPool,2,HotIn,32,64,0,200
19,199.0,{'runtime': 14},0.98,14.557740926742554,0.9782608695652174,1.0,1e-05,199.0,1701881822.779462,4,SAGPool,2,HotIn,32,64,1,200
20,199.0,{'runtime': 14},0.98,15.08981704711914,0.9891304347826086,0.995,1e-05,199.0,1701881822.860419,4,GCN,2,HotIn,32,64,1,200
21,199.0,{'runtime': 15},1.0,16.231575965881348,0.9891304347826086,0.995,1e-05,199.0,1701881821.795248,4,GCN,2,HotIn,32,64,0,200
22,199.0,{'runtime': 19},1.0,20.062586069107056,1.0,1.0,1e-05,199.0,1701881822.335691,4,GIN,2,HotIn,32,64,1,200
23,172.0,,0.98,17.76793599128723,0.9891304347826086,1.0,1e-05,172.0,1701881818.561501,4,GIN,2,HotIn,32,64,0,200
24,199.0,{'runtime': 9},1.0,10.51087999343872,0.9891304347826086,1.0,1e-05,199.0,1701881797.932426,4,GlobalAttentionNet,1,HotIn,32,64,1,200
25,199.0,{'runtime': 10},1.0,10.704859972000122,0.9891304347826086,1.0,1e-05,199.0,1701881797.592892,4,GlobalAttentionNet,1,HotIn,32,64,0,200
26,199.0,{'runtime': 10},0.98,11.165589094161987,0.967391304347826,1.0,1e-05,199.0,1701881796.839154,4,SAGPool,1,HotIn,32,64,1,200
27,199.0,{'runtime': 11},0.98,11.572865962982178,0.967391304347826,1.0,1e-05,199.0,1701881796.896733,4,SAGPool,1,HotIn,32,64,0,200
28,199.0,{'runtime': 11},1.0,12.342735052108765,1.0,0.995,1e-05,199.0,1701881796.631542,4,GCN,1,HotIn,32,64,1,200
29,199.0,{'runtime': 13},1.0,13.97899603843689,0.9891304347826086,0.995,1e-05,199.0,1701881793.895047,4,GCN,1,HotIn,32,64,0,200
