problemId,objectId,orient
2,o5,up
2,o2,up
2,o1,up
6,o5,down
6,o4,up
6,o1,up
9,o3,up
9,o2,down
12,o5,down
12,o1,down
14,o3,down
14,o1,down
15,o4,down
15,o2,up
17,o2,down
17,o1,down
20,o6,up
20,o5,up
20,o3,up
20,o1,up
24,o4,up
24,o2,up
24,o1,up
28,o1,up
29,o2,up
36,o3,up
37,o1,down
41,o1,down
50,o6,up
50,o4,down
50,o2,up
50,o1,down
55,o2,down
57,o1,up
59,o4,up
59,o3,down
62,o5,up
62,o4,down
62,o3,up
62,o1,down
63,o2,up
66,o2,up
67,o1,down
69,o2,up
69,o1,down
74,o5,up
74,o4,down
74,o2,down
74,o1,down
76,o4,up
76,o2,up
76,o1,down
77,o2,up
79,o5,up
79,o4,down
79,o3,down
79,o2,up
83,o3,up
83,o2,down
93,o3,up
95,o3,up
95,o1,down
99,o4,down
101,o4,down
101,o2,down
103,o1,up
104,o4,up
105,o2,up
106,o5,up
106,o4,up
107,o3,up
109,o1,up
110,o3,up
110,o1,up
111,o2,up
120,o1,down
121,o3,down
121,o1,down
127,o3,up
135,o5,down
135,o4,up
135,o3,down
140,o2,down
140,o1,down
143,o3,down
144,o5,down
156,o4,down
159,o6,up
159,o4,down
159,o1,up
167,o2,up
167,o1,down
168,o4,up
168,o3,down
168,o1,down
169,o6,up
169,o3,down
172,o2,up
178,o4,up
178,o3,up
178,o2,up
181,o2,up
190,o1,up
192,o1,down
193,o4,up
196,o1,up
198,o3,down
198,o2,down
202,o1,down
208,o2,down
211,o2,down
211,o1,down
214,o5,down
219,o3,up
219,o2,up
219,o1,down
222,o4,up
222,o2,down
222,o1,down
223,o2,up
223,o1,down
224,o2,up
225,o2,up
225,o1,up
227,o2,up
230,o2,up
230,o1,down
231,o2,up
231,o1,down
238,o5,up
238,o4,down
238,o3,down
238,o2,up
241,o5,up
241,o1,down
244,o3,down
244,o2,down
248,o2,up
248,o1,down
249,o1,down
256,o3,up
256,o2,up
256,o1,down
258,o4,up
258,o3,down
258,o1,down
260,o3,down
260,o2,up
260,o1,up
270,o3,up
270,o1,down
273,o3,down
282,o2,up
282,o1,up
286,o4,down
286,o2,down
287,o4,up
287,o2,down
288,o4,up
289,o6,up
289,o4,up
290,o5,down
290,o3,up
295,o5,down
295,o4,down
295,o3,down
295,o1,up
300,o2,down
300,o1,down
301,o5,up
301,o2,up
303,o1,up
304,o1,up
309,o3,down
314,o4,down
314,o3,down
314,o2,down
316,o3,up
316,o2,up
319,o5,down
319,o4,down
321,o2,down
324,o3,down
329,o3,up
331,o4,up
331,o3,up
331,o2,down
331,o1,down
334,o4,up
337,o2,down
343,o6,down
343,o5,up
345,o4,up
345,o2,up
352,o6,down
352,o4,up
355,o1,up
358,o3,up
358,o2,up
358,o1,down
366,o5,down
366,o3,down
366,o2,down
366,o1,up
369,o6,down
369,o2,up
370,o3,down
373,o3,up
373,o2,down
375,o4,down
375,o2,up
375,o1,up
376,o3,down
379,o3,up
379,o2,up
379,o1,up
381,o2,down
381,o1,up
382,o3,up
390,o4,down
390,o2,down
390,o1,down
393,o3,up
402,o5,down
402,o3,down
402,o2,up
411,o4,down
417,o6,up
417,o2,up
420,o4,up
420,o3,up
420,o2,up
420,o1,down
421,o1,up
425,o3,up
427,o2,up
427,o1,up
428,o1,down
431,o1,up
433,o6,down
437,o2,up
444,o3,down
444,o1,up
445,o4,up
445,o3,down
447,o2,up
447,o1,down
453,o5,down
453,o4,down
453,o3,up
453,o2,up
453,o1,up
456,o3,up
456,o2,up
457,o3,up
457,o2,up
459,o6,down
459,o5,up
459,o2,down
462,o1,down
463,o5,down
464,o4,down
464,o2,up
464,o1,up
465,o3,down
465,o2,down
470,o4,down
473,o3,up
474,o6,up
476,o5,down
477,o3,up
477,o1,up
479,o1,up
481,o2,down
482,o4,up
482,o3,up
482,o1,up
485,o2,down
488,o4,down
489,o3,down
490,o5,down
491,o2,up
494,o2,up
497,o2,up
499,o4,down
512,o1,down
513,o6,up
513,o3,up
513,o2,up
516,o1,down
517,o3,down
520,o2,down
520,o1,down
527,o4,up
527,o1,up
529,o3,up
533,o4,up
539,o5,down
542,o3,up
542,o1,down
543,o4,up
550,o4,up
552,o3,down
552,o1,up
555,o3,down
559,o1,up
565,o6,down
565,o5,up
565,o2,up
567,o1,down
568,o3,up
568,o1,up
572,o4,down
572,o3,down
572,o1,up
578,o1,up
582,o4,down
582,o3,up
582,o1,down
591,o1,up
595,o3,down
595,o2,down
595,o1,up
597,o2,up
602,o4,down
602,o2,up
612,o5,down
614,o3,up
615,o1,up
617,o4,down
622,o2,down
622,o1,down
628,o5,down
634,o5,up
634,o4,down
634,o3,up
635,o5,down
635,o3,up
637,o1,up
639,o5,up
639,o1,up
640,o4,up
640,o3,down
640,o2,down
641,o1,up
642,o4,up
647,o4,up
647,o3,down
648,o6,down
648,o5,down
649,o3,up
650,o1,up
654,o4,up
656,o1,down
657,o2,up
667,o4,down
667,o2,up
667,o1,down
669,o1,down
671,o3,up
679,o2,up
682,o4,up
682,o2,up
683,o2,down
685,o2,up
685,o1,up
686,o3,up
686,o1,down
691,o3,up
693,o6,up
693,o1,down
698,o6,up
700,o2,down
705,o3,up
708,o5,up
709,o3,down
710,o3,down
710,o1,down
719,o2,down
722,o4,down
722,o2,up
723,o2,down
725,o2,down
725,o1,down
732,o4,down
732,o3,up
734,o2,down
737,o1,down
741,o5,up
741,o1,down
743,o2,down
744,o5,down
744,o3,down
744,o1,down
745,o1,up
748,o3,down
748,o1,up
750,o3,up
750,o2,up
751,o2,down
753,o5,up
754,o2,up
754,o1,up
755,o2,up
765,o2,down
766,o3,up
766,o1,down
768,o3,down
768,o2,down
768,o1,up
772,o2,down
772,o1,down
773,o4,up
777,o3,up
779,o4,down
779,o3,up
781,o6,up
781,o3,up
781,o2,up
787,o5,down
787,o4,down
794,o3,up
794,o1,down
795,o3,down
795,o1,up
803,o4,up
805,o5,down
805,o3,down
805,o2,up
805,o1,up
807,o4,up
807,o3,down
816,o6,up
816,o5,down
816,o4,up
816,o1,up
818,o1,up
829,o1,down
832,o3,down
833,o3,up
835,o6,down
835,o4,up
835,o3,up
835,o1,down
837,o5,down
837,o4,down
837,o2,down
838,o3,up
838,o2,up
841,o5,down
841,o4,down
844,o3,up
845,o4,up
845,o2,down
848,o3,down
848,o1,down
849,o5,down
849,o4,up
849,o2,up
856,o2,down
862,o2,down
864,o2,up
867,o2,up
874,o3,down
874,o2,down
880,o4,up
880,o3,up
882,o4,down
887,o4,down
887,o2,up
890,o3,down
892,o5,down
892,o2,up
893,o2,up
893,o1,down
897,o4,up
897,o2,up
900,o5,down
900,o3,up
909,o4,up
909,o3,up
910,o4,down
912,o5,down
912,o4,up
912,o2,up
915,o5,up
915,o3,down
917,o3,up
917,o1,up
927,o5,down
927,o3,up
930,o3,up
930,o2,up
931,o1,up
932,o5,down
932,o3,down
932,o2,up
933,o1,down
938,o4,down
938,o3,up
938,o1,down
939,o2,up
940,o4,down
940,o3,up
940,o1,up
941,o3,down
944,o1,down
945,o1,down
946,o5,up
946,o3,down
946,o2,down
947,o3,down
947,o2,down
955,o5,down
955,o3,up
957,o6,down
957,o2,up
957,o1,up
971,o4,down
971,o3,up
971,o2,down
973,o2,down
975,o2,down
975,o1,up
978,o2,down
978,o1,up
979,o1,up
989,o2,up
991,o4,down
991,o2,up
991,o1,down
995,o6,up
995,o5,up
997,o1,down
1000,o5,up
1000,o4,up
1000,o2,down
