id,objectId
2,o4
3,o2
5,o3
5,o2
5,o1
6,o2
9,o1
12,o4
20,o4
20,o2
25,o2
25,o1
28,o5
28,o4
29,o1
31,o3
31,o2
37,o6
37,o4
37,o2
40,o3
40,o2
41,o3
50,o5
52,o3
55,o1
57,o2
59,o5
62,o2
63,o1
65,o2
65,o1
67,o2
74,o3
76,o6
76,o5
76,o3
77,o3
77,o1
79,o1
83,o1
93,o4
95,o5
95,o4
95,o2
99,o3
99,o2
101,o6
101,o5
103,o3
103,o2
104,o2
105,o1
106,o1
107,o4
107,o1
109,o4
109,o2
111,o6
111,o4
111,o3
111,o1
112,o4
112,o2
117,o2
117,o1
120,o2
121,o2
125,o2
125,o1
126,o1
127,o2
127,o1
128,o1
135,o2
135,o1
137,o6
140,o3
144,o3
144,o2
144,o1
151,o1
154,o3
155,o3
155,o1
156,o6
156,o5
156,o3
159,o5
159,o3
159,o2
168,o2
169,o5
172,o4
176,o2
177,o2
178,o1
184,o2
190,o2
192,o2
193,o2
194,o3
196,o3
198,o1
202,o3
202,o2
208,o4
208,o3
209,o5
209,o4
214,o4
214,o2
214,o1
219,o4
222,o3
224,o5
224,o4
224,o3
224,o1
230,o5
230,o4
230,o3
233,o2
241,o3
244,o5
244,o4
244,o1
249,o3
250,o6
250,o3
250,o1
260,o4
268,o5
268,o2
268,o1
270,o2
273,o4
273,o2
273,o1
280,o3
280,o2
280,o1
286,o1
287,o3
288,o2
288,o1
289,o5
289,o3
289,o2
290,o1
300,o3
301,o6
301,o4
301,o3
304,o3
304,o2
307,o3
307,o1
314,o5
316,o4
319,o3
319,o2
324,o5
324,o4
324,o2
324,o1
326,o6
326,o3
326,o2
327,o2
328,o2
329,o1
334,o2
334,o1
337,o1
343,o4
343,o3
343,o2
345,o1
348,o4
348,o3
348,o2
352,o2
352,o1
353,o2
353,o1
355,o2
358,o5
366,o6
369,o4
369,o3
369,o1
370,o4
370,o2
370,o1
373,o1
376,o4
376,o2
376,o1
378,o3
378,o1
381,o4
381,o3
382,o2
382,o1
393,o2
393,o1
402,o4
404,o3
408,o2
408,o1
411,o1
412,o4
412,o1
416,o3
416,o2
417,o5
417,o4
417,o1
419,o2
421,o2
424,o2
425,o1
427,o6
427,o4
427,o3
428,o3
428,o2
431,o2
432,o3
433,o5
433,o3
433,o1
445,o5
445,o2
445,o1
447,o5
447,o4
447,o3
456,o1
457,o4
457,o1
462,o2
463,o6
463,o4
463,o3
463,o1
464,o3
465,o1
470,o3
473,o4
473,o2
474,o5
474,o4
474,o2
476,o4
476,o1
477,o4
477,o2
483,o2
483,o1
488,o2
489,o2
489,o1
490,o1
491,o1
494,o1
497,o1
499,o5
499,o3
499,o2
499,o1
500,o1
512,o2
513,o5
513,o4
513,o1
516,o3
517,o5
517,o4
517,o2
517,o1
521,o4
521,o3
521,o1
527,o2
529,o4
529,o2
533,o3
533,o2
533,o1
539,o6
539,o3
539,o2
539,o1
542,o5
542,o4
543,o3
544,o4
544,o1
546,o3
550,o3
550,o1
555,o4
555,o2
559,o3
565,o3
567,o2
568,o6
568,o5
568,o4
572,o2
578,o2
583,o3
583,o1
591,o2
595,o4
597,o3
597,o1
600,o2
600,o1
612,o3
612,o2
612,o1
614,o2
614,o1
615,o2
617,o5
617,o3
617,o2
617,o1
628,o3
628,o2
628,o1
634,o6
634,o1
635,o2
637,o2
639,o4
639,o2
640,o5
640,o1
642,o5
642,o3
642,o1
647,o2
647,o1
648,o4
649,o4
649,o1
650,o3
650,o2
656,o2
657,o1
658,o4
658,o2
662,o3
669,o4
669,o3
669,o2
671,o5
671,o4
671,o1
679,o1
682,o3
682,o1
683,o4
685,o6
686,o2
691,o5
691,o2
693,o5
693,o4
693,o2
698,o4
698,o3
698,o2
698,o1
701,o4
708,o4
708,o1
709,o1
710,o4
710,o2
719,o4
719,o3
722,o3
722,o1
728,o2
734,o4
737,o4
737,o2
740,o2
740,o1
741,o3
743,o1
744,o4
744,o2
745,o2
747,o2
747,o1
748,o5
750,o4
750,o1
751,o1
753,o4
753,o3
753,o2
753,o1
754,o3
765,o1
766,o2
768,o6
768,o5
772,o5
772,o3
773,o5
773,o3
773,o1
779,o5
779,o2
779,o1
780,o5
780,o4
781,o5
781,o4
787,o6
787,o3
787,o1
794,o2
797,o2
803,o2
803,o1
805,o4
807,o5
814,o2
814,o1
815,o3
815,o1
816,o2
818,o2
819,o3
819,o2
822,o3
822,o2
822,o1
829,o3
829,o2
832,o5
832,o1
835,o5
836,o6
836,o5
836,o3
836,o2
837,o3
837,o1
838,o4
838,o1
841,o3
844,o6
844,o5
844,o1
846,o5
846,o4
846,o3
846,o2
846,o1
847,o3
847,o1
849,o1
856,o1
859,o2
862,o3
862,o1
864,o1
867,o3
872,o3
874,o1
876,o2
887,o3
887,o1
890,o2
890,o1
892,o3
892,o1
897,o6
897,o5
897,o3
897,o1
900,o6
900,o4
900,o2
900,o1
904,o3
909,o5
909,o2
910,o3
910,o1
912,o3
915,o4
917,o2
926,o4
926,o3
926,o2
929,o2
930,o1
931,o2
932,o4
933,o3
933,o2
938,o2
939,o1
941,o1
945,o5
945,o4
945,o3
955,o4
955,o2
957,o3
961,o4
971,o1
973,o4
974,o4
975,o3
984,o2
991,o5
991,o3
995,o4
995,o3
997,o3
997,o2
1000,o6
