id,class
2,pos
3,neg
5,neg
6,pos
9,pos
12,neg
14,neg
20,pos
28,neg
29,neg
31,neg
36,neg
37,neg
40,neg
50,pos
52,neg
55,neg
56,neg
57,neg
59,neg
63,neg
66,neg
69,pos
74,pos
76,pos
77,neg
79,pos
83,pos
93,neg
95,pos
99,neg
101,neg
103,pos
104,pos
105,neg
106,pos
107,pos
109,neg
111,neg
112,neg
120,pos
121,neg
125,neg
126,neg
127,neg
128,neg
131,neg
135,pos
137,neg
140,neg
143,neg
144,neg
151,neg
154,neg
155,neg
156,neg
159,neg
167,pos
168,pos
169,neg
172,neg
175,neg
176,neg
177,neg
178,pos
181,neg
188,neg
190,neg
192,pos
193,neg
194,neg
196,neg
198,pos
206,neg
208,neg
209,neg
211,pos
219,pos
223,pos
225,pos
227,pos
230,neg
233,neg
241,neg
243,neg
244,pos
248,pos
249,neg
250,neg
256,pos
258,pos
260,pos
268,neg
270,pos
273,neg
280,neg
282,pos
286,neg
287,neg
288,pos
289,neg
290,neg
295,pos
301,neg
303,neg
304,neg
309,neg
314,pos
316,neg
319,pos
321,neg
326,neg
328,neg
331,pos
337,neg
343,pos
345,pos
348,neg
353,neg
358,pos
366,pos
370,neg
373,pos
375,pos
376,neg
378,neg
381,pos
382,pos
390,pos
393,neg
402,pos
404,neg
408,neg
411,neg
412,neg
416,neg
419,neg
420,pos
421,neg
424,neg
428,pos
431,neg
433,pos
437,neg
444,neg
447,neg
453,pos
456,pos
457,neg
459,pos
462,neg
465,pos
468,neg
470,neg
473,neg
474,neg
477,neg
479,pos
481,neg
482,pos
485,neg
488,neg
489,neg
491,neg
499,neg
500,neg
512,neg
513,neg
516,pos
517,neg
521,neg
527,pos
529,neg
531,neg
534,neg
540,neg
542,neg
544,neg
546,neg
550,pos
552,pos
555,neg
565,pos
567,pos
568,pos
572,pos
578,neg
582,pos
583,neg
591,neg
595,pos
597,pos
600,neg
602,pos
609,neg
612,neg
614,neg
615,neg
616,neg
617,neg
625,neg
637,neg
639,pos
640,pos
642,pos
647,pos
648,pos
650,pos
654,neg
656,neg
657,pos
658,neg
662,neg
667,pos
669,neg
671,neg
679,neg
683,neg
685,pos
686,pos
693,neg
698,neg
700,neg
709,neg
710,neg
722,neg
723,neg
732,neg
734,neg
740,neg
741,neg
743,neg
744,neg
745,pos
747,neg
748,neg
750,neg
755,neg
765,neg
766,neg
768,pos
769,neg
773,neg
777,neg
779,neg
780,neg
781,neg
787,pos
795,neg
797,neg
803,neg
807,neg
814,neg
815,neg
818,neg
819,neg
822,neg
829,neg
833,neg
835,pos
836,neg
837,pos
844,pos
845,neg
846,neg
848,neg
849,pos
856,neg
859,neg
862,neg
864,pos
867,neg
876,neg
880,pos
882,neg
892,neg
893,pos
897,neg
899,neg
904,neg
909,pos
910,pos
917,neg
926,neg
927,neg
929,neg
930,pos
931,neg
932,pos
933,neg
938,pos
939,neg
941,neg
945,neg
946,pos
955,neg
957,pos
961,neg
973,neg
974,neg
977,neg
978,pos
979,pos
984,neg
989,neg
991,pos
995,pos
997,neg
1000,neg
