problemId,objectId
2,o5
2,o2
2,o1
6,o5
6,o4
6,o1
9,o3
9,o2
12,o5
12,o1
14,o3
14,o1
15,o4
15,o2
17,o2
17,o1
20,o6
20,o5
20,o3
20,o1
24,o4
24,o2
24,o1
28,o1
29,o2
36,o3
37,o1
41,o1
50,o6
50,o4
50,o2
50,o1
55,o2
57,o1
59,o4
59,o3
62,o5
62,o4
62,o3
62,o1
63,o2
66,o2
67,o1
69,o2
69,o1
74,o5
74,o4
74,o2
74,o1
76,o4
76,o2
76,o1
77,o2
79,o5
79,o4
79,o3
79,o2
83,o3
83,o2
93,o3
95,o3
95,o1
99,o4
101,o4
101,o2
103,o1
104,o4
105,o2
106,o5
106,o4
107,o3
109,o1
110,o3
110,o1
111,o2
120,o1
121,o3
121,o1
127,o3
135,o5
135,o4
135,o3
140,o2
140,o1
143,o3
144,o5
156,o4
159,o6
159,o4
159,o1
167,o2
167,o1
168,o4
168,o3
168,o1
169,o6
169,o3
172,o2
178,o4
178,o3
178,o2
181,o2
190,o1
192,o1
193,o4
196,o1
198,o3
198,o2
202,o1
208,o2
211,o2
211,o1
214,o5
219,o3
219,o2
219,o1
222,o4
222,o2
222,o1
223,o2
223,o1
224,o2
225,o2
225,o1
227,o2
230,o2
230,o1
231,o2
231,o1
238,o5
238,o4
238,o3
238,o2
241,o5
241,o1
244,o3
244,o2
248,o2
248,o1
249,o1
256,o3
256,o2
256,o1
258,o4
258,o3
258,o1
260,o3
260,o2
260,o1
270,o3
270,o1
273,o3
282,o2
282,o1
286,o4
286,o2
287,o4
287,o2
288,o4
289,o6
289,o4
290,o5
290,o3
295,o5
295,o4
295,o3
295,o1
300,o2
300,o1
301,o5
301,o2
303,o1
304,o1
309,o3
314,o4
314,o3
314,o2
316,o3
316,o2
319,o5
319,o4
321,o2
324,o3
329,o3
331,o4
331,o3
331,o2
331,o1
334,o4
337,o2
343,o6
343,o5
345,o4
345,o2
352,o6
352,o4
355,o1
358,o3
358,o2
358,o1
366,o5
366,o3
366,o2
366,o1
369,o6
369,o2
370,o3
373,o3
373,o2
375,o4
375,o2
375,o1
376,o3
379,o3
379,o2
379,o1
381,o2
381,o1
382,o3
390,o4
390,o2
390,o1
393,o3
402,o5
402,o3
402,o2
411,o4
417,o6
417,o2
420,o4
420,o3
420,o2
420,o1
421,o1
425,o3
427,o2
427,o1
428,o1
431,o1
433,o6
437,o2
444,o3
444,o1
445,o4
445,o3
447,o2
447,o1
453,o5
453,o4
453,o3
453,o2
453,o1
456,o3
456,o2
457,o3
457,o2
459,o6
459,o5
459,o2
462,o1
463,o5
464,o4
464,o2
464,o1
465,o3
465,o2
470,o4
473,o3
474,o6
476,o5
477,o3
477,o1
479,o1
481,o2
482,o4
482,o3
482,o1
485,o2
488,o4
489,o3
490,o5
491,o2
494,o2
497,o2
499,o4
512,o1
513,o6
513,o3
513,o2
516,o1
517,o3
520,o2
520,o1
527,o4
527,o1
529,o3
533,o4
539,o5
542,o3
542,o1
543,o4
550,o4
552,o3
552,o1
555,o3
559,o1
565,o6
565,o5
565,o2
567,o1
568,o3
568,o1
572,o4
572,o3
572,o1
578,o1
582,o4
582,o3
582,o1
591,o1
595,o3
595,o2
595,o1
597,o2
602,o4
602,o2
612,o5
614,o3
615,o1
617,o4
622,o2
622,o1
628,o5
634,o5
634,o4
634,o3
635,o5
635,o3
637,o1
639,o5
639,o1
640,o4
640,o3
640,o2
641,o1
642,o4
647,o4
647,o3
648,o6
648,o5
649,o3
650,o1
654,o4
656,o1
657,o2
667,o4
667,o2
667,o1
669,o1
671,o3
679,o2
682,o4
682,o2
683,o2
685,o2
685,o1
686,o3
686,o1
691,o3
693,o6
693,o1
698,o6
700,o2
705,o3
708,o5
709,o3
710,o3
710,o1
719,o2
722,o4
722,o2
723,o2
725,o2
725,o1
732,o4
732,o3
734,o2
737,o1
741,o5
741,o1
743,o2
744,o5
744,o3
744,o1
745,o1
748,o3
748,o1
750,o3
750,o2
751,o2
753,o5
754,o2
754,o1
755,o2
765,o2
766,o3
766,o1
768,o3
768,o2
768,o1
772,o2
772,o1
773,o4
777,o3
779,o4
779,o3
781,o6
781,o3
781,o2
787,o5
787,o4
794,o3
794,o1
795,o3
795,o1
803,o4
805,o5
805,o3
805,o2
805,o1
807,o4
807,o3
816,o6
816,o5
816,o4
816,o1
818,o1
829,o1
832,o3
833,o3
835,o6
835,o4
835,o3
835,o1
837,o5
837,o4
837,o2
838,o3
838,o2
841,o5
841,o4
844,o3
845,o4
845,o2
848,o3
848,o1
849,o5
849,o4
849,o2
856,o2
862,o2
864,o2
867,o2
874,o3
874,o2
880,o4
880,o3
882,o4
887,o4
887,o2
890,o3
892,o5
892,o2
893,o2
893,o1
897,o4
897,o2
900,o5
900,o3
909,o4
909,o3
910,o4
912,o5
912,o4
912,o2
915,o5
915,o3
917,o3
917,o1
927,o5
927,o3
930,o3
930,o2
931,o1
932,o5
932,o3
932,o2
933,o1
938,o4
938,o3
938,o1
939,o2
940,o4
940,o3
940,o1
941,o3
944,o1
945,o1
946,o5
946,o3
946,o2
947,o3
947,o2
955,o5
955,o3
957,o6
957,o2
957,o1
971,o4
971,o3
971,o2
973,o2
975,o2
975,o1
978,o2
978,o1
979,o1
989,o2
991,o4
991,o2
991,o1
995,o6
995,o5
997,o1
1000,o5
1000,o4
1000,o2
