dataset,representation,graph_kernel,C,svm_kernel,train_accuracy,test_accuracy
bongard,node_only,shortest_path,10.0,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_only,weisfeiler_lehman,10.0,precomputed,0.8478964401294499,0.7108433734939759
bongard,node_only,graphlet_sampling,10.0,precomputed,0.6893203883495146,0.6867469879518072
bongard,node_only,shortest_path,1.0,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_only,weisfeiler_lehman,1.0,precomputed,0.8478964401294499,0.7108433734939759
bongard,node_only,graphlet_sampling,1.0,precomputed,0.6893203883495146,0.6867469879518072
bongard,node_only,shortest_path,0.1,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_only,weisfeiler_lehman,0.1,precomputed,0.8478964401294499,0.7108433734939759
bongard,node_only,graphlet_sampling,0.1,precomputed,0.6893203883495146,0.6867469879518072
bongard,node_edge,shortest_path,10.0,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_edge,weisfeiler_lehman,10.0,precomputed,0.8737864077669902,0.9156626506024096
bongard,node_edge,graphlet_sampling,10.0,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_edge,shortest_path,1.0,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_edge,weisfeiler_lehman,1.0,precomputed,0.8737864077669902,0.9156626506024096
bongard,node_edge,graphlet_sampling,1.0,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_edge,shortest_path,0.1,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_edge,weisfeiler_lehman,0.1,precomputed,0.8737864077669902,0.9156626506024096
bongard,node_edge,graphlet_sampling,0.1,precomputed,0.6731391585760518,0.6746987951807228
bongard,edge_based,shortest_path,10.0,precomputed,0.6957928802588996,0.6746987951807228
bongard,edge_based,weisfeiler_lehman,10.0,precomputed,0.912621359223301,0.8313253012048193
bongard,edge_based,graphlet_sampling,10.0,precomputed,0.7249190938511327,0.7349397590361446
bongard,edge_based,shortest_path,1.0,precomputed,0.6957928802588996,0.6746987951807228
bongard,edge_based,weisfeiler_lehman,1.0,precomputed,0.912621359223301,0.8313253012048193
bongard,edge_based,graphlet_sampling,1.0,precomputed,0.7281553398058253,0.7349397590361446
bongard,edge_based,shortest_path,0.1,precomputed,0.7055016181229773,0.6144578313253012
bongard,edge_based,weisfeiler_lehman,0.1,precomputed,0.9093851132686084,0.8554216867469879
bongard,edge_based,graphlet_sampling,0.1,precomputed,0.7152103559870551,0.7108433734939759
bongard,Klog,shortest_path,10.0,precomputed,0.6731391585760518,0.6746987951807228
bongard,Klog,weisfeiler_lehman,10.0,precomputed,0.8737864077669902,0.9156626506024096
bongard,Klog,graphlet_sampling,10.0,precomputed,0.6731391585760518,0.6746987951807228
bongard,Klog,shortest_path,1.0,precomputed,0.6731391585760518,0.6746987951807228
bongard,Klog,weisfeiler_lehman,1.0,precomputed,0.8737864077669902,0.9156626506024096
bongard,Klog,graphlet_sampling,1.0,precomputed,0.6731391585760518,0.6746987951807228
bongard,Klog,shortest_path,0.1,precomputed,0.6731391585760518,0.6746987951807228
bongard,Klog,weisfeiler_lehman,0.1,precomputed,0.8737864077669902,0.9156626506024096
bongard,Klog,graphlet_sampling,0.1,precomputed,0.6731391585760518,0.6746987951807228
