dataset,representation,graph_kernel,C,svm_kernel,train_accuracy,test_accuracy
bongard,node_only,shortest_path,10.0,linear,0.6731391585760518,0.6746987951807228
bongard,node_only,weisfeiler_lehman,10.0,linear,0.8446601941747572,0.7710843373493976
bongard,node_only,graphlet_sampling,10.0,linear,0.6731391585760518,0.6746987951807228
bongard,node_only,shortest_path,10.0,poly,0.6893203883495146,0.6867469879518072
bongard,node_only,weisfeiler_lehman,10.0,poly,0.8446601941747572,0.7710843373493976
bongard,node_only,graphlet_sampling,10.0,poly,0.6893203883495146,0.6867469879518072
bongard,node_only,shortest_path,10.0,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_only,weisfeiler_lehman,10.0,precomputed,0.8446601941747572,0.7590361445783133
bongard,node_only,graphlet_sampling,10.0,precomputed,0.6893203883495146,0.6867469879518072
bongard,node_only,shortest_path,10.0,rbf,0.6893203883495146,0.6867469879518072
bongard,node_only,weisfeiler_lehman,10.0,rbf,0.8446601941747572,0.7710843373493976
bongard,node_only,graphlet_sampling,10.0,rbf,0.6893203883495146,0.6867469879518072
bongard,node_only,shortest_path,1.0,linear,0.6731391585760518,0.6746987951807228
bongard,node_only,weisfeiler_lehman,1.0,linear,0.8446601941747572,0.7710843373493976
bongard,node_only,graphlet_sampling,1.0,linear,0.6731391585760518,0.6746987951807228
bongard,node_only,shortest_path,1.0,poly,0.6893203883495146,0.6867469879518072
bongard,node_only,weisfeiler_lehman,1.0,poly,0.8446601941747572,0.7710843373493976
bongard,node_only,graphlet_sampling,1.0,poly,0.6893203883495146,0.6867469879518072
bongard,node_only,shortest_path,1.0,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_only,weisfeiler_lehman,1.0,precomputed,0.8446601941747572,0.7590361445783133
bongard,node_only,graphlet_sampling,1.0,precomputed,0.6893203883495146,0.6867469879518072
bongard,node_only,shortest_path,1.0,rbf,0.6893203883495146,0.6867469879518072
bongard,node_only,weisfeiler_lehman,1.0,rbf,0.8446601941747572,0.7710843373493976
bongard,node_only,graphlet_sampling,1.0,rbf,0.6893203883495146,0.6867469879518072
bongard,node_only,shortest_path,0.1,linear,0.6731391585760518,0.6746987951807228
bongard,node_only,weisfeiler_lehman,0.1,linear,0.8220064724919094,0.7469879518072289
bongard,node_only,graphlet_sampling,0.1,linear,0.6731391585760518,0.6746987951807228
bongard,node_only,shortest_path,0.1,poly,0.6893203883495146,0.6867469879518072
bongard,node_only,weisfeiler_lehman,0.1,poly,0.8058252427184466,0.7228915662650602
bongard,node_only,graphlet_sampling,0.1,poly,0.6893203883495146,0.6867469879518072
bongard,node_only,shortest_path,0.1,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_only,weisfeiler_lehman,0.1,precomputed,0.7249190938511327,0.6867469879518072
bongard,node_only,graphlet_sampling,0.1,precomputed,0.6893203883495146,0.6867469879518072
bongard,node_only,shortest_path,0.1,rbf,0.6731391585760518,0.6746987951807228
bongard,node_only,weisfeiler_lehman,0.1,rbf,0.7249190938511327,0.6867469879518072
bongard,node_only,graphlet_sampling,0.1,rbf,0.6731391585760518,0.6746987951807228
bongard,node_edge,shortest_path,10.0,linear,0.6731391585760518,0.6746987951807228
bongard,node_edge,weisfeiler_lehman,10.0,linear,0.8932038834951457,0.8433734939759037
bongard,node_edge,graphlet_sampling,10.0,linear,0.6731391585760518,0.6746987951807228
bongard,node_edge,shortest_path,10.0,poly,0.6731391585760518,0.6746987951807228
bongard,node_edge,weisfeiler_lehman,10.0,poly,0.9158576051779935,0.8072289156626506
bongard,node_edge,graphlet_sampling,10.0,poly,0.6731391585760518,0.6746987951807228
bongard,node_edge,shortest_path,10.0,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_edge,weisfeiler_lehman,10.0,precomputed,0.8932038834951457,0.8433734939759037
bongard,node_edge,graphlet_sampling,10.0,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_edge,shortest_path,10.0,rbf,0.6893203883495146,0.6867469879518072
bongard,node_edge,weisfeiler_lehman,10.0,rbf,0.9158576051779935,0.8072289156626506
bongard,node_edge,graphlet_sampling,10.0,rbf,0.6731391585760518,0.6746987951807228
bongard,node_edge,shortest_path,1.0,linear,0.6731391585760518,0.6746987951807228
bongard,node_edge,weisfeiler_lehman,1.0,linear,0.8932038834951457,0.8433734939759037
bongard,node_edge,graphlet_sampling,1.0,linear,0.6731391585760518,0.6746987951807228
bongard,node_edge,shortest_path,1.0,poly,0.6731391585760518,0.6746987951807228
bongard,node_edge,weisfeiler_lehman,1.0,poly,0.912621359223301,0.8072289156626506
bongard,node_edge,graphlet_sampling,1.0,poly,0.6731391585760518,0.6746987951807228
bongard,node_edge,shortest_path,1.0,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_edge,weisfeiler_lehman,1.0,precomputed,0.8932038834951457,0.8433734939759037
bongard,node_edge,graphlet_sampling,1.0,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_edge,shortest_path,1.0,rbf,0.6893203883495146,0.6867469879518072
bongard,node_edge,weisfeiler_lehman,1.0,rbf,0.912621359223301,0.8072289156626506
bongard,node_edge,graphlet_sampling,1.0,rbf,0.6731391585760518,0.6746987951807228
bongard,node_edge,shortest_path,0.1,linear,0.6731391585760518,0.6746987951807228
bongard,node_edge,weisfeiler_lehman,0.1,linear,0.8932038834951457,0.8433734939759037
bongard,node_edge,graphlet_sampling,0.1,linear,0.6731391585760518,0.6746987951807228
bongard,node_edge,shortest_path,0.1,poly,0.6731391585760518,0.6746987951807228
bongard,node_edge,weisfeiler_lehman,0.1,poly,0.9093851132686084,0.8072289156626506
bongard,node_edge,graphlet_sampling,0.1,poly,0.6731391585760518,0.6746987951807228
bongard,node_edge,shortest_path,0.1,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_edge,weisfeiler_lehman,0.1,precomputed,0.8932038834951457,0.8433734939759037
bongard,node_edge,graphlet_sampling,0.1,precomputed,0.6731391585760518,0.6746987951807228
bongard,node_edge,shortest_path,0.1,rbf,0.6731391585760518,0.6746987951807228
bongard,node_edge,weisfeiler_lehman,0.1,rbf,0.889967637540453,0.8313253012048193
bongard,node_edge,graphlet_sampling,0.1,rbf,0.6731391585760518,0.6746987951807228
bongard,edge_based,shortest_path,10.0,linear,0.6990291262135923,0.6144578313253012
bongard,edge_based,weisfeiler_lehman,10.0,linear,0.9158576051779935,0.8192771084337349
bongard,edge_based,graphlet_sampling,10.0,linear,0.7378640776699029,0.6987951807228916
bongard,edge_based,shortest_path,10.0,poly,0.7055016181229773,0.6746987951807228
bongard,edge_based,weisfeiler_lehman,10.0,poly,0.9158576051779935,0.8192771084337349
bongard,edge_based,graphlet_sampling,10.0,poly,0.7119741100323624,0.6867469879518072
bongard,edge_based,shortest_path,10.0,precomputed,0.6990291262135923,0.6144578313253012
bongard,edge_based,weisfeiler_lehman,10.0,precomputed,0.9158576051779935,0.8313253012048193
bongard,edge_based,graphlet_sampling,10.0,precomputed,0.7378640776699029,0.6987951807228916
bongard,edge_based,shortest_path,10.0,rbf,0.7055016181229773,0.6746987951807228
