id,district_id,frequency,date
1,c2_30,poplatek_tydne,930322
10,c2_14,poplatek_mesicne,930620
100,c2_31,poplatek_po_obratu,931117
101,c2_57,poplatek_tydne,930611
102,c2_29,poplatek_mesicne,931116
103,c2_31,poplatek_mesicne,930329
104,c2_1,poplatek_mesicne,930530
105,c2_45,poplatek_tydne,930417
106,c2_1,poplatek_mesicne,940501
107,c2_63,poplatek_mesicne,940829
108,c2_1,poplatek_tydne,940307
109,c2_52,poplatek_mesicne,930805
11,c2_55,poplatek_mesicne,930117
110,c2_1,poplatek_mesicne,930313
111,c2_75,poplatek_mesicne,930804
112,c2_24,poplatek_mesicne,931127
113,c2_61,poplatek_mesicne,940208
114,c2_24,poplatek_mesicne,930910
115,c2_47,poplatek_mesicne,930824
116,c2_1,poplatek_mesicne,930810
117,c2_68,poplatek_mesicne,930912
118,c2_70,poplatek_mesicne,940604
119,c2_40,poplatek_mesicne,930523
12,c2_44,poplatek_mesicne,930113
120,c2_1,poplatek_mesicne,930905
121,c2_28,poplatek_mesicne,940225
122,c2_1,poplatek_mesicne,941125
123,c2_64,poplatek_mesicne,931110
124,c2_74,poplatek_mesicne,930520
125,c2_11,poplatek_mesicne,930520
126,c2_68,poplatek_mesicne,941030
127,c2_28,poplatek_mesicne,931211
128,c2_65,poplatek_mesicne,931213
129,c2_1,poplatek_tydne,930706
13,c2_6,poplatek_tydne,930319
130,c2_38,poplatek_mesicne,940421
131,c2_26,poplatek_mesicne,950208
132,c2_61,poplatek_mesicne,931114
133,c2_19,poplatek_mesicne,930918
134,c2_41,poplatek_mesicne,950115
135,c2_10,poplatek_po_obratu,950108
136,c2_9,poplatek_mesicne,941208
137,c2_9,poplatek_mesicne,940827
138,c2_2,poplatek_mesicne,950213
139,c2_15,poplatek_mesicne,940604
14,c2_49,poplatek_tydne,930315
140,c2_19,poplatek_mesicne,940427
141,c2_1,poplatek_mesicne,950304
142,c2_34,poplatek_mesicne,950422
143,c2_1,poplatek_tydne,940701
144,c2_11,poplatek_mesicne,931208
145,c2_62,poplatek_mesicne,940728
146,c2_39,poplatek_mesicne,950426
147,c2_43,poplatek_mesicne,940903
148,c2_68,poplatek_mesicne,941209
149,c2_16,poplatek_mesicne,950327
15,c2_63,poplatek_po_obratu,930705
150,c2_54,poplatek_po_obratu,941201
151,c2_11,poplatek_mesicne,950722
152,c2_1,poplatek_mesicne,950608
153,c2_72,poplatek_mesicne,950129
