id,disp_id,card_type,date
10,c1_5911,classic,960215
102,c1_5224,classic,981020
105,c1_12893,classic,970926
115,c1_7286,gold,970731
123,c1_10328,classic,960217
137,c1_5521,classic,970512
142,c1_9413,classic,961027
144,c1_12805,classic,970627
146,c1_5333,classic,980729
153,c1_13268,classic,951122
155,c1_2698,classic,971013
158,c1_13382,classic,960706
168,c1_9732,classic,981011
170,c1_1020,classic,980416
172,c1_13660,classic,950613
173,c1_6753,classic,961007
174,c1_655,classic,960808
179,c1_11771,gold,981201
181,c1_9622,classic,980920
182,c1_11288,classic,961231
183,c1_2501,classic,981005
185,c1_158,classic,971206
188,c1_9409,gold,970614
189,c1_2606,classic,980926
190,c1_12502,gold,960703
194,c1_992,classic,981129
199,c1_5873,junior,961028
202,c1_5253,gold,980411
205,c1_13312,classic,980308
206,c1_3906,classic,970922
208,c1_12442,classic,970508
209,c1_9525,classic,971028
215,c1_2560,classic,961210
217,c1_116,classic,980623
218,c1_861,classic,980916
225,c1_13386,classic,971128
228,c1_798,classic,970822
234,c1_6275,classic,980629
32,c1_9285,classic,931107
37,c1_7127,gold,971007
4,c1_2235,classic,980911
41,c1_9787,junior,950330
46,c1_8366,classic,971108
49,c1_12535,gold,981206
5,c1_13231,junior,950502
50,c1_11189,classic,951104
54,c1_7576,classic,980118
56,c1_6567,junior,980304
61,c1_11101,junior,960410
64,c1_946,classic,950501
66,c1_9735,classic,970117
68,c1_6301,classic,980821
71,c1_6178,classic,980605
74,c1_9890,junior,950528
77,c1_3687,classic,940215
86,c1_7195,classic,960911
88,c1_5366,classic,970707
90,c1_7683,gold,980518
92,c1_2623,classic,950414
93,c1_6789,junior,981025
96,c1_7422,classic,960908
98,c1_9625,classic,970908
