district_id,district_name,"region,inhabitants",mun1,mun2,mun3,mun4,cities,ratio,avgsal,unemploy95,unemploy96,enterpreneurs,crimes95,crimes96
c2_1,hl_m_praha,prague,'a0=159134<x<=+inf','a1=_inf<x<=16','a2=_inf<x<=13_5','a3=_inf<x<=3_5','a4=0_5<x<=1_5','a5=_inf<x<=4_5','a6=80_25<x<=+inf','a7=9637<x<=+inf','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=130_5<x<=+inf','a11=5089<x<=+inf'
c2_10,praha_vychod,central_bohemia,'a0=76801<x<=99258','a1=34_5<x<=57','a2=27_5<x<=35_5','a3=3_5<x<=4_5','a4=2_5<x<=3_5','a5=4_5<x<=5_5','a6=_inf<x<=49_45','a7=9637<x<=+inf','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=130_5<x<=+inf','a11=3694<x<=5089'
c2_11,praha_zapad,central_bohemia,'a0=_inf<x<=76801','a1=34_5<x<=57','a2=35_5<x<=+inf','a3=6_5<x<=9_5','a4=_inf<x<=0_5','a5=6_5<x<=8_5','a6=_inf<x<=49_45','a7=8966_5<x<=9637','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=130_5<x<=+inf','a11=2646_5<x<=3694'
c2_12,pribram,central_bohemia,'a0=99258<x<=119272','a1=74_5<x<=+inf','a2=27_5<x<=35_5','a3=4_5<x<=6_5','a4=0_5<x<=1_5','a5=5_5<x<=6_5','a6=56<x<=62_45','a7=8691_5<x<=8966_5','a8=3_355<x<=4_71','a9=4_07<x<=5_505','a10=130_5<x<=+inf','a11=3694<x<=5089'
c2_13,rakovnik,central_bohemia,'a0=_inf<x<=76801','a1=57<x<=74_5','a2=21_5<x<=27_5','a3=_inf<x<=3_5','a4=0_5<x<=1_5','a5=_inf<x<=4_5','a6=_inf<x<=49_45','a7=8402_5<x<=8691_5','a8=2_585<x<=3_355','a9=3_24<x<=4_07','a10=118_5<x<=130_5','a11=_inf<x<=1847_5'
c2_14,ceske_budejovice,south_bohemia,'a0=159134<x<=+inf','a1=57<x<=74_5','a2=21_5<x<=27_5','a3=9_5<x<=+inf','a4=0_5<x<=1_5','a5=8_5<x<=+inf','a6=62_45<x<=80_25','a7=9637<x<=+inf','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=130_5<x<=+inf','a11=5089<x<=+inf'
c2_15,cesky_krumlov,south_bohemia,'a0=_inf<x<=76801','a1=16<x<=34_5','a2=13_5<x<=21_5','a3=6_5<x<=9_5','a4=0_5<x<=1_5','a5=4_5<x<=5_5','a6=49_45<x<=56','a7=8966_5<x<=9637','a8=2_585<x<=3_355','a9=3_24<x<=4_07','a10=118_5<x<=130_5','a11=_inf<x<=1847_5'
c2_16,jindrichuv_hradec,south_bohemia,'a0=76801<x<=99258','a1=57<x<=74_5','a2=13_5<x<=21_5','a3=9_5<x<=+inf','a4=0_5<x<=1_5','a5=6_5<x<=8_5','a6=56<x<=62_45','a7=8402_5<x<=8691_5','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=101<x<=109_5','a11=1847_5<x<=2646_5'
c2_17,pelhrimov,south_bohemia,'a0=_inf<x<=76801','a1=74_5<x<=+inf','a2=13_5<x<=21_5','a3=3_5<x<=4_5','a4=1_5<x<=2_5','a5=6_5<x<=8_5','a6=56<x<=62_45','a7=_inf<x<=8402_5','a8=1_645<x<=2_585','a9=2_14<x<=3_24','a10=118_5<x<=130_5','a11=_inf<x<=1847_5'
c2_18,pisek,south_bohemia,'a0=_inf<x<=76801','a1=57<x<=74_5','a2=_inf<x<=13_5','a3=_inf<x<=3_5','a4=0_5<x<=1_5','a5=_inf<x<=4_5','a6=62_45<x<=80_25','a7=8966_5<x<=9637','a8=2_585<x<=3_355','a9=3_24<x<=4_07','a10=130_5<x<=+inf','a11=_inf<x<=1847_5'
