id,date,amount,duration,payments
1,930705,'a13=93288<x<=155028','a14=_inf<x<=18','a15=6717<x<=+inf'
10,931104,'a13=93288<x<=155028','a14=18<x<=30','a15=3537_5<x<=4974_5'
100,941119,'a13=155028<x<=+inf','a14=30<x<=42','a15=3537_5<x<=4974_5'
101,941204,'a13=155028<x<=+inf','a14=30<x<=42','a15=4974_5<x<=6717'
102,941208,'a13=38772<x<=68952','a14=18<x<=30','a15=_inf<x<=2163'
103,941220,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
104,941221,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
105,941221,'a13=93288<x<=155028','a14=30<x<=42','a15=2163<x<=3537_5'
106,950102,'a13=68952<x<=93288','a14=_inf<x<=18','a15=4974_5<x<=6717'
107,950103,'a13=155028<x<=+inf','a14=30<x<=42','a15=6717<x<=+inf'
108,950108,'a13=155028<x<=+inf','a14=30<x<=42','a15=6717<x<=+inf'
109,950108,'a13=38772<x<=68952','a14=18<x<=30','a15=_inf<x<=2163'
11,931110,'a13=_inf<x<=38772','a14=30<x<=42','a15=_inf<x<=2163'
110,950111,'a13=68952<x<=93288','a14=18<x<=30','a15=2163<x<=3537_5'
111,950118,'a13=38772<x<=68952','a14=_inf<x<=18','a15=4974_5<x<=6717'
112,950130,'a13=93288<x<=155028','a14=_inf<x<=18','a15=6717<x<=+inf'
113,950206,'a13=38772<x<=68952','a14=_inf<x<=18','a15=3537_5<x<=4974_5'
114,950223,'a13=93288<x<=155028','a14=18<x<=30','a15=3537_5<x<=4974_5'
115,950304,'a13=_inf<x<=38772','a14=18<x<=30','a15=_inf<x<=2163'
116,950304,'a13=155028<x<=+inf','a14=18<x<=30','a15=6717<x<=+inf'
117,950311,'a13=68952<x<=93288','a14=18<x<=30','a15=2163<x<=3537_5'
118,950319,'a13=93288<x<=155028','a14=18<x<=30','a15=4974_5<x<=6717'
119,950321,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
12,931122,'a13=68952<x<=93288','a14=18<x<=30','a15=2163<x<=3537_5'
120,950327,'a13=_inf<x<=38772','a14=18<x<=30','a15=_inf<x<=2163'
121,950401,'a13=155028<x<=+inf','a14=30<x<=42','a15=3537_5<x<=4974_5'
