id,disp_id,client_id,disp_type
1,c1_2166,c0_2166,owner
10,c1_5911,c0_5911,owner
100,c1_1851,c0_1851,owner
102,c1_5224,c0_5224,owner
104,c1_3576,c0_3576,owner
107,c1_9008,c0_9316,owner
109,c1_980,c0_980,owner
11,c1_12446,c0_12754,owner
11,c1_12447,c0_12755,disponent
111,c1_9407,c0_9715,owner
113,c1_7814,c0_7814,owner
114,c1_5320,c0_5320,owner
114,c1_5321,c0_5321,disponent
115,c1_7286,c0_7286,owner
116,c1_13240,c0_13548,owner
117,c1_10255,c0_10563,owner
117,c1_10256,c0_10564,disponent
118,c1_9961,c0_10269,owner
119,c1_3705,c0_3705,owner
12,c1_6367,c0_6367,owner
120,c1_9110,c0_9418,owner
120,c1_9111,c0_9419,disponent
121,c1_2853,c0_2853,owner
122,c1_4527,c0_4527,owner
123,c1_10328,c0_10636,owner
125,c1_11787,c0_12095,owner
127,c1_2136,c0_2136,owner
128,c1_424,c0_424,owner
129,c1_11354,c0_11662,owner
13,c1_7291,c0_7291,owner
131,c1_9768,c0_10076,owner
131,c1_9769,c0_10077,disponent
132,c1_11578,c0_11886,owner
133,c1_10167,c0_10475,owner
133,c1_10168,c0_10476,disponent
134,c1_12763,c0_13071,owner
136,c1_4217,c0_4217,owner
137,c1_5521,c0_5521,owner
138,c1_5701,c0_5701,owner
139,c1_5826,c0_5826,owner
139,c1_5827,c0_5827,disponent
14,c1_8091,c0_8091,owner
140,c1_1663,c0_1663,owner
141,c1_11873,c0_12181,owner
142,c1_9413,c0_9721,owner
144,c1_12805,c0_13113,owner
145,c1_8130,c0_8130,owner
147,c1_9038,c0_9346,owner
148,c1_2831,c0_2831,owner
15,c1_3264,c0_3264,owner
150,c1_11670,c0_11978,owner
150,c1_11671,c0_11979,disponent
151,c1_4918,c0_4918,owner
153,c1_13268,c0_13576,owner
156,c1_11486,c0_11794,owner
156,c1_11487,c0_11795,disponent
157,c1_9355,c0_9663,owner
157,c1_9356,c0_9664,disponent
158,c1_13382,c0_13690,owner
159,c1_4584,c0_4584,owner
160,c1_6115,c0_6115,owner
162,c1_6731,c0_6731,owner
163,c1_8888,c0_9196,owner
164,c1_25,c0_25,owner
165,c1_78,c0_78,owner
166,c1_5384,c0_5384,owner
167,c1_2809,c0_2809,owner
17,c1_12387,c0_12695,owner
170,c1_1020,c0_1020,owner
171,c1_8670,c0_8670,owner
172,c1_13660,c0_13968,owner
174,c1_655,c0_655,owner
175,c1_5858,c0_5858,owner
175,c1_5859,c0_5859,disponent
176,c1_11019,c0_11327,owner
178,c1_5399,c0_5399,owner
18,c1_10818,c0_11126,owner
181,c1_9622,c0_9930,owner
182,c1_11288,c0_11596,owner
183,c1_2501,c0_2501,owner
184,c1_4529,c0_4529,owner
184,c1_4530,c0_4530,disponent
185,c1_158,c0_158,owner
185,c1_159,c0_159,disponent
186,c1_6042,c0_6042,owner
187,c1_7765,c0_7765,owner
188,c1_9409,c0_9717,owner
188,c1_9410,c0_9718,disponent
189,c1_2606,c0_2606,owner
19,c1_11064,c0_11372,owner
190,c1_12502,c0_12810,owner
193,c1_11073,c0_11381,owner
194,c1_992,c0_992,owner
195,c1_11378,c0_11686,owner
195,c1_11379,c0_11687,disponent
196,c1_4177,c0_4177,owner
197,c1_12977,c0_13285,owner
198,c1_8200,c0_8200,owner
199,c1_5873,c0_5873,owner
2,c1_2181,c0_2181,owner
20,c1_12317,c0_12625,owner
200,c1_10406,c0_10714,owner
201,c1_12050,c0_12358,owner
201,c1_12051,c0_12359,disponent
202,c1_5253,c0_5253,owner
202,c1_5254,c0_5254,disponent
203,c1_5322,c0_5322,owner
205,c1_13312,c0_13620,owner
206,c1_3906,c0_3906,owner
21,c1_2,c0_2,owner
21,c1_3,c0_3,disponent
211,c1_5574,c0_5574,owner
212,c1_11405,c0_11713,owner
212,c1_11406,c0_11714,disponent
214,c1_10469,c0_10777,owner
214,c1_10470,c0_10778,disponent
215,c1_2560,c0_2560,owner
216,c1_5203,c0_5203,owner
217,c1_116,c0_116,owner
217,c1_117,c0_117,disponent
218,c1_861,c0_861,owner
219,c1_3929,c0_3929,owner
22,c1_8865,c0_9173,owner
22,c1_8866,c0_9174,disponent
220,c1_2291,c0_2291,owner
221,c1_9467,c0_9775,owner
221,c1_9468,c0_9776,disponent
224,c1_3962,c0_3962,owner
225,c1_13386,c0_13694,owner
227,c1_2647,c0_2647,owner
227,c1_2648,c0_2648,disponent
228,c1_798,c0_798,owner
228,c1_799,c0_799,disponent
229,c1_8894,c0_9202,owner
23,c1_3001,c0_3001,owner
230,c1_4024,c0_4024,owner
230,c1_4025,c0_4025,disponent
231,c1_31,c0_31,owner
232,c1_12953,c0_13261,owner
232,c1_12954,c0_13262,disponent
234,c1_6275,c0_6275,owner
25,c1_13349,c0_13657,owner
25,c1_13350,c0_13658,disponent
26,c1_1944,c0_1944,owner
27,c1_1404,c0_1404,owner
28,c1_9665,c0_9973,owner
29,c1_13139,c0_13447,owner
29,c1_13140,c0_13448,disponent
3,c1_11006,c0_11314,owner
30,c1_13379,c0_13687,owner
31,c1_3251,c0_3251,owner
31,c1_3252,c0_3252,disponent
33,c1_8918,c0_9226,owner
35,c1_9979,c0_10287,owner
35,c1_9980,c0_10288,disponent
36,c1_7914,c0_7914,owner
37,c1_7127,c0_7127,owner
38,c1_12156,c0_12464,owner
39,c1_6349,c0_6349,owner
4,c1_2235,c0_2235,owner
40,c1_976,c0_976,owner
41,c1_9787,c0_10095,owner
41,c1_9788,c0_10096,disponent
42,c1_11794,c0_12102,owner
43,c1_9303,c0_9611,owner
44,c1_7815,c0_7815,owner
45,c1_8928,c0_9236,owner
46,c1_8366,c0_8366,owner
47,c1_210,c0_210,owner
47,c1_211,c0_211,disponent
48,c1_9637,c0_9945,owner
48,c1_9638,c0_9946,disponent
49,c1_12535,c0_12843,owner
5,c1_13231,c0_13539,owner
50,c1_11189,c0_11497,owner
51,c1_5517,c0_5517,owner
52,c1_9607,c0_9915,owner
53,c1_7166,c0_7166,owner
54,c1_7576,c0_7576,owner
55,c1_13295,c0_13603,owner
56,c1_6567,c0_6567,owner
57,c1_9394,c0_9702,owner
58,c1_4056,c0_4056,owner
59,c1_3335,c0_3335,owner
60,c1_7311,c0_7311,owner
61,c1_11101,c0_11409,owner
62,c1_6317,c0_6317,owner
62,c1_6318,c0_6318,disponent
63,c1_5965,c0_5965,owner
66,c1_9735,c0_10043,owner
67,c1_2635,c0_2635,owner
68,c1_6301,c0_6301,owner
69,c1_11266,c0_11574,owner
70,c1_10900,c0_11208,owner
71,c1_6178,c0_6178,owner
73,c1_12952,c0_13260,owner
74,c1_9890,c0_10198,owner
74,c1_9891,c0_10199,disponent
75,c1_5133,c0_5133,owner
76,c1_12124,c0_12432,owner
77,c1_3687,c0_3687,owner
77,c1_3688,c0_3688,disponent
79,c1_6616,c0_6616,owner
8,c1_6551,c0_6551,owner
80,c1_11153,c0_11461,owner
81,c1_5337,c0_5337,owner
81,c1_5338,c0_5338,disponent
82,c1_4620,c0_4620,owner
82,c1_4621,c0_4621,disponent
83,c1_9367,c0_9675,owner
85,c1_9536,c0_9844,owner
85,c1_9537,c0_9845,disponent
86,c1_7195,c0_7195,owner
87,c1_7299,c0_7299,owner
88,c1_5366,c0_5366,owner
88,c1_5367,c0_5367,disponent
89,c1_10755,c0_11063,owner
89,c1_10756,c0_11064,disponent
9,c1_13182,c0_13490,owner
90,c1_7683,c0_7683,owner
92,c1_2623,c0_2623,owner
93,c1_6789,c0_6789,owner
94,c1_7241,c0_7241,owner
96,c1_7422,c0_7422,owner
96,c1_7423,c0_7423,disponent
97,c1_8610,c0_8610,owner
97,c1_8611,c0_8611,disponent
98,c1_9625,c0_9933,owner
