id,bank_to,amount,symbol
1,ef,'a16=6822_5<x<=+inf',uver
10,st,'a16=4379_85<x<=6822_5',uver
100,ef,'a16=4379_85<x<=6822_5',uver
102,ij,'a16=1292<x<=3018_35',uver
104,yz,'a16=1292<x<=3018_35',uver
107,qr,'a16=6822_5<x<=+inf',uver
109,op,'a16=1292<x<=3018_35',uver
109,qr,'a16=4379_85<x<=6822_5',sipo
11,ef,'a16=4379_85<x<=6822_5',sipo
11,ij,'a16=_inf<x<=1292',uver
111,ef,'a16=6822_5<x<=+inf',sipo
111,kl,'a16=_inf<x<=1292',pojistne
111,mn,'a16=_inf<x<=1292',none
111,wx,'a16=4379_85<x<=6822_5',uver
113,qr,'a16=3018_35<x<=4379_85',uver
114,ef,'a16=3018_35<x<=4379_85',uver
114,st,'a16=3018_35<x<=4379_85',none
114,st,'a16=3018_35<x<=4379_85',sipo
115,wx,'a16=_inf<x<=1292',uver
116,kl,'a16=6822_5<x<=+inf',uver
117,ef,'a16=4379_85<x<=6822_5',none
117,st,'a16=3018_35<x<=4379_85',uver
117,uv,'a16=6822_5<x<=+inf',sipo
118,st,'a16=4379_85<x<=6822_5',uver
119,ef,'a16=4379_85<x<=6822_5',none
119,ij,'a16=1292<x<=3018_35',sipo
119,st,'a16=_inf<x<=1292',uver
12,cd,'a16=3018_35<x<=4379_85',uver
120,gh,'a16=1292<x<=3018_35',uver
120,kl,'a16=4379_85<x<=6822_5',sipo
121,mn,'a16=4379_85<x<=6822_5',sipo
121,yz,'a16=3018_35<x<=4379_85',uver
122,ij,'a16=3018_35<x<=4379_85',sipo
122,yz,'a16=1292<x<=3018_35',uver
123,uv,'a16=1292<x<=3018_35',uver
123,yz,'a16=6822_5<x<=+inf',sipo
125,uv,'a16=4379_85<x<=6822_5',uver
127,cd,'a16=_inf<x<=1292',sipo
127,mn,'a16=1292<x<=3018_35',pojistne
127,qr,'a16=3018_35<x<=4379_85',none
127,qr,'a16=6822_5<x<=+inf',uver
128,cd,'a16=6822_5<x<=+inf',uver
129,ab,'a16=3018_35<x<=4379_85',uver
129,kl,'a16=4379_85<x<=6822_5',sipo
13,mn,'a16=6822_5<x<=+inf',uver
131,gh,'a16=_inf<x<=1292',uver
131,qr,'a16=1292<x<=3018_35',none
131,wx,'a16=3018_35<x<=4379_85',sipo
132,ef,'a16=4379_85<x<=6822_5',uver
132,op,'a16=6822_5<x<=+inf',sipo
133,gh,'a16=6822_5<x<=+inf',uver
133,st,'a16=3018_35<x<=4379_85',sipo
134,op,'a16=6822_5<x<=+inf',uver
134,uv,'a16=6822_5<x<=+inf',sipo
136,st,'a16=1292<x<=3018_35',uver
136,yz,'a16=3018_35<x<=4379_85',sipo
137,ab,'a16=6822_5<x<=+inf',sipo
137,st,'a16=1292<x<=3018_35',uver
138,qr,'a16=3018_35<x<=4379_85',sipo
138,uv,'a16=1292<x<=3018_35',none
138,yz,'a16=4379_85<x<=6822_5',uver
139,op,'a16=1292<x<=3018_35',uver
14,cd,'a16=1292<x<=3018_35',uver
140,cd,'a16=4379_85<x<=6822_5',sipo
140,mn,'a16=1292<x<=3018_35',uver
141,ij,'a16=1292<x<=3018_35',uver
141,ij,'a16=3018_35<x<=4379_85',none
141,st,'a16=1292<x<=3018_35',sipo
141,yz,'a16=6822_5<x<=+inf',pojistne
142,gh,'a16=6822_5<x<=+inf',sipo
142,mn,'a16=_inf<x<=1292',none
142,op,'a16=_inf<x<=1292',none
142,wx,'a16=_inf<x<=1292',pojistne
142,wx,'a16=_inf<x<=1292',uver
144,mn,'a16=6822_5<x<=+inf',uver
144,yz,'a16=4379_85<x<=6822_5',sipo
144,yz,'a16=6822_5<x<=+inf',none
145,st,'a16=3018_35<x<=4379_85',uver
147,ab,'a16=3018_35<x<=4379_85',uver
147,ef,'a16=3018_35<x<=4379_85',sipo
147,st,'a16=_inf<x<=1292',none
147,st,'a16=_inf<x<=1292',pojistne
148,kl,'a16=3018_35<x<=4379_85',uver
148,uv,'a16=4379_85<x<=6822_5',sipo
15,gh,'a16=6822_5<x<=+inf',sipo
15,yz,'a16=1292<x<=3018_35',uver
150,ab,'a16=4379_85<x<=6822_5',sipo
150,ij,'a16=3018_35<x<=4379_85',uver
150,op,'a16=1292<x<=3018_35',none
151,yz,'a16=4379_85<x<=6822_5',uver
153,ef,'a16=4379_85<x<=6822_5',uver
153,uv,'a16=6822_5<x<=+inf',sipo
156,ef,'a16=6822_5<x<=+inf',sipo
156,mn,'a16=3018_35<x<=4379_85',uver
157,ij,'a16=1292<x<=3018_35',pojistne
157,kl,'a16=1292<x<=3018_35',sipo
157,mn,'a16=6822_5<x<=+inf',uver
157,st,'a16=_inf<x<=1292',none
158,yz,'a16=3018_35<x<=4379_85',uver
159,cd,'a16=4379_85<x<=6822_5',none
159,kl,'a16=4379_85<x<=6822_5',uver
159,wx,'a16=_inf<x<=1292',sipo
160,cd,'a16=1292<x<=3018_35',uver
160,ef,'a16=_inf<x<=1292',none
160,kl,'a16=_inf<x<=1292',none
160,op,'a16=3018_35<x<=4379_85',sipo
160,yz,'a16=_inf<x<=1292',pojistne
162,cd,'a16=3018_35<x<=4379_85',uver
162,qr,'a16=6822_5<x<=+inf',sipo
163,qr,'a16=1292<x<=3018_35',uver
164,qr,'a16=1292<x<=3018_35',uver
165,uv,'a16=_inf<x<=1292',none
165,yz,'a16=4379_85<x<=6822_5',sipo
165,yz,'a16=6822_5<x<=+inf',uver
166,ab,'a16=1292<x<=3018_35',uver
167,ef,'a16=_inf<x<=1292',pojistne
167,kl,'a16=1292<x<=3018_35',uver
167,qr,'a16=_inf<x<=1292',none
167,st,'a16=1292<x<=3018_35',none
167,st,'a16=3018_35<x<=4379_85',sipo
17,kl,'a16=6822_5<x<=+inf',sipo
17,kl,'a16=3018_35<x<=4379_85',uver
170,wx,'a16=6822_5<x<=+inf',uver
171,ab,'a16=1292<x<=3018_35',none
171,ab,'a16=4379_85<x<=6822_5',uver
171,ef,'a16=_inf<x<=1292',none
171,gh,'a16=3018_35<x<=4379_85',sipo
171,qr,'a16=_inf<x<=1292',pojistne
172,ab,'a16=_inf<x<=1292',none
172,ef,'a16=4379_85<x<=6822_5',uver
172,op,'a16=4379_85<x<=6822_5',sipo
174,ef,'a16=3018_35<x<=4379_85',uver
175,mn,'a16=4379_85<x<=6822_5',uver
175,yz,'a16=3018_35<x<=4379_85',sipo
176,wx,'a16=1292<x<=3018_35',uver
178,ef,'a16=_inf<x<=1292',none
178,gh,'a16=3018_35<x<=4379_85',pojistne
178,uv,'a16=_inf<x<=1292',uver
178,yz,'a16=3018_35<x<=4379_85',sipo
18,ab,'a16=6822_5<x<=+inf',pojistne
18,st,'a16=_inf<x<=1292',none
18,uv,'a16=3018_35<x<=4379_85',uver
18,yz,'a16=4379_85<x<=6822_5',sipo
181,ab,'a16=_inf<x<=1292',sipo
181,ij,'a16=3018_35<x<=4379_85',pojistne
181,mn,'a16=_inf<x<=1292',none
181,uv,'a16=3018_35<x<=4379_85',uver
182,qr,'a16=6822_5<x<=+inf',uver
182,st,'a16=_inf<x<=1292',sipo
182,yz,'a16=3018_35<x<=4379_85',none
183,qr,'a16=6822_5<x<=+inf',uver
183,st,'a16=_inf<x<=1292',sipo
183,yz,'a16=3018_35<x<=4379_85',none
184,gh,'a16=1292<x<=3018_35',uver
184,mn,'a16=_inf<x<=1292',pojistne
184,op,'a16=_inf<x<=1292',none
184,uv,'a16=_inf<x<=1292',none
184,yz,'a16=3018_35<x<=4379_85',sipo
185,wx,'a16=6822_5<x<=+inf',uver
186,op,'a16=4379_85<x<=6822_5',uver
186,op,'a16=6822_5<x<=+inf',sipo
187,ef,'a16=4379_85<x<=6822_5',sipo
187,gh,'a16=4379_85<x<=6822_5',uver
188,uv,'a16=4379_85<x<=6822_5',uver
189,ab,'a16=1292<x<=3018_35',pojistne
189,cd,'a16=6822_5<x<=+inf',none
189,ij,'a16=4379_85<x<=6822_5',uver
189,kl,'a16=1292<x<=3018_35',sipo
19,ab,'a16=1292<x<=3018_35',none
19,kl,'a16=6822_5<x<=+inf',uver
19,yz,'a16=1292<x<=3018_35',sipo
190,cd,'a16=1292<x<=3018_35',pojistne
190,gh,'a16=1292<x<=3018_35',none
190,gh,'a16=4379_85<x<=6822_5',uver
190,st,'a16=3018_35<x<=4379_85',sipo
190,st,'a16=6822_5<x<=+inf',none
193,ij,'a16=1292<x<=3018_35',uver
194,yz,'a16=4379_85<x<=6822_5',uver
194,yz,'a16=6822_5<x<=+inf',sipo
195,gh,'a16=6822_5<x<=+inf',uver
195,ij,'a16=4379_85<x<=6822_5',sipo
196,ef,'a16=4379_85<x<=6822_5',uver
197,ef,'a16=4379_85<x<=6822_5',uver
198,ab,'a16=_inf<x<=1292',none
198,gh,'a16=3018_35<x<=4379_85',sipo
198,yz,'a16=1292<x<=3018_35',uver
198,yz,'a16=_inf<x<=1292',pojistne
199,mn,'a16=4379_85<x<=6822_5',uver
199,op,'a16=3018_35<x<=4379_85',sipo
199,qr,'a16=4379_85<x<=6822_5',none
2,ab,'a16=_inf<x<=1292',pojistne
2,op,'a16=4379_85<x<=6822_5',uver
2,qr,'a16=3018_35<x<=4379_85',sipo
2,yz,'a16=3018_35<x<=4379_85',none
20,ef,'a16=3018_35<x<=4379_85',uver
200,wx,'a16=4379_85<x<=6822_5',uver
201,cd,'a16=1292<x<=3018_35',sipo
201,gh,'a16=6822_5<x<=+inf',uver
201,st,'a16=_inf<x<=1292',none
202,ab,'a16=6822_5<x<=+inf',uver
203,ab,'a16=4379_85<x<=6822_5',sipo
203,ef,'a16=4379_85<x<=6822_5',uver
203,mn,'a16=3018_35<x<=4379_85',none
203,op,'a16=_inf<x<=1292',none
203,qr,'a16=_inf<x<=1292',pojistne
205,uv,'a16=6822_5<x<=+inf',uver
206,qr,'a16=3018_35<x<=4379_85',uver
206,wx,'a16=4379_85<x<=6822_5',none
206,yz,'a16=6822_5<x<=+inf',sipo
21,qr,'a16=6822_5<x<=+inf',sipo
21,st,'a16=3018_35<x<=4379_85',uver
211,ij,'a16=1292<x<=3018_35',uver
212,wx,'a16=1292<x<=3018_35',uver
212,wx,'a16=6822_5<x<=+inf',sipo
214,ef,'a16=_inf<x<=1292',none
214,gh,'a16=1292<x<=3018_35',uver
214,mn,'a16=_inf<x<=1292',sipo
214,yz,'a16=4379_85<x<=6822_5',pojistne
215,ef,'a16=1292<x<=3018_35',sipo
215,ef,'a16=6822_5<x<=+inf',uver
215,qr,'a16=3018_35<x<=4379_85',none
216,gh,'a16=3018_35<x<=4379_85',uver
217,cd,'a16=_inf<x<=1292',none
217,cd,'a16=1292<x<=3018_35',none
217,mn,'a16=6822_5<x<=+inf',uver
217,st,'a16=1292<x<=3018_35',sipo
217,st,'a16=_inf<x<=1292',pojistne
218,kl,'a16=4379_85<x<=6822_5',uver
218,kl,'a16=_inf<x<=1292',sipo
218,mn,'a16=4379_85<x<=6822_5',pojistne
218,qr,'a16=6822_5<x<=+inf',none
219,gh,'a16=4379_85<x<=6822_5',uver
219,yz,'a16=6822_5<x<=+inf',sipo
22,qr,'a16=6822_5<x<=+inf',sipo
22,st,'a16=3018_35<x<=4379_85',uver
220,kl,'a16=4379_85<x<=6822_5',uver
220,op,'a16=3018_35<x<=4379_85',pojistne
220,op,'a16=_inf<x<=1292',sipo
220,yz,'a16=3018_35<x<=4379_85',none
221,ef,'a16=6822_5<x<=+inf',uver
221,ij,'a16=4379_85<x<=6822_5',sipo
224,gh,'a16=6822_5<x<=+inf',uver
225,qr,'a16=3018_35<x<=4379_85',uver
227,wx,'a16=4379_85<x<=6822_5',uver
228,ab,'a16=3018_35<x<=4379_85',sipo
228,gh,'a16=_inf<x<=1292',pojistne
228,st,'a16=1292<x<=3018_35',none
228,uv,'a16=_inf<x<=1292',uver
229,ab,'a16=_inf<x<=1292',none
229,ij,'a16=4379_85<x<=6822_5',sipo
229,wx,'a16=_inf<x<=1292',pojistne
229,yz,'a16=1292<x<=3018_35',uver
23,op,'a16=1292<x<=3018_35',uver
230,gh,'a16=6822_5<x<=+inf',sipo
230,yz,'a16=1292<x<=3018_35',uver
231,ab,'a16=_inf<x<=1292',none
231,ij,'a16=4379_85<x<=6822_5',sipo
231,wx,'a16=_inf<x<=1292',pojistne
231,yz,'a16=1292<x<=3018_35',uver
232,ab,'a16=1292<x<=3018_35',pojistne
232,gh,'a16=6822_5<x<=+inf',sipo
232,gh,'a16=_inf<x<=1292',none
232,ij,'a16=3018_35<x<=4379_85',uver
234,cd,'a16=6822_5<x<=+inf',sipo
234,yz,'a16=4379_85<x<=6822_5',uver
25,cd,'a16=4379_85<x<=6822_5',sipo
25,mn,'a16=1292<x<=3018_35',uver
26,cd,'a16=4379_85<x<=6822_5',uver
26,mn,'a16=_inf<x<=1292',none
26,wx,'a16=1292<x<=3018_35',sipo
27,cd,'a16=3018_35<x<=4379_85',uver
27,ef,'a16=4379_85<x<=6822_5',sipo
28,gh,'a16=_inf<x<=1292',sipo
28,ij,'a16=6822_5<x<=+inf',none
28,op,'a16=3018_35<x<=4379_85',uver
29,kl,'a16=6822_5<x<=+inf',sipo
29,yz,'a16=4379_85<x<=6822_5',uver
3,gh,'a16=1292<x<=3018_35',uver
3,gh,'a16=_inf<x<=1292',none
3,op,'a16=_inf<x<=1292',pojistne
3,op,'a16=6822_5<x<=+inf',sipo
30,op,'a16=3018_35<x<=4379_85',sipo
30,uv,'a16=4379_85<x<=6822_5',uver
31,gh,'a16=6822_5<x<=+inf',uver
31,st,'a16=3018_35<x<=4379_85',sipo
33,wx,'a16=1292<x<=3018_35',uver
35,ef,'a16=_inf<x<=1292',uver
35,ef,'a16=3018_35<x<=4379_85',sipo
36,uv,'a16=4379_85<x<=6822_5',uver
37,ef,'a16=4379_85<x<=6822_5',uver
38,yz,'a16=4379_85<x<=6822_5',uver
39,kl,'a16=4379_85<x<=6822_5',uver
4,qr,'a16=1292<x<=3018_35',uver
4,qr,'a16=6822_5<x<=+inf',sipo
40,ij,'a16=1292<x<=3018_35',uver
41,mn,'a16=4379_85<x<=6822_5',uver
42,ef,'a16=4379_85<x<=6822_5',none
42,op,'a16=6822_5<x<=+inf',uver
42,st,'a16=4379_85<x<=6822_5',sipo
43,op,'a16=3018_35<x<=4379_85',uver
44,kl,'a16=4379_85<x<=6822_5',uver
45,ab,'a16=_inf<x<=1292',none
45,qr,'a16=1292<x<=3018_35',uver
45,qr,'a16=1292<x<=3018_35',sipo
46,wx,'a16=_inf<x<=1292',uver
47,cd,'a16=_inf<x<=1292',none
47,cd,'a16=_inf<x<=1292',pojistne
47,kl,'a16=1292<x<=3018_35',none
47,kl,'a16=4379_85<x<=6822_5',sipo
47,uv,'a16=6822_5<x<=+inf',uver
48,ab,'a16=3018_35<x<=4379_85',uver
49,ab,'a16=4379_85<x<=6822_5',uver
49,wx,'a16=6822_5<x<=+inf',sipo
5,cd,'a16=_inf<x<=1292',sipo
5,ij,'a16=6822_5<x<=+inf',none
5,yz,'a16=4379_85<x<=6822_5',uver
50,cd,'a16=1292<x<=3018_35',uver
51,uv,'a16=6822_5<x<=+inf',uver
52,cd,'a16=4379_85<x<=6822_5',uver
53,op,'a16=1292<x<=3018_35',uver
