dataset,representation,graph_kernel,C,svm_kernel,train_accuracy,test_accuracy
financial,node_edge,shortest_path,10.0,precomputed,0.8663101604278075,0.8723404255319149
financial,node_edge,weisfeiler_lehman,10.0,precomputed,1.0,0.9148936170212766
financial,node_edge,graphlet_sampling,10.0,precomputed,0.8663101604278075,0.8723404255319149
financial,node_edge,shortest_path,1.0,precomputed,0.8663101604278075,0.8723404255319149
financial,node_edge,weisfeiler_lehman,1.0,precomputed,1.0,0.9148936170212766
financial,node_edge,graphlet_sampling,1.0,precomputed,0.8663101604278075,0.8723404255319149
financial,node_edge,shortest_path,0.1,precomputed,0.8663101604278075,0.8723404255319149
financial,node_edge,weisfeiler_lehman,0.1,precomputed,1.0,0.9148936170212766
financial,node_edge,graphlet_sampling,0.1,precomputed,0.8663101604278075,0.8723404255319149
financial,Klog,shortest_path,10.0,precomputed,0.8663101604278075,0.8723404255319149
financial,Klog,weisfeiler_lehman,10.0,precomputed,1.0,0.9148936170212766
financial,Klog,graphlet_sampling,10.0,precomputed,0.8663101604278075,0.8723404255319149
financial,Klog,shortest_path,1.0,precomputed,0.8663101604278075,0.8723404255319149
financial,Klog,weisfeiler_lehman,1.0,precomputed,1.0,0.9148936170212766
financial,Klog,graphlet_sampling,1.0,precomputed,0.8663101604278075,0.8723404255319149
financial,Klog,shortest_path,0.1,precomputed,0.8663101604278075,0.8723404255319149
financial,Klog,weisfeiler_lehman,0.1,precomputed,1.0,0.9148936170212766
financial,Klog,graphlet_sampling,0.1,precomputed,0.8663101604278075,0.8723404255319149
