id,file,rank
1,7,3
2,7,2
3,3,0
4,4,1
5,6,0
6,6,6
7,1,2
8,1,4
9,3,3
10,5,1
11,3,6
12,4,3
13,5,0
14,7,7
15,5,7
16,0,2
17,5,2
18,2,0
19,6,4
20,5,0
21,7,7
22,1,5
23,3,5
24,2,2
25,4,6
26,4,2
27,3,4
28,4,1
29,3,4
30,6,4
31,0,6
32,7,3
33,1,6
34,6,0
35,1,5
36,6,7
37,7,5
38,5,5
39,7,3
40,0,0
41,6,1
42,5,0
43,1,5
44,6,1
45,7,5
46,3,3
47,4,2
48,0,4
49,5,1
50,1,0
51,0,2
52,2,7
53,4,3
54,5,2
55,3,7
56,2,7
57,7,0
58,5,4
59,5,3
60,2,1
61,6,5
62,6,0
63,6,4
64,7,2
65,6,3
66,2,5
67,5,0
68,2,3
69,5,7
70,5,6
71,7,1
72,5,4
73,2,3
74,5,3
75,1,7
76,4,2
77,3,4
78,6,6
79,6,4
80,7,4
81,3,5
82,0,1
83,6,1
84,2,6
85,7,6
86,3,2
87,0,5
88,1,1
89,0,7
90,0,3
91,7,7
92,6,4
93,1,4
94,6,0
95,1,6
96,0,1
97,7,3
98,0,7
99,5,1
100,2,6
101,6,7
102,5,1
103,7,2
104,6,2
105,2,2
106,4,5
107,1,6
108,0,1
109,5,3
110,7,6
111,2,6
112,2,3
113,3,4
114,7,7
115,7,7
116,0,2
117,0,2
118,4,2
119,5,2
120,4,0
121,5,3
122,1,0
123,4,1
124,4,2
125,0,2
126,1,5
127,3,6
128,6,2
129,6,1
130,6,0
131,5,4
132,0,0
133,5,2
134,7,0
135,4,4
136,6,6
137,4,3
138,2,7
139,1,4
140,7,5
141,1,2
142,2,4
143,5,5
144,5,2
145,6,7
146,5,5
147,5,6
148,6,7
149,4,6
150,1,1
151,4,1
152,2,4
153,7,5
154,6,5
155,2,3
156,7,1
157,4,4
158,1,7
159,2,5
160,1,0
161,7,7
162,4,7
163,5,2
164,5,3
165,0,5
166,5,0
167,3,4
168,7,3
169,1,0
170,5,2
171,0,1
172,4,4
173,0,3
174,0,3
175,0,0
176,6,2
177,0,1
178,5,7
179,6,0
180,1,6
181,4,1
182,0,6
183,4,3
184,5,7
185,5,6
186,5,0
187,0,1
188,7,0
189,6,6
190,2,7
191,1,4
192,7,7
193,4,7
194,7,7
195,6,5
196,5,3
197,0,3
198,1,5
199,2,4
