id,class
1,illegal
2,illegal
3,illegal
4,illegal
5,illegal
6,illegal
7,illegal
8,illegal
9,illegal
10,illegal
11,illegal
12,illegal
13,illegal
14,illegal
15,illegal
16,illegal
17,illegal
18,illegal
19,illegal
20,illegal
21,illegal
22,illegal
23,illegal
24,illegal
25,illegal
26,illegal
27,illegal
28,illegal
29,illegal
30,illegal
31,illegal
32,illegal
33,illegal
34,illegal
35,illegal
36,illegal
37,illegal
38,illegal
39,illegal
40,illegal
41,illegal
42,illegal
43,illegal
44,illegal
45,illegal
46,illegal
47,illegal
48,illegal
49,illegal
50,illegal
51,illegal
52,illegal
53,illegal
54,illegal
55,illegal
56,illegal
57,illegal
58,illegal
59,illegal
60,illegal
61,illegal
62,illegal
63,illegal
64,illegal
65,illegal
66,illegal
67,illegal
68,illegal
69,illegal
70,illegal
71,illegal
72,illegal
73,illegal
74,illegal
75,illegal
76,illegal
77,illegal
78,illegal
79,illegal
80,illegal
81,illegal
82,illegal
83,illegal
84,illegal
85,illegal
86,illegal
87,illegal
88,illegal
89,illegal
90,illegal
91,illegal
92,illegal
93,illegal
94,illegal
95,illegal
96,illegal
97,illegal
98,illegal
99,illegal
100,illegal
101,illegal
102,illegal
103,illegal
104,illegal
105,illegal
106,illegal
107,illegal
108,illegal
109,illegal
110,illegal
111,illegal
112,illegal
113,illegal
114,illegal
115,illegal
116,illegal
117,illegal
118,illegal
119,illegal
120,illegal
121,illegal
122,illegal
123,illegal
124,illegal
125,illegal
126,illegal
127,illegal
128,illegal
129,illegal
130,illegal
131,illegal
132,illegal
133,illegal
134,illegal
135,illegal
136,illegal
137,illegal
138,illegal
139,illegal
140,illegal
141,illegal
142,illegal
143,illegal
144,illegal
145,illegal
146,illegal
147,illegal
148,illegal
149,illegal
150,illegal
151,illegal
152,illegal
153,illegal
154,illegal
155,illegal
156,illegal
157,illegal
158,illegal
159,illegal
160,illegal
161,illegal
162,illegal
163,illegal
164,illegal
165,illegal
166,illegal
167,illegal
168,illegal
169,illegal
170,illegal
171,illegal
172,illegal
173,illegal
174,illegal
175,illegal
176,illegal
177,illegal
178,illegal
179,illegal
180,illegal
181,illegal
182,illegal
183,illegal
184,illegal
185,illegal
186,illegal
187,illegal
188,illegal
189,illegal
190,illegal
191,illegal
192,illegal
193,illegal
194,illegal
195,illegal
196,illegal
197,illegal
198,illegal
199,illegal
200,illegal
201,illegal
202,illegal
203,illegal
204,illegal
205,illegal
206,illegal
207,illegal
208,illegal
209,illegal
210,illegal
211,illegal
212,illegal
213,illegal
214,illegal
215,illegal
216,illegal
217,illegal
218,illegal
219,illegal
220,illegal
221,illegal
222,illegal
223,illegal
224,illegal
225,illegal
226,illegal
227,illegal
228,illegal
229,illegal
230,illegal
231,illegal
232,illegal
233,illegal
234,illegal
