id,file,rank
1,5,2
2,5,5
3,5,3
4,4,0
5,6,0
6,5,7
7,5,3
8,3,6
9,6,2
10,0,1
11,3,0
12,3,3
13,5,3
14,5,2
15,2,0
16,5,3
17,2,2
18,6,4
19,1,3
20,4,6
21,0,1
22,1,5
23,5,1
24,5,1
25,5,6
26,0,1
27,3,7
28,1,5
29,4,3
30,7,7
31,0,4
32,7,7
33,2,6
34,0,2
35,2,6
36,7,5
37,7,2
38,6,4
39,4,1
40,0,5
41,6,2
42,2,5
43,5,4
44,0,7
45,7,5
46,2,3
47,4,3
48,0,4
49,4,4
50,2,2
51,4,2
52,3,6
53,5,3
54,0,0
55,0,0
56,1,2
57,7,7
58,6,6
59,0,6
60,3,1
61,7,6
62,0,5
63,4,1
64,7,3
65,5,2
66,3,6
67,0,5
68,5,4
69,4,0
70,5,5
71,1,5
72,0,1
73,0,3
74,7,5
75,6,6
76,5,1
77,4,7
78,6,5
79,1,3
80,7,6
81,4,4
82,7,4
83,7,2
84,1,1
85,0,0
86,3,7
87,7,3
88,7,7
89,2,6
90,1,2
91,1,6
92,2,7
93,3,7
94,5,1
95,1,6
96,0,2
97,3,0
98,3,1
99,4,0
100,4,0
101,0,1
102,4,1
103,0,6
104,7,2
105,7,4
106,6,0
107,3,6
108,4,5
109,4,2
110,1,5
111,6,5
112,7,0
113,3,4
114,6,7
115,6,1
116,0,1
117,0,3
118,5,3
119,5,4
120,3,1
121,5,4
122,2,0
123,5,1
124,4,2
125,0,1
126,2,4
127,3,5
128,7,3
129,6,3
130,7,1
131,6,5
132,3,7
133,3,5
134,2,0
135,0,0
136,7,6
137,3,5
138,6,5
139,5,1
140,7,5
141,1,1
142,1,3
143,5,6
144,4,3
145,7,7
146,0,6
147,7,6
148,7,7
149,2,3
150,0,4
151,7,3
152,1,4
153,5,6
154,0,5
155,1,7
156,4,4
157,6,4
158,4,2
159,1,6
160,0,2
161,6,0
162,7,4
163,5,3
164,4,7
165,1,5
166,7,2
167,7,1
168,7,3
169,0,3
170,0,4
171,1,0
172,5,5
173,5,5
174,5,5
175,3,2
176,6,1
177,0,2
178,5,6
179,6,1
180,7,7
181,5,1
182,1,6
183,3,2
184,5,3
185,5,7
186,3,2
187,5,5
188,1,1
189,2,1
190,0,4
191,2,3
192,2,5
193,5,6
194,0,4
195,6,3
196,4,3
197,6,5
198,3,3
199,7,0
200,7,3
201,6,3
202,3,4
203,1,6
204,3,1
205,7,4
206,5,3
207,5,1
208,3,3
209,6,3
210,3,7
211,7,2
212,3,1
213,7,5
214,3,4
215,1,6
216,7,7
217,2,0
218,3,3
219,3,3
220,6,5
221,1,1
222,2,0
223,5,0
224,6,3
225,2,1
226,5,2
227,4,0
228,7,4
229,5,2
230,1,6
231,5,2
232,4,0
233,2,1
234,6,6
235,6,0
236,7,1
237,4,3
238,6,4
239,1,5
240,4,4
241,1,0
242,3,4
243,6,1
244,6,1
245,4,3
246,4,6
247,1,3
248,6,4
249,5,6
250,7,0
251,0,5
252,0,7
253,3,7
254,2,1
255,0,5
256,6,1
257,0,6
258,7,7
259,4,1
260,5,5
261,5,3
262,2,1
263,6,2
264,1,5
265,2,2
266,0,7
267,1,2
268,3,3
269,0,1
270,4,1
271,5,6
272,5,6
273,5,0
274,7,2
275,3,0
276,5,3
277,6,0
278,3,1
279,6,4
280,3,5
281,1,2
282,0,6
283,4,4
284,5,1
285,0,0
286,2,0
287,5,3
288,5,0
289,3,5
290,0,6
291,3,7
292,3,0
293,7,4
294,4,3
295,6,2
296,5,4
297,6,7
298,1,6
299,7,2
300,7,4
301,0,5
302,3,3
303,0,6
304,1,6
305,6,7
306,7,2
307,2,6
308,5,3
309,6,6
310,5,1
311,4,6
312,4,5
313,6,0
314,0,7
315,1,5
316,7,0
317,5,2
318,1,6
319,5,7
320,3,6
321,6,6
322,5,6
323,2,7
324,2,7
325,5,1
326,0,1
327,3,6
328,4,1
329,1,5
330,7,6
331,6,4
332,5,0
333,0,6
334,7,0
335,6,4
336,3,6
337,2,6
338,5,3
339,4,5
340,0,2
341,7,3
342,5,4
343,7,4
344,6,5
345,7,7
346,0,0
347,2,6
348,0,5
349,4,4
350,6,3
351,3,2
352,7,5
353,3,0
354,2,6
355,2,5
356,5,1
357,1,0
358,0,4
359,0,6
360,1,7
361,7,3
362,3,0
363,5,5
364,3,0
365,7,4
366,0,5
367,7,3
368,2,0
369,4,3
370,5,5
371,7,6
372,6,5
373,3,6
374,3,6
375,2,7
376,5,4
377,3,7
378,3,6
379,2,2
380,3,3
381,0,6
382,6,6
383,4,2
384,6,7
385,1,5
386,1,0
387,5,5
388,6,6
389,5,0
390,5,2
391,7,3
392,1,0
393,1,6
394,2,0
395,5,4
396,0,3
397,2,0
398,6,1
399,2,4
400,6,7
401,2,5
402,3,3
403,4,2
404,4,4
405,2,4
406,0,7
407,1,4
408,6,5
409,1,7
410,3,1
411,3,7
412,2,3
413,5,0
414,4,5
415,5,3
416,1,7
417,2,7
418,6,6
419,1,7
420,1,3
421,5,4
422,4,0
423,6,5
424,1,6
425,4,6
426,4,4
427,4,7
428,3,2
429,7,5
430,2,7
431,1,0
432,6,7
433,7,1
434,5,4
435,5,2
436,1,3
437,5,7
438,3,1
439,5,6
440,0,2
441,4,0
442,7,1
443,6,7
444,1,7
445,5,0
446,1,3
447,4,4
