id,file,rank
1,5,2
2,4,2
3,0,0
4,1,4
5,5,1
6,4,1
7,2,2
8,1,1
9,6,2
10,4,1
11,3,3
12,5,1
13,5,2
14,7,0
15,5,2
16,5,2
17,5,7
18,2,4
19,2,4
20,4,6
21,7,6
22,3,5
23,6,5
24,2,5
25,3,7
26,3,2
27,0,4
28,0,1
29,5,7
30,0,4
31,2,6
32,7,1
33,6,4
34,6,6
35,0,4
36,7,7
37,4,5
38,7,2
39,6,3
40,0,3
41,2,4
42,5,2
43,7,5
44,4,1
45,4,4
46,2,7
47,7,1
48,4,0
49,0,1
50,4,0
51,0,7
52,1,4
53,6,1
54,5,7
55,2,7
56,0,7
57,7,1
58,5,0
59,2,3
60,0,2
61,3,0
62,6,3
63,2,4
64,7,5
65,4,0
66,2,6
67,5,5
68,6,3
69,5,6
70,5,2
71,0,1
72,5,2
73,4,3
74,6,3
75,2,7
76,6,3
77,3,5
78,4,0
79,3,4
80,7,0
81,0,0
82,2,1
83,5,0
84,2,3
85,7,3
86,6,2
87,4,5
88,6,1
89,0,4
90,6,7
91,6,7
92,6,0
93,1,0
94,7,3
95,0,1
96,3,5
97,1,3
98,5,7
99,1,5
100,7,6
101,1,7
102,1,3
103,7,6
104,4,7
105,2,2
106,0,5
107,1,2
108,0,1
109,6,6
110,7,6
111,3,6
112,0,3
113,4,4
114,3,5
115,1,7
116,0,3
117,3,3
118,4,0
119,5,3
120,4,0
121,3,7
122,6,5
123,5,0
124,5,0
125,0,1
126,4,4
127,1,3
128,3,0
129,5,1
130,5,0
131,2,2
132,3,0
133,4,2
134,7,0
135,2,4
136,6,6
137,3,5
138,3,7
139,2,4
140,3,1
141,7,4
142,7,4
143,5,0
144,0,1
145,3,1
146,7,5
147,5,7
148,5,6
149,4,4
150,6,1
151,4,7
152,0,6
153,7,7
154,6,0
155,2,7
156,7,3
157,2,4
158,1,0
159,7,6
160,3,0
161,6,0
162,4,1
163,0,7
164,7,3
165,0,2
166,2,0
167,6,4
168,2,7
169,5,0
170,5,2
171,4,3
172,4,2
173,5,3
174,0,1
175,0,2
176,1,7
177,4,3
178,3,6
179,4,6
180,4,6
181,7,0
182,7,5
183,5,4
184,5,5
185,2,1
186,4,0
187,0,7
188,3,0
189,0,6
190,0,4
191,6,3
192,7,0
193,6,3
194,1,7
195,3,5
196,5,4
197,4,3
198,1,0
199,2,3
200,4,2
201,0,2
202,0,6
203,7,0
204,4,3
205,2,1
206,0,0
207,1,0
208,3,6
209,5,7
210,3,6
211,2,2
212,6,6
213,3,1
214,6,2
215,2,0
216,6,1
217,3,1
218,0,7
219,5,7
220,5,0
221,5,5
222,5,3
223,1,3
224,6,2
225,0,5
226,5,2
227,1,2
228,2,4
229,6,5
230,0,2
231,3,7
232,6,5
233,4,4
234,5,5
235,6,7
236,3,3
237,4,3
238,3,2
239,1,5
240,1,6
241,7,3
242,4,6
243,7,7
244,1,7
245,4,3
246,5,6
247,3,2
248,6,0
249,2,3
250,6,6
251,7,3
252,6,7
253,3,3
254,7,0
255,1,0
256,1,0
257,4,6
258,3,1
259,6,4
260,3,0
261,3,3
262,7,7
263,5,1
264,4,3
265,7,1
266,3,6
267,7,6
268,4,2
269,1,3
270,5,3
271,4,7
272,3,2
273,2,5
274,5,4
275,0,6
276,0,1
277,3,5
278,4,3
279,0,3
280,5,1
281,7,7
282,3,3
283,1,4
284,0,4
285,7,3
286,5,3
287,0,5
288,5,6
289,0,7
290,2,0
291,3,7
292,7,5
293,2,2
294,7,6
295,6,2
296,5,4
297,1,2
298,4,6
299,5,4
300,7,0
301,5,3
302,5,0
303,7,7
304,0,1
305,0,7
306,2,5
307,7,6
308,6,1
309,1,1
310,3,3
311,6,0
312,7,0
313,6,3
314,1,3
315,7,1
316,7,0
317,5,2
318,5,4
319,4,4
320,1,0
321,5,4
322,3,7
323,0,7
324,5,3
325,7,5
326,7,2
327,6,1
328,2,4
329,3,5
330,1,2
331,6,4
