dataset,representation,graph_kernel,C,svm_kernel,train_accuracy,test_accuracy
krk,node_only,shortest_path,10.0,precomputed,0.5,0.5
krk,node_only,weisfeiler_lehman,10.0,precomputed,1.0,0.5
krk,node_only,graphlet_sampling,10.0,precomputed,0.5,0.5
krk,node_only,shortest_path,1.0,precomputed,0.5,0.5
krk,node_only,weisfeiler_lehman,1.0,precomputed,1.0,0.5
krk,node_only,graphlet_sampling,1.0,precomputed,0.5,0.5
krk,node_only,shortest_path,0.1,precomputed,0.5,0.5
krk,node_only,weisfeiler_lehman,0.1,precomputed,1.0,0.5
krk,node_only,graphlet_sampling,0.1,precomputed,0.5,0.5
krk,node_edge,shortest_path,10.0,precomputed,0.5,0.5
krk,node_edge,weisfeiler_lehman,10.0,precomputed,1.0,0.5
krk,node_edge,graphlet_sampling,10.0,precomputed,0.5,0.5
krk,node_edge,shortest_path,1.0,precomputed,0.5,0.5
krk,node_edge,weisfeiler_lehman,1.0,precomputed,1.0,0.5
krk,node_edge,graphlet_sampling,1.0,precomputed,0.5,0.5
krk,node_edge,shortest_path,0.1,precomputed,0.5,0.5
krk,node_edge,weisfeiler_lehman,0.1,precomputed,1.0,0.5
krk,node_edge,graphlet_sampling,0.1,precomputed,0.5,0.5
krk,edge_based,shortest_path,10.0,precomputed,0.5,0.5
krk,edge_based,weisfeiler_lehman,10.0,precomputed,1.0,0.5
krk,edge_based,graphlet_sampling,10.0,precomputed,0.5063291139240507,0.5
krk,edge_based,shortest_path,1.0,precomputed,0.5,0.5
krk,edge_based,weisfeiler_lehman,1.0,precomputed,1.0,0.5
krk,edge_based,graphlet_sampling,1.0,precomputed,0.5063291139240507,0.5
krk,edge_based,shortest_path,0.1,precomputed,0.5,0.5
krk,edge_based,weisfeiler_lehman,0.1,precomputed,1.0,0.5
krk,edge_based,graphlet_sampling,0.1,precomputed,0.5063291139240507,0.5
krk,Klog,shortest_path,10.0,precomputed,0.6012658227848101,0.6666666666666666
krk,Klog,weisfeiler_lehman,10.0,precomputed,1.0,0.7380952380952381
krk,Klog,graphlet_sampling,10.0,precomputed,0.8227848101265823,0.7619047619047619
krk,Klog,shortest_path,1.0,precomputed,0.6012658227848101,0.6666666666666666
krk,Klog,weisfeiler_lehman,1.0,precomputed,1.0,0.7380952380952381
krk,Klog,graphlet_sampling,1.0,precomputed,0.8227848101265823,0.7619047619047619
krk,Klog,shortest_path,0.1,precomputed,0.6012658227848101,0.6666666666666666
krk,Klog,weisfeiler_lehman,0.1,precomputed,1.0,0.7380952380952381
krk,Klog,graphlet_sampling,0.1,precomputed,0.8227848101265823,0.7619047619047619
