drug_id,atom_id_1,atom_id_2,atom_id_3,atom_id_4,atom_id_5,atom_id_6
d1,d1_6,d1_1,d1_2,d1_3,d1_4,d1_5
d1,d1_5,d1_14,d1_13,d1_12,d1_11,d1_4
d1,d1_20,d1_12,d1_11,d1_17,d1_18,d1_19
d4,d4_6,d4_1,d4_2,d4_3,d4_4,d4_5
d4,d4_9,d4_10,d4_4,d4_3,d4_7,d4_8
d4,d4_16,d4_11,d4_12,d4_13,d4_14,d4_15
d6,d6_6,d6_1,d6_2,d6_3,d6_4,d6_5
d6,d6_9,d6_10,d6_5,d6_4,d6_7,d6_8
d6,d6_7,d6_13,d6_12,d6_11,d6_3,d6_4
d6,d6_8,d6_15,d6_14,d6_16,d6_13,d6_7
d10,d10_6,d10_1,d10_2,d10_3,d10_4,d10_5
d10,d10_9,d10_10,d10_11,d10_12,d10_7,d10_8
d11,d11_6,d11_1,d11_2,d11_3,d11_4,d11_5
d11,d11_5,d11_14,d11_13,d11_12,d11_11,d11_4
d11,d11_19,d11_12,d11_11,d11_16,d11_17,d11_18
d12,d12_6,d12_1,d12_2,d12_3,d12_4,d12_5
d12,d12_9,d12_10,d12_11,d12_12,d12_5,d12_4
d12,d12_9,d12_10,d12_22,d12_21,d12_20,d12_17
d12,d12_9,d12_17,d12_16,d12_15,d12_3,d12_4
d13,d13_6,d13_1,d13_2,d13_3,d13_4,d13_5
d13,d13_9,d13_10,d13_4,d13_3,d13_7,d13_8
d13,d13_16,d13_11,d13_12,d13_13,d13_14,d13_15
d15,d15_6,d15_1,d15_2,d15_3,d15_4,d15_5
d15,d15_5,d15_13,d15_12,d15_11,d15_10,d15_4
d15,d15_23,d15_11,d15_10,d15_18,d15_21,d15_22
d15,d15_4,d15_10,d15_18,d15_17,d15_16,d15_3
d18,d18_6,d18_1,d18_2,d18_3,d18_4,d18_5
d18,d18_9,d18_10,d18_11,d18_12,d18_7,d18_8
d20,d20_6,d20_1,d20_2,d20_3,d20_4,d20_5
d20,d20_9,d20_10,d20_11,d20_12,d20_7,d20_8
d24,d24_6,d24_1,d24_2,d24_3,d24_4,d24_5
d24,d24_9,d24_10,d24_11,d24_12,d24_4,d24_3
d24,d24_18,d24_12,d24_11,d24_15,d24_16,d24_17
d24,d24_5,d24_29,d24_24,d24_18,d24_12,d24_4
d24,d24_24,d24_18,d24_17,d24_21,d24_22,d24_23
d24,d24_29,d24_24,d24_23,d24_26,d24_27,d24_28
d24,d24_6,d24_33,d24_32,d24_28,d24_29,d24_5
d25,d25_6,d25_1,d25_2,d25_3,d25_4,d25_5
d25,d25_9,d25_10,d25_11,d25_12,d25_7,d25_8
d26,d26_6,d26_1,d26_2,d26_3,d26_4,d26_5
d27,d27_6,d27_1,d27_2,d27_3,d27_4,d27_5
d27,d27_4,d27_14,d27_13,d27_12,d27_11,d27_3
d27,d27_19,d27_13,d27_12,d27_16,d27_17,d27_18
d27,d27_24,d27_14,d27_13,d27_19,d27_22,d27_23
d27,d27_29,d27_22,d27_19,d27_18,d27_27,d27_28
d28,d28_6,d28_1,d28_2,d28_3,d28_4,d28_5
d28,d28_9,d28_10,d28_11,d28_12,d28_7,d28_8
d31,d31_6,d31_1,d31_2,d31_3,d31_4,d31_5
d31,d31_4,d31_13,d31_12,d31_11,d31_10,d31_3
d31,d31_20,d31_15,d31_16,d31_17,d31_18,d31_19
d41,d41_6,d41_1,d41_2,d41_3,d41_4,d41_5
d41,d41_15,d41_10,d41_11,d41_12,d41_13,d41_14
d43,d43_6,d43_1,d43_2,d43_3,d43_4,d43_5
d43,d43_4,d43_13,d43_12,d43_11,d43_10,d43_3
d43,d43_21,d43_16,d43_17,d43_18,d43_19,d43_20
d45,d45_6,d45_1,d45_2,d45_3,d45_4,d45_5
d46,d46_9,d46_10,d46_4,d46_3,d46_7,d46_8
d46,d46_9,d46_10,d46_17,d46_16,d46_15,d46_14
d46,d46_9,d46_14,d46_13,d46_12,d46_11,d46_8
d46,d46_20,d46_15,d46_14,d46_13,d46_18,d46_19
d48,d48_6,d48_1,d48_2,d48_3,d48_4,d48_5
d48,d48_4,d48_14,d48_13,d48_12,d48_11,d48_3
d48,d48_20,d48_13,d48_12,d48_17,d48_18,d48_19
d49,d49_6,d49_1,d49_2,d49_3,d49_4,d49_5
d49,d49_15,d49_10,d49_11,d49_12,d49_13,d49_14
d50,d50_6,d50_1,d50_2,d50_3,d50_4,d50_5
d50,d50_4,d50_13,d50_12,d50_11,d50_10,d50_3
d51,d51_6,d51_1,d51_2,d51_3,d51_4,d51_5
d51,d51_9,d51_10,d51_4,d51_3,d51_7,d51_8
d51,d51_5,d51_13,d51_12,d51_11,d51_10,d51_4
d51,d51_9,d51_10,d51_11,d51_16,d51_15,d51_14
d52,d52_6,d52_1,d52_2,d52_3,d52_4,d52_5
d52,d52_9,d52_10,d52_4,d52_3,d52_7,d52_8
d52,d52_5,d52_13,d52_12,d52_11,d52_10,d52_4
d52,d52_9,d52_10,d52_11,d52_16,d52_15,d52_14
d53,d53_6,d53_1,d53_2,d53_3,d53_4,d53_5
d53,d53_15,d53_10,d53_11,d53_12,d53_13,d53_14
d54,d54_6,d54_1,d54_2,d54_3,d54_4,d54_5
d54,d54_15,d54_10,d54_11,d54_12,d54_13,d54_14
d56,d56_6,d56_1,d56_2,d56_3,d56_4,d56_5
d56,d56_16,d56_11,d56_12,d56_13,d56_14,d56_15
d57,d57_6,d57_1,d57_2,d57_3,d57_4,d57_5
