id,class
d92,pos
d308,pos
d196,pos
d330,pos
d197,pos
d306,pos
d45,pos
d145,pos
d243,pos
d244,pos
d138,pos
d275,pos
d39,pos
d5,pos
d23_2,pos
d14,pos
d305,pos
d85_1,pos
d208_2,neg
d303,neg
d183,neg
d77,neg
d300,neg
d190,neg
d304,neg
d159,neg
d75,neg
d318,neg
d67,neg
d207,neg
d267,neg
d269,neg
d149,neg
d94,pos
d55,pos
d284,pos
d16,pos
d201,pos
d322,pos
d22,pos
d289,pos
d52,pos
d137,pos
d91,pos
d241,pos
d226,pos
d42,pos
d21,pos
d278,pos
d24,pos
d28,pos
d69,neg
d225,neg
d220,neg
d334,neg
d260,neg
d119,neg
d110,neg
d187,neg
d266,neg
d182,neg
d188,neg
d222,neg
d157,neg
d326,neg
d154,neg
d25,pos
d47,pos
d13,pos
d38,pos
d17,pos
d41,pos
d29,pos
d227,pos
d96,pos
d192,pos
d198,pos
d46,pos
d9,pos
d51,pos
d316,pos
d6,pos
d254,pos
d231,pos
d176,neg
d150,neg
d258,neg
d185,neg
d68,neg
d171,neg
d164,neg
d79,neg
d65,neg
d74,neg
d113,neg
d265,neg
d122,neg
d282,neg
d268,neg
d103,pos
d97,pos
d273,pos
d307,pos
d240,pos
d140,pos
d58,pos
d31,pos
d331,pos
d141,pos
d230,pos
d253,pos
d101,pos
d56,pos
d248,pos
d274,pos
d245,pos
d249,pos
d117,neg
d163,neg
d324,neg
d287,neg
d294,neg
d173,neg
d285,neg
d128,neg
d83,neg
d62,neg
d132,neg
d317,neg
d271,neg
d120,neg
d71,neg
d323,pos
d2,pos
d229,pos
d336,pos
d19,pos
d193,pos
d204,pos
d143,pos
d98,pos
d35,pos
d40,pos
d1,pos
d239,pos
d10,pos
d109,pos
d12,pos
d191,pos
d288,pos
d208_1,neg
d126,neg
d160,neg
d261,neg
d61,neg
d124,neg
d151,neg
d221,neg
d328,neg
d127,neg
d133,neg
d155,neg
d73,neg
d256,neg
d66,neg
d85_2,pos
d100,pos
d142,pos
d95,pos
d290,pos
d205,pos
d90,pos
d4,pos
d281,pos
d315,pos
d272,pos
d33,pos
d144,pos
d255,pos
d235,pos
d54,pos
d314,pos
d104,pos
d223,neg
d174,neg
d224,neg
d59,neg
d212,neg
d175,neg
d121,neg
d313,neg
d299,neg
d180,neg
d295,neg
d298,neg
d170,neg
d280,neg
d112,neg
d34,pos
d3,pos
d286,pos
d146,pos
d337,pos
d53,pos
d252,pos
d107,pos
d291,pos
d30,pos
d206,pos
d236,pos
d247,pos
d203,pos
d99,pos
d48,pos
d234,pos
d148,pos
d309,neg
d168,neg
d78,neg
d156,neg
d218,neg
d81,neg
d116,neg
d276,neg
d259,neg
d219,neg
d70,neg
d131,neg
d172,neg
d129,neg
d125,neg
d237,pos
d139,pos
d26,pos
d102,pos
d333,pos
d279,pos
d277,pos
d147,pos
d7,pos
d106,pos
d238,pos
d251,pos
d246,pos
d292,pos
d11,pos
d134,pos
d89,pos
d36,pos
d118,neg
d64,neg
d179,neg
d114,neg
d181,neg
d293,neg
d214,neg
d80,neg
d209,neg
d216,neg
d210,neg
d186,neg
d162,neg
d319,neg
d152,neg
d8,pos
d195,pos
d49,pos
d332,pos
d32,pos
d325,pos
d296,pos
d93,pos
d202,pos
d105,pos
d27,pos
d20,pos
d37,pos
d44,pos
d283,pos
d108,pos
d232,pos
d86,pos
d161,neg
d270,neg
d169,neg
d177,neg
d264,neg
d215,neg
d335,neg
d211,neg
d297,neg
d217,neg
d184,neg
d60,neg
d263,neg
d72,neg
d111,neg
d88,pos
d43,pos
d87,pos
d200,pos
d233,pos
d18,pos
d311,pos
d136,pos
d23_1,pos
d50,pos
d250,pos
d15,pos
d320,pos
d57,pos
d84,pos
d135,pos
d228,pos
d242,pos
d199,pos
d329,pos
d63,neg
d166,neg
d165,neg
d213,neg
d302,neg
d123,neg
d130,neg
d167,neg
d76,neg
d82,neg
d189,neg
d257,neg
d153,neg
