id,atom_id,atom_type,charge
d172,d172_1,113,'a0=0_1375<x<=+inf'
d182,d182_34,83,'a0=0_1375<x<=+inf'
d10,d10_10,3,'a0=0_1375<x<=+inf'
d10,d10_11,3,'a0=0_1375<x<=+inf'
d10,d10_15,1,'a0=0_1375<x<=+inf'
d10,d10_7,3,'a0=0_1375<x<=+inf'
d10,d10_8,3,'a0=0_1375<x<=+inf'
d10,d10_9,3,'a0=0_1375<x<=+inf'
d100,d100_10,3,'a0=0_1375<x<=+inf'
d100,d100_17,3,'a0=0_1375<x<=+inf'
d100,d100_18,3,'a0=0_1375<x<=+inf'
d100,d100_19,3,'a0=0_1375<x<=+inf'
d100,d100_20,3,'a0=0_1375<x<=+inf'
d100,d100_7,3,'a0=0_1375<x<=+inf'
d100,d100_8,3,'a0=0_1375<x<=+inf'
d100,d100_9,3,'a0=0_1375<x<=+inf'
d103,d103_4,3,'a0=0_0615<x<=0_1375'
d103,d103_5,3,'a0=0_0615<x<=0_1375'
d104,d104_5,3,'a0=_0_0175<x<=0_0615'
d104,d104_8,3,'a0=_0_0175<x<=0_0615'
d105,d105_6,3,'a0=0_1375<x<=+inf'
d109,d109_22,3,'a0=0_1375<x<=+inf'
d109,d109_23,3,'a0=0_1375<x<=+inf'
d109,d109_24,1,'a0=0_1375<x<=+inf'
d109,d109_25,1,'a0=0_1375<x<=+inf'
d109,d109_26,1,'a0=0_1375<x<=+inf'
d109,d109_27,1,'a0=0_1375<x<=+inf'
d109,d109_28,3,'a0=0_0615<x<=0_1375'
d109,d109_29,3,'a0=0_0615<x<=0_1375'
d109,d109_30,3,'a0=0_1375<x<=+inf'
d109,d109_31,3,'a0=0_1375<x<=+inf'
d109,d109_32,3,'a0=0_1375<x<=+inf'
d11,d11_14,3,'a0=_0_0175<x<=0_0615'
d11,d11_15,3,'a0=_0_0175<x<=0_0615'
d11,d11_16,3,'a0=_0_0175<x<=0_0615'
d11,d11_17,1,'a0=0_1375<x<=+inf'
d11,d11_18,1,'a0=0_1375<x<=+inf'
d11,d11_19,1,'a0=0_1375<x<=+inf'
d11,d11_20,1,'a0=0_1375<x<=+inf'
d11,d11_7,3,'a0=0_0615<x<=0_1375'
d11,d11_8,3,'a0=0_0615<x<=0_1375'
d11,d11_9,3,'a0=0_0615<x<=0_1375'
d110,d110_10,3,'a0=0_1375<x<=+inf'
d110,d110_11,3,'a0=0_1375<x<=+inf'
d110,d110_7,3,'a0=0_1375<x<=+inf'
d110,d110_8,3,'a0=0_1375<x<=+inf'
d110,d110_9,3,'a0=0_1375<x<=+inf'
d111,d111_16,3,'a0=0_1375<x<=+inf'
d111,d111_17,3,'a0=0_1375<x<=+inf'
d111,d111_18,3,'a0=0_1375<x<=+inf'
d111,d111_7,3,'a0=0_1375<x<=+inf'
d111,d111_8,3,'a0=0_1375<x<=+inf'
d111,d111_9,3,'a0=0_1375<x<=+inf'
d113,d113_10,3,'a0=0_0615<x<=0_1375'
d113,d113_17,3,'a0=0_0615<x<=0_1375'
d113,d113_18,3,'a0=0_0615<x<=0_1375'
d113,d113_19,3,'a0=0_0615<x<=0_1375'
d113,d113_20,3,'a0=0_0615<x<=0_1375'
d113,d113_24,3,'a0=_0_0175<x<=0_0615'
d113,d113_25,3,'a0=_0_0175<x<=0_0615'
d113,d113_26,3,'a0=_0_0175<x<=0_0615'
d113,d113_27,3,'a0=_0_0175<x<=0_0615'
d113,d113_28,3,'a0=_0_0175<x<=0_0615'
d113,d113_31,3,'a0=_0_0175<x<=0_0615'
d113,d113_32,3,'a0=_0_0175<x<=0_0615'
d113,d113_33,3,'a0=_0_0175<x<=0_0615'
d113,d113_34,3,'a0=_0_0175<x<=0_0615'
d113,d113_35,3,'a0=_0_0175<x<=0_0615'
d113,d113_37,3,'a0=0_0615<x<=0_1375'
d113,d113_40,3,'a0=_0_0175<x<=0_0615'
d113,d113_7,3,'a0=0_0615<x<=0_1375'
d113,d113_8,3,'a0=0_0615<x<=0_1375'
d113,d113_9,3,'a0=0_0615<x<=0_1375'
d114,d114_13,1,'a0=0_1375<x<=+inf'
d114,d114_14,1,'a0=0_1375<x<=+inf'
d114,d114_16,1,'a0=0_1375<x<=+inf'
d116,d116_10,3,'a0=0_1375<x<=+inf'
d116,d116_17,3,'a0=0_1375<x<=+inf'
d116,d116_18,3,'a0=0_1375<x<=+inf'
d116,d116_19,3,'a0=0_1375<x<=+inf'
d116,d116_20,3,'a0=0_1375<x<=+inf'
d116,d116_23,3,'a0=0_0615<x<=0_1375'
d116,d116_26,3,'a0=0_0615<x<=0_1375'
d116,d116_7,3,'a0=0_1375<x<=+inf'
d116,d116_8,3,'a0=0_1375<x<=+inf'
d116,d116_9,3,'a0=0_1375<x<=+inf'
d117,d117_11,3,'a0=_0_0175<x<=0_0615'
d117,d117_12,3,'a0=_0_0175<x<=0_0615'
d117,d117_13,3,'a0=_0_0175<x<=0_0615'
d117,d117_14,3,'a0=_0_0175<x<=0_0615'
d117,d117_15,3,'a0=0_0615<x<=0_1375'
d117,d117_16,3,'a0=0_0615<x<=0_1375'
d117,d117_21,1,'a0=0_1375<x<=+inf'
d117,d117_22,1,'a0=0_1375<x<=+inf'
d117,d117_26,1,'a0=0_1375<x<=+inf'
d117,d117_27,1,'a0=0_1375<x<=+inf'
d12,d12_12,1,'a0=0_1375<x<=+inf'
d12,d12_13,1,'a0=0_1375<x<=+inf'
d12,d12_14,1,'a0=0_1375<x<=+inf'
d12,d12_15,1,'a0=0_1375<x<=+inf'
d12,d12_17,3,'a0=_0_0175<x<=0_0615'
d12,d12_18,3,'a0=_0_0175<x<=0_0615'
d12,d12_19,3,'a0=_0_0175<x<=0_0615'
d12,d12_7,3,'a0=0_0615<x<=0_1375'
d12,d12_8,3,'a0=0_0615<x<=0_1375'
d12,d12_9,3,'a0=0_0615<x<=0_1375'
d120,d120_10,3,'a0=0_1375<x<=+inf'
d120,d120_7,3,'a0=0_1375<x<=+inf'
d120,d120_8,3,'a0=0_1375<x<=+inf'
d120,d120_9,3,'a0=0_1375<x<=+inf'
d121,d121_11,3,'a0=_0_0175<x<=0_0615'
d121,d121_12,3,'a0=_0_0175<x<=0_0615'
d121,d121_18,3,'a0=0_0615<x<=0_1375'
d121,d121_19,3,'a0=0_0615<x<=0_1375'
d121,d121_21,3,'a0=0_0615<x<=0_1375'
d121,d121_22,3,'a0=0_0615<x<=0_1375'
d121,d121_23,3,'a0=0_0615<x<=0_1375'
d121,d121_24,3,'a0=0_0615<x<=0_1375'
