dataset,representation,graph_kernel,C,svm_kernel,train_accuracy,test_accuracy
cancer,node_edge,shortest_path,10.0,precomputed,0.6730769230769231,0.4714285714285714
cancer,node_edge,weisfeiler_lehman,10.0,precomputed,1.0,0.5857142857142857
cancer,node_edge,graphlet_sampling,10.0,precomputed,0.6230769230769231,0.5
cancer,node_edge,shortest_path,1.0,precomputed,0.6692307692307692,0.45714285714285713
cancer,node_edge,weisfeiler_lehman,1.0,precomputed,1.0,0.5857142857142857
cancer,node_edge,graphlet_sampling,1.0,precomputed,0.6192307692307693,0.4857142857142857
cancer,node_edge,shortest_path,0.1,precomputed,0.6730769230769231,0.5
cancer,node_edge,weisfeiler_lehman,0.1,precomputed,1.0,0.5857142857142857
cancer,node_edge,graphlet_sampling,0.1,precomputed,0.6192307692307693,0.44285714285714284
cancer,edge_based,shortest_path,10.0,precomputed,0.6576923076923077,0.5428571428571428
cancer,edge_based,weisfeiler_lehman,10.0,precomputed,1.0,0.5428571428571428
cancer,edge_based,graphlet_sampling,10.0,precomputed,0.5961538461538461,0.5714285714285714
cancer,edge_based,shortest_path,1.0,precomputed,0.6576923076923077,0.5
cancer,edge_based,weisfeiler_lehman,1.0,precomputed,1.0,0.5428571428571428
cancer,edge_based,graphlet_sampling,1.0,precomputed,0.6115384615384616,0.6285714285714286
cancer,edge_based,shortest_path,0.1,precomputed,0.6576923076923077,0.5142857142857142
cancer,edge_based,weisfeiler_lehman,0.1,precomputed,1.0,0.5428571428571428
cancer,edge_based,graphlet_sampling,0.1,precomputed,0.6346153846153846,0.6142857142857143
cancer,Klog,shortest_path,10.0,precomputed,0.7115384615384616,0.5
cancer,Klog,weisfeiler_lehman,10.0,precomputed,1.0,0.5142857142857142
cancer,Klog,graphlet_sampling,10.0,precomputed,0.6307692307692307,0.4714285714285714
cancer,Klog,shortest_path,1.0,precomputed,0.7153846153846154,0.4857142857142857
cancer,Klog,weisfeiler_lehman,1.0,precomputed,1.0,0.5142857142857142
cancer,Klog,graphlet_sampling,1.0,precomputed,0.6230769230769231,0.4714285714285714
cancer,Klog,shortest_path,0.1,precomputed,0.7038461538461539,0.4857142857142857
cancer,Klog,weisfeiler_lehman,0.1,precomputed,1.0,0.5142857142857142
cancer,Klog,graphlet_sampling,0.1,precomputed,0.6230769230769231,0.4714285714285714
