id,class
n_0_6,pos
n_1_10,pos
n_2_5,pos
n_3_3,pos
n_4_8,pos
n_5_2,pos
n_6_5,pos
n_7_8,pos
n_8_1,pos
n_9_6,pos
n_10_4,pos
n_11_2,pos
n_12_5,pos
n_13_6,pos
n_14_0,pos
n_15_10,pos
n_16_6,pos
n_17_7,pos
n_18_5,pos
n_19_9,pos
n_20_3,pos
n_21_2,pos
n_22_10,pos
n_23_2,pos
n_24_2,pos
n_25_10,pos
n_26_2,pos
n_27_9,pos
n_28_7,pos
n_29_0,pos
n_30_5,pos
n_31_7,pos
n_32_0,pos
n_33_3,pos
n_34_10,pos
n_35_9,pos
n_36_8,pos
n_37_6,pos
n_38_0,pos
n_39_0,pos
n_40_7,pos
n_41_4,pos
n_42_10,pos
n_43_10,pos
n_44_10,pos
n_45_2,pos
n_46_4,pos
n_47_2,pos
n_48_4,pos
n_49_5,pos
n_50_5,pos
n_51_10,pos
n_52_5,pos
n_53_0,pos
n_54_5,pos
n_55_3,pos
n_56_9,pos
n_57_7,pos
n_58_7,pos
n_59_2,pos
n_60_2,pos
n_61_2,pos
n_62_7,pos
n_63_10,pos
n_64_3,pos
n_65_7,pos
n_66_3,pos
n_67_9,pos
n_68_9,pos
n_69_7,pos
n_70_5,pos
n_71_8,pos
n_72_2,pos
n_73_7,pos
n_74_4,pos
n_75_10,pos
n_76_2,pos
n_77_9,pos
n_78_2,pos
n_79_2,pos
n_80_2,pos
n_81_4,pos
n_82_10,pos
n_83_10,pos
n_84_8,pos
n_85_1,pos
n_86_9,pos
n_87_0,pos
n_88_2,pos
n_89_9,pos
n_90_9,pos
n_91_3,pos
n_92_7,pos
n_93_9,pos
n_94_6,pos
n_95_3,pos
n_96_1,pos
n_97_9,pos
n_98_2,pos
n_99_5,pos
n_100_6,neg
n_101_10,neg
n_102_6,neg
n_103_1,neg
n_104_10,neg
n_105_10,neg
n_106_9,neg
n_107_8,neg
n_108_3,neg
n_109_9,neg
n_110_2,neg
n_111_10,neg
n_112_9,neg
n_113_3,neg
n_114_1,neg
n_115_8,neg
n_116_8,neg
n_117_2,neg
n_118_6,neg
n_119_1,neg
n_120_10,neg
n_121_5,neg
n_122_8,neg
n_123_8,neg
n_124_7,neg
n_125_4,neg
n_126_6,neg
n_127_6,neg
n_128_4,neg
n_129_8,neg
n_130_7,neg
n_131_2,neg
n_132_4,neg
n_133_6,neg
n_134_1,neg
n_135_9,neg
n_136_4,neg
n_137_8,neg
n_138_5,neg
n_139_7,neg
n_140_7,neg
n_141_3,neg
n_142_0,neg
n_143_4,neg
n_144_1,neg
n_145_4,neg
n_146_6,neg
n_147_3,neg
n_148_6,neg
n_149_2,neg
n_150_5,neg
n_151_1,neg
n_152_0,neg
n_153_6,neg
n_154_9,neg
n_155_8,neg
n_156_3,neg
n_157_2,neg
n_158_5,neg
n_159_2,neg
n_160_5,neg
n_161_5,neg
n_162_4,neg
n_163_3,neg
n_164_8,neg
n_165_9,neg
n_166_0,neg
n_167_1,neg
n_168_9,neg
n_169_5,neg
n_170_5,neg
n_171_4,neg
n_172_10,neg
n_173_5,neg
n_174_9,neg
n_175_10,neg
n_176_4,neg
n_177_10,neg
n_178_6,neg
n_179_7,neg
n_180_2,neg
n_181_2,neg
n_182_10,neg
n_183_7,neg
n_184_4,neg
n_185_7,neg
n_186_1,neg
n_187_8,neg
n_188_4,neg
n_189_1,neg
n_190_3,neg
n_191_2,neg
n_192_1,neg
n_193_7,neg
n_194_4,neg
n_195_0,neg
n_196_7,neg
n_197_9,neg
n_198_1,neg
n_199_1,neg
