id,node_1,node_2
0,0,1
0,0,2
0,1,3
0,1,2
0,2,3
0,2,2
1,0,1
1,0,3
1,1,2
1,1,3
1,2,3
3,0,3
3,0,2
3,1,2
3,1,3
3,2,3
4,0,3
4,0,2
4,0,0
4,1,2
4,2,3
4,3,3
5,0,1
5,0,0
5,1,2
5,2,3
6,0,2
6,1,2
6,1,1
6,2,3
7,0,3
7,0,1
7,0,2
7,1,1
7,1,2
8,0,2
8,0,0
8,0,1
8,1,2
9,0,1
9,0,2
9,1,3
9,1,2
9,2,3
10,0,3
10,1,3
10,1,2
10,2,3
10,2,2
11,0,1
11,0,3
11,0,2
11,1,2
11,1,3
11,2,3
12,0,3
12,1,1
12,2,2
13,0,2
13,0,3
13,0,1
13,1,3
13,1,2
13,2,3
15,0,3
15,0,2
15,0,1
15,1,2
15,1,3
15,2,3
16,0,3
16,1,1
16,1,2
16,2,2
16,2,3
17,0,1
17,0,3
17,0,2
17,1,2
17,2,3
18,0,3
18,0,2
18,1,2
18,1,3
18,2,3
19,0,1
19,0,2
19,0,3
19,1,3
19,1,2
19,2,3
20,0,3
20,0,1
20,0,2
20,1,2
20,2,3
21,0,1
21,0,3
21,1,1
21,2,3
21,2,2
22,0,3
22,0,1
22,0,2
22,1,2
22,2,3
23,0,0
23,0,2
23,1,2
23,2,3
23,3,3
24,0,2
24,0,1
24,1,3
24,1,2
24,2,3
25,0,1
25,0,2
25,0,3
25,1,3
25,2,3
27,0,2
27,0,1
27,0,3
27,1,3
27,1,2
27,2,3
28,0,2
28,0,3
28,0,1
28,2,3
28,3,3
29,0,3
29,0,2
29,0,1
29,1,3
29,1,2
29,2,3
30,0,1
30,0,2
30,1,2
30,1,3
31,0,1
31,0,3
31,0,2
31,1,2
31,1,3
31,2,3
33,0,1
33,0,2
33,0,3
33,1,3
33,1,2
33,2,3
34,0,1
34,0,0
34,1,2
34,1,1
35,0,1
35,0,3
35,0,2
35,1,2
35,2,3
36,0,3
36,0,2
36,2,2
36,2,3
36,3,3
37,0,3
37,0,1
37,0,2
37,1,2
37,1,3
37,2,3
38,0,2
38,0,3
38,0,1
38,1,2
38,1,3
38,2,3
39,0,2
39,0,3
39,1,3
39,1,2
40,0,2
40,0,3
40,0,1
40,1,1
40,2,3
41,0,0
41,0,2
41,1,1
41,3,3
42,0,1
42,0,2
42,0,3
42,1,3
42,1,2
42,2,3
43,0,2
43,0,3
43,2,3
43,2,2
43,3,3
44,0,1
44,0,3
44,1,2
44,1,3
44,2,3
46,0,3
46,0,1
46,0,2
46,1,2
46,2,3
47,0,0
47,0,2
47,1,3
47,1,2
47,3,3
48,0,1
48,0,3
48,2,3
49,0,1
49,0,3
49,0,2
49,1,2
49,2,3
50,0,3
50,0,2
50,1,3
50,1,2
50,2,3
50,3,3
51,0,2
51,0,3
51,0,1
51,1,2
51,1,3
51,2,3
52,0,3
52,0,2
52,0,1
52,1,3
52,1,2
52,2,3
53,0,0
53,0,1
53,2,3
53,3,3
54,0,3
54,0,1
54,1,2
54,1,3
55,0,2
55,0,1
55,1,3
55,2,3
56,0,1
56,1,1
56,2,3
57,0,3
57,0,2
57,0,1
57,1,2
57,1,3
57,2,3
58,0,3
58,0,1
58,1,3
58,3,3
59,0,1
59,0,3
59,0,2
59,1,2
59,1,3
59,2,3
60,0,3
60,0,1
60,1,2
60,1,3
60,2,3
61,0,3
61,0,2
61,1,1
61,2,3
61,3,3
62,0,2
62,0,1
62,0,3
62,1,3
62,2,3
63,0,2
63,0,1
63,0,3
63,1,3
63,1,2
63,2,3
64,0,3
64,0,2
64,1,3
64,2,3
66,0,1
66,0,2
66,0,3
66,1,3
66,2,3
67,0,2
67,2,3
67,2,2
67,3,3
68,0,3
68,1,3
68,1,2
68,1,1
68,2,2
68,2,3
69,0,2
69,1,3
69,1,2
69,3,3
70,0,1
70,0,2
70,0,3
70,1,2
70,2,3
70,3,3
71,0,0
71,0,3
71,1,3
71,1,1
71,1,2
72,0,2
72,1,2
72,2,2
73,0,1
73,0,2
73,1,1
74,0,0
74,0,3
74,1,3
74,2,3
74,2,2
77,0,2
77,0,1
77,1,3
77,1,2
77,2,3
78,0,1
78,0,3
78,0,2
78,1,2
78,1,3
78,2,3
79,0,3
79,0,2
79,0,1
79,1,2
79,1,3
79,2,3
80,0,2
80,0,3
80,0,1
80,1,3
80,1,2
80,2,3
81,0,3
81,0,1
81,1,2
81,3,3
82,0,1
82,0,3
82,0,2
82,1,2
82,1,3
82,2,3
83,0,2
83,0,3
83,0,1
83,1,3
83,1,2
83,2,3
84,0,1
84,0,2
84,1,3
84,1,2
84,2,3
85,0,3
85,0,1
85,1,3
86,0,1
86,0,3
86,1,2
86,2,3
87,0,1
87,0,2
87,0,3
87,1,3
87,2,3
88,0,3
88,0,0
88,1,2
88,1,1
88,2,3
89,0,2
89,0,3
89,1,1
89,2,2
89,3,3
90,0,3
90,1,2
90,1,3
90,2,3
91,0,2
91,2,2
91,2,3
92,0,2
92,0,1
92,0,3
92,1,3
92,1,2
92,2,3
93,0,3
93,0,1
93,0,2
93,1,2
93,1,3
93,2,3
94,0,2
94,0,1
94,0,3
94,1,3
94,1,2
94,2,3
95,0,3
95,0,2
95,0,1
95,1,3
95,1,2
95,2,3
96,0,2
96,0,1
96,0,3
96,1,3
96,2,3
98,0,0
98,0,1
98,1,2
99,0,2
99,0,3
99,1,2
99,2,3
99,3,3
