id,node_id,color
0,0,yellow
0,1,blue
0,2,blue
0,3,blue
1,0,yellow
1,1,yellow
1,2,blue
1,3,yellow
3,0,yellow
3,1,blue
3,2,blue
3,3,yellow
4,0,blue
4,1,red
4,2,yellow
4,3,green
5,0,red
5,1,green
5,2,yellow
5,3,yellow
6,0,yellow
6,1,yellow
6,2,blue
6,3,yellow
7,0,green
7,1,green
7,2,yellow
7,3,red
8,0,green
8,1,yellow
8,2,green
8,3,blue
9,0,red
9,1,red
9,2,yellow
9,3,red
10,0,blue
10,1,red
10,2,yellow
10,3,blue
11,0,yellow
11,1,green
11,2,green
11,3,red
12,0,yellow
12,1,blue
12,2,blue
12,3,red
13,0,blue
13,1,red
13,2,blue
13,3,yellow
15,0,yellow
15,1,yellow
15,2,red
15,3,green
16,0,green
16,1,yellow
16,2,red
16,3,yellow
17,0,red
17,1,red
17,2,red
17,3,blue
18,0,blue
18,1,blue
18,2,red
18,3,blue
19,0,green
19,1,blue
19,2,red
19,3,green
20,0,yellow
20,1,red
20,2,red
20,3,green
21,0,green
21,1,blue
21,2,blue
21,3,red
22,0,red
22,1,red
22,2,blue
22,3,green
23,0,green
23,1,red
23,2,green
23,3,red
24,0,yellow
24,1,green
24,2,green
24,3,green
25,0,red
25,1,green
25,2,yellow
25,3,green
27,0,yellow
27,1,yellow
27,2,red
27,3,red
28,0,green
28,1,blue
28,2,yellow
28,3,yellow
29,0,blue
29,1,yellow
29,2,green
29,3,yellow
30,0,yellow
30,1,blue
30,2,green
30,3,yellow
31,0,blue
31,1,yellow
31,2,yellow
31,3,red
33,0,red
33,1,blue
33,2,green
33,3,yellow
34,0,yellow
34,1,green
34,2,blue
34,3,red
35,0,yellow
35,1,blue
35,2,yellow
35,3,red
36,0,yellow
36,1,green
36,2,blue
36,3,green
37,0,red
37,1,green
37,2,blue
37,3,red
38,0,yellow
38,1,red
38,2,yellow
38,3,yellow
39,0,red
39,1,green
39,2,green
39,3,blue
40,0,red
40,1,blue
40,2,red
40,3,yellow
41,0,blue
41,1,green
41,2,yellow
41,3,red
42,0,yellow
42,1,green
42,2,blue
42,3,yellow
43,0,red
43,1,green
43,2,blue
43,3,yellow
44,0,yellow
44,1,blue
44,2,red
44,3,blue
46,0,blue
46,1,yellow
46,2,green
46,3,blue
47,0,green
47,1,blue
47,2,red
47,3,blue
48,0,green
48,1,red
48,2,blue
48,3,red
49,0,blue
49,1,green
49,2,green
49,3,green
50,0,green
50,1,red
50,2,red
50,3,red
51,0,blue
51,1,red
51,2,green
51,3,blue
52,0,red
52,1,blue
52,2,blue
52,3,blue
53,0,red
53,1,blue
53,2,blue
53,3,blue
54,0,green
54,1,yellow
54,2,red
54,3,red
55,0,green
55,1,green
55,2,red
55,3,blue
56,0,yellow
56,1,yellow
56,2,blue
56,3,yellow
57,0,green
57,1,red
57,2,yellow
57,3,yellow
58,0,red
58,1,yellow
58,2,green
58,3,blue
59,0,yellow
59,1,blue
59,2,yellow
59,3,yellow
60,0,green
60,1,blue
60,2,red
60,3,red
61,0,green
61,1,green
61,2,yellow
61,3,green
62,0,yellow
62,1,green
62,2,blue
62,3,green
63,0,green
63,1,yellow
63,2,blue
63,3,red
64,0,red
64,1,yellow
64,2,yellow
64,3,blue
66,0,green
66,1,red
66,2,red
66,3,yellow
67,0,red
67,1,red
67,2,green
67,3,green
68,0,yellow
68,1,red
68,2,blue
68,3,yellow
69,0,blue
69,1,red
69,2,red
69,3,green
70,0,green
70,1,red
70,2,green
70,3,blue
71,0,red
71,1,red
71,2,yellow
71,3,green
72,0,red
72,1,red
72,2,yellow
72,3,green
73,0,red
73,1,blue
73,2,green
73,3,green
74,0,green
74,1,blue
74,2,blue
74,3,green
77,0,red
77,1,yellow
77,2,red
77,3,yellow
78,0,green
78,1,blue
78,2,green
78,3,yellow
79,0,blue
79,1,red
79,2,red
79,3,green
80,0,green
80,1,green
80,2,yellow
80,3,blue
81,0,green
81,1,red
81,2,red
81,3,blue
82,0,blue
82,1,red
82,2,red
82,3,yellow
83,0,blue
83,1,green
83,2,blue
83,3,yellow
84,0,green
84,1,red
84,2,yellow
84,3,blue
85,0,blue
85,1,red
85,2,red
85,3,green
86,0,yellow
86,1,yellow
86,2,red
86,3,red
87,0,yellow
87,1,blue
87,2,red
87,3,red
88,0,red
88,1,blue
88,2,yellow
88,3,green
89,0,green
89,1,yellow
89,2,red
89,3,green
90,0,yellow
90,1,blue
90,2,yellow
90,3,blue
91,0,red
91,1,yellow
91,2,green
91,3,yellow
92,0,green
92,1,red
92,2,yellow
92,3,green
93,0,yellow
93,1,green
93,2,yellow
93,3,yellow
94,0,blue
94,1,red
94,2,red
94,3,red
95,0,red
95,1,yellow
95,2,green
95,3,blue
96,0,red
96,1,blue
96,2,green
96,3,green
98,0,blue
98,1,blue
98,2,red
98,3,blue
99,0,green
99,1,red
99,2,yellow
99,3,green
