dataset,representation,graph_kernel,C,svm_kernel,train_accuracy,test_accuracy
cyclic,node_only,shortest_path,10.0,precomputed,0.740506329113924,0.7380952380952381
cyclic,node_only,weisfeiler_lehman,10.0,precomputed,0.8291139240506329,0.6428571428571429
cyclic,node_only,graphlet_sampling,10.0,precomputed,0.740506329113924,0.7380952380952381
cyclic,node_only,shortest_path,1.0,precomputed,0.740506329113924,0.7380952380952381
cyclic,node_only,weisfeiler_lehman,1.0,precomputed,0.8291139240506329,0.6428571428571429
cyclic,node_only,graphlet_sampling,1.0,precomputed,0.740506329113924,0.7380952380952381
cyclic,node_only,shortest_path,0.1,precomputed,0.740506329113924,0.7380952380952381
cyclic,node_only,weisfeiler_lehman,0.1,precomputed,0.8291139240506329,0.6428571428571429
cyclic,node_only,graphlet_sampling,0.1,precomputed,0.740506329113924,0.7380952380952381
cyclic,node_edge,shortest_path,10.0,precomputed,0.8164556962025317,0.7142857142857143
cyclic,node_edge,weisfeiler_lehman,10.0,precomputed,1.0,0.7380952380952381
cyclic,node_edge,graphlet_sampling,10.0,precomputed,0.9936708860759493,0.6904761904761905
cyclic,node_edge,shortest_path,1.0,precomputed,0.810126582278481,0.7142857142857143
cyclic,node_edge,weisfeiler_lehman,1.0,precomputed,1.0,0.7380952380952381
cyclic,node_edge,graphlet_sampling,1.0,precomputed,0.9936708860759493,0.6904761904761905
cyclic,node_edge,shortest_path,0.1,precomputed,0.7974683544303798,0.7142857142857143
cyclic,node_edge,weisfeiler_lehman,0.1,precomputed,1.0,0.7380952380952381
cyclic,node_edge,graphlet_sampling,0.1,precomputed,0.9430379746835443,0.6428571428571429
cyclic,edge_based,shortest_path,10.0,precomputed,0.7088607594936709,0.5238095238095238
cyclic,edge_based,weisfeiler_lehman,10.0,precomputed,1.0,0.6190476190476191
cyclic,edge_based,graphlet_sampling,10.0,precomputed,1.0,0.6190476190476191
cyclic,edge_based,shortest_path,1.0,precomputed,0.7278481012658228,0.5238095238095238
cyclic,edge_based,weisfeiler_lehman,1.0,precomputed,1.0,0.6190476190476191
cyclic,edge_based,graphlet_sampling,1.0,precomputed,1.0,0.6190476190476191
cyclic,edge_based,shortest_path,0.1,precomputed,0.7278481012658228,0.5476190476190477
cyclic,edge_based,weisfeiler_lehman,0.1,precomputed,1.0,0.6190476190476191
cyclic,edge_based,graphlet_sampling,0.1,precomputed,1.0,0.6190476190476191
cyclic,Klog,shortest_path,10.0,precomputed,0.879746835443038,0.7142857142857143
cyclic,Klog,weisfeiler_lehman,10.0,precomputed,1.0,0.7380952380952381
cyclic,Klog,graphlet_sampling,10.0,precomputed,0.8734177215189873,0.6666666666666666
cyclic,Klog,shortest_path,1.0,precomputed,0.8860759493670886,0.6904761904761905
cyclic,Klog,weisfeiler_lehman,1.0,precomputed,1.0,0.7380952380952381
cyclic,Klog,graphlet_sampling,1.0,precomputed,0.8734177215189873,0.6666666666666666
cyclic,Klog,shortest_path,0.1,precomputed,0.8924050632911392,0.6666666666666666
cyclic,Klog,weisfeiler_lehman,0.1,precomputed,1.0,0.7380952380952381
cyclic,Klog,graphlet_sampling,0.1,precomputed,0.8607594936708861,0.6666666666666666
