dataset,representation,graph_kernel,C,svm_kernel,train_accuracy,test_accuracy
cyclic,node_only,weisfeiler_lehman,100000,linear,0.9285714285714286,0.7777777777777778
cyclic,node_only,weisfeiler_lehman,100000,precomputed,0.9285714285714286,0.7222222222222222
cyclic,node_only,weisfeiler_lehman,100000,rbf,0.9285714285714286,0.7222222222222222
cyclic,node_only,weisfeiler_lehman,100000,poly,0.9285714285714286,0.7222222222222222
cyclic,node_only,weisfeiler_lehman,10000,linear,0.9285714285714286,0.7777777777777778
cyclic,node_only,weisfeiler_lehman,10000,precomputed,0.9285714285714286,0.7222222222222222
cyclic,node_only,weisfeiler_lehman,10000,rbf,0.9285714285714286,0.7222222222222222
cyclic,node_only,weisfeiler_lehman,10000,poly,0.9285714285714286,0.7222222222222222
cyclic,node_only,weisfeiler_lehman,1000,linear,0.9285714285714286,0.7777777777777778
cyclic,node_only,weisfeiler_lehman,1000,precomputed,0.9285714285714286,0.7222222222222222
cyclic,node_only,weisfeiler_lehman,1000,rbf,0.9285714285714286,0.7222222222222222
cyclic,node_only,weisfeiler_lehman,1000,poly,0.9285714285714286,0.7222222222222222
cyclic,node_only,weisfeiler_lehman,100,linear,0.9285714285714286,0.7777777777777778
cyclic,node_only,weisfeiler_lehman,100,precomputed,0.9285714285714286,0.7222222222222222
cyclic,node_only,weisfeiler_lehman,100,rbf,0.9285714285714286,0.7222222222222222
cyclic,node_only,weisfeiler_lehman,100,poly,0.9285714285714286,0.7222222222222222
cyclic,node_only,weisfeiler_lehman,10,linear,0.9285714285714286,0.7777777777777778
cyclic,node_only,weisfeiler_lehman,10,precomputed,0.9285714285714286,0.7222222222222222
cyclic,node_only,weisfeiler_lehman,10,rbf,0.9285714285714286,0.7222222222222222
cyclic,node_only,weisfeiler_lehman,10,poly,0.9285714285714286,0.7222222222222222
cyclic,node_edge,weisfeiler_lehman,100000,linear,1.0,1.0
cyclic,node_edge,weisfeiler_lehman,100000,precomputed,1.0,1.0
cyclic,node_edge,weisfeiler_lehman,100000,rbf,1.0,0.9444444444444444
cyclic,node_edge,weisfeiler_lehman,100000,poly,1.0,0.9444444444444444
cyclic,node_edge,weisfeiler_lehman,10000,linear,1.0,1.0
cyclic,node_edge,weisfeiler_lehman,10000,precomputed,1.0,1.0
cyclic,node_edge,weisfeiler_lehman,10000,rbf,1.0,0.9444444444444444
cyclic,node_edge,weisfeiler_lehman,10000,poly,1.0,0.9444444444444444
cyclic,node_edge,weisfeiler_lehman,1000,linear,1.0,1.0
cyclic,node_edge,weisfeiler_lehman,1000,precomputed,1.0,1.0
cyclic,node_edge,weisfeiler_lehman,1000,rbf,1.0,0.9444444444444444
cyclic,node_edge,weisfeiler_lehman,1000,poly,1.0,0.9444444444444444
cyclic,node_edge,weisfeiler_lehman,100,linear,1.0,1.0
cyclic,node_edge,weisfeiler_lehman,100,precomputed,1.0,1.0
cyclic,node_edge,weisfeiler_lehman,100,rbf,1.0,0.9444444444444444
cyclic,node_edge,weisfeiler_lehman,100,poly,1.0,0.9444444444444444
cyclic,node_edge,weisfeiler_lehman,10,linear,1.0,1.0
cyclic,node_edge,weisfeiler_lehman,10,precomputed,1.0,1.0
