person1,person2,class
amaurizionicolosi,aklischstefan,neg
apieradegliesposti,asciveresmarianna,neg
aconsuelolupo,abattiatofranco,neg
abillyconnolly,asciveresmarianna,neg
atzvetolyubrakovski,aklischstefan,neg
ajuliaroberts,asciveresmarianna,neg
abradpitt,asurchadzhievstefani,neg
aludwigbriand,azensmichael,neg
aemilmarkov,aklischstefan,neg
apaullnolan,akronthalerthomas,neg
apierrearditi,aengelhardtwilhelm,neg
adenzelwashington,aklischstefan,neg
aceceliaannbirt,acatonjonesmichael,neg
asalvatorelazzaro,asummereric,neg
asharonstone,astephanbernhard,neg
astefandanailov,abraunbettinai,neg
adanielegalea,aladogedominique,neg
amarccaleb,avergnejeanpierre,neg
adorothymalone,akappesstphane,neg
agabriellelazure,apakulaalanj,neg
aianholm,akrgnther,neg
agabrieleferzetti,asoderberghsteven,neg
araffaeladavi,agutjahrrainer,neg
asheilapaterson,abraunbettinai,neg
astevekalfa,acatonjonesmichael,neg
aluciasardo,aapprederisfranck,neg
alewissmith,akronthalerthomas,neg
astephentobolowsky,avergnejeanpierre,neg
ajohnlithgow,akappesstphane,neg
amanliosgalambro,aromeclaudemichel,neg
abrigittefossey,amarinovichanton,neg
afranoisechristophe,agrimaldiaurelioi,neg
amarcospicuglia,atraykovatanas,neg
astancollymore,asoderberghsteven,neg
aheathcotewilliams,agustemmanuelii,neg
apaullnolan,abonnetchristiani,neg
asotirmaynolovski,astephanbernhard,neg
abrnicebejo,agustemmanuelii,neg
ajannowicki,agustemmanuelii,neg
amariashopova,ametcalfestephen,neg
acaseyaffleck,asciveresmarianna,neg
atonygoldwyn,abraunbettinai,neg
apieradegliesposti,averhoevenpauli,neg
agabrieleferzetti,averhoevenpauli,neg
agerdlohmeyer,astephanbernhard,neg
acaitlinoheaney,aaltmanroberti,neg
abenjohnson,atonetticlaudio,neg
aindiravarma,abattiatofranco,neg
awhoopigoldberg,apakulaalanj,neg
adietermann,agutjahrrainer,neg
ajamessikking,aengelhardtwilhelm,neg
abogomilsimeonov,apakulaalanj,neg
ageorgistamatov,aklischstefan,neg
aivanbratanov,asummereric,neg
ajamessikking,abraunbettinai,neg
adavidsontag,aladogedominique,neg
awilliamatherton,aladogedominique,neg
adillonmoen,abonnetchristiani,neg
adimitarhadzhiyanev,apakulaalanj,neg
araffaeladavi,akronthalerthomas,neg
amanliosgalambro,averhoevenpauli,neg
aheathcotewilliams,asummereric,neg
alarrysontag,abattiatofranco,neg
apaolaciampi,atonetticlaudio,neg
accilecassel,averhoevenpauli,neg
asaromiano,aengelhardtwilhelm,neg
aileanarigano,azensmichael,neg
amarksangster,apunchevborislav,neg
adietermann,avergnejeanpierre,neg
aenzodimartino,abonnetchristiani,neg
aconnorwiddows,agutjahrrainer,neg
asharonstone,abraunbettinai,neg
aneilmaskell,asciveresmarianna,neg
aheathcotewilliams,aaltmanroberti,neg
afrankpatton,akrgnther,neg
aivankondov,atraykovatanas,neg
aannamariagherardi,atraykovatanas,neg
amarksangster,astephanbernhard,neg
aivandimov,apunchevborislav,neg
aangelahall,amarinovichanton,neg
astephentobolowsky,asummereric,neg
anicholaswoodeson,aklischstefan,neg
afirminerichard,amarinovichanton,neg
aconsuelolupo,asoderberghsteven,neg
ajohnlithgow,asoderberghsteven,neg
ageorgeclooney,apakulaalanj,neg
agabrieleferzetti,ametcalfestephen,neg
ajuliaroberts,avergnejeanpierre,neg
adinaconnolly,aapprederisfranck,neg
alylelovett,aaltmanroberti,pos
aangelinasarova,amarinovichanton,pos
ageorgeclooney,asoderberghsteven,pos
awilliamatherton,apakulaalanj,pos
aguillaumeromain,aapprederisfranck,pos
amarisaburger,akinkelmartin,pos
atzvetolyubrakovski,amarinovichanton,pos
atommikulla,akronthalerthomas,pos
atizianalodato,abattiatofranco,pos
anevenakokanova,apunchevborislav,pos
aannejacques,asoderberghsteven,pos
ahubertmulzer,abraunbettinai,pos
alorigalinski,asoderberghsteven,pos
afirminerichard,abonnetchristiani,pos
apierrearditi,aapprederisfranck,pos
aleilanisarelle,averhoevenpauli,pos
aangelahall,aaltmanroberti,pos
afirminerichard,aladogedominique,pos
atonygoldwyn,apakulaalanj,pos
accilecassel,aladogedominique,pos
ahubertmulzer,akronthalerthomas,pos
adenisarndt,averhoevenpauli,pos
astevekalfa,abonnetchristiani,pos
ajuliaroberts,apakulaalanj,pos
afranoisechristophe,aladogedominique,pos
afredward,aaltmanroberti,pos
akunkabaeva,amarinovichanton,pos
abenjohnson,ametcalfestephen,pos
aindiravarma,acatonjonesmichael,pos
aellenthomas,acatonjonesmichael,pos
aianholm,ametcalfestephen,pos
alewissmith,amillergeorgei,pos
apetergallagher,aaltmanroberti,pos
aivankondov,asurchadzhievstefani,pos
aileanarigano,asciveresmarianna,pos
acynthiastevenson,aaltmanroberti,pos
ahubertmulzer,aklischstefan,pos
afranoisechristophe,atonetticlaudio,pos
afrancishuster,asummereric,pos
amichaeldouglas,averhoevenpauli,pos
arobyndouglass,amillergeorgei,pos
abruceayoung,averhoevenpauli,pos
anicholaswoodeson,apakulaalanj,pos
akarinthaler,agutjahrrainer,pos
ageorgistamatov,amarinovichanton,pos
aneilmaskell,acatonjonesmichael,pos
amarisaburger,abraunbettinai,pos
ajannowicki,apunchevborislav,pos
amarisaburger,akrgnther,pos
accilecassel,atonetticlaudio,pos
agabriellelazure,akappesstphane,pos
adinaconnolly,asoderberghsteven,pos
afrancishuster,atonetticlaudio,pos
amarkusbker,abraunbettinai,pos
accilecassel,agustemmanuelii,pos
ajustinmonjo,amillergeorgei,pos
akarinthaler,akrgnther,pos
asharonstone,amillergeorgei,pos
adietermann,astephanbernhard,pos
arenateschroeter,astephanbernhard,pos
apatricejuiff,aapprederisfranck,pos
agabrieleferzetti,abattiatofranco,pos
aguillaumeromain,avergnejeanpierre,pos
aalicjajachiewicz,apunchevborislav,pos
amaurizionicolosi,agrimaldiaurelioi,pos
apierrearditi,avergnejeanpierre,pos
aluciasardo,abattiatofranco,pos
avolkerranisch,astephanbernhard,pos
apetyasilyanova,atraykovatanas,pos
aluciasardo,agrimaldiaurelioi,pos
astevekalfa,asummereric,pos
aarmelledeutsch,aapprederisfranck,pos
astephentobolowsky,averhoevenpauli,pos
abrigittefossey,avergnejeanpierre,pos
abrigittefossey,aapprederisfranck,pos
afirminerichard,agustemmanuelii,pos
astefanpetrov,amarinovichanton,pos
agerdlohmeyer,agutjahrrainer,pos
astanleytucci,apakulaalanj,pos
adanielegalea,agrimaldiaurelioi,pos
ahubertmulzer,akrgnther,pos
akarinthaler,aklischstefan,pos
akarinthaler,aengelhardtwilhelm,pos
ajuttawachowiak,astephanbernhard,pos
amarksangster,acatonjonesmichael,pos
aulrichmhe,astephanbernhard,pos
akostatsonev,apunchevborislav,pos
afrancishuster,aladogedominique,pos
aandreasschwaiger,astephanbernhard,pos
