train_acc,train_loss,val_acc,test_acc,test_acc_std,lr,epoch,model,layers,hidden_dims,total_epochs,runtime,test_size,val_size,train_size,representation
1.0,0.41308104898780584,0.6363636363636364,0.7619047619047619,0.038880789567986955,1e-05,127,GINE,3,128,200,7.568606058756511,2,11,98,node_only
1.0,0.0003494399011216842,1.0,1.0,0.0,1e-05,122,GINE,3,128,200,8.480605045954386,2,11,98,node_edge
1.0,0.0015603619216335574,1.0,1.0,0.0,1e-05,131,GINE,3,128,200,10.02203663190206,2,11,98,edge_based
1.0,0.7094342736527324,0.7272727272727273,0.7301587301587302,0.022447834323382435,1e-05,123,GINE,3,256,200,8.847527265548706,2,11,98,node_only
1.0,0.026338930380006786,1.0,1.0,0.0,1e-05,124,GINE,3,256,200,9.959009011586508,2,11,98,node_edge
1.0,0.005083672364776248,1.0,1.0,0.0,1e-05,124,GINE,3,256,200,12.727318525314331,2,11,98,edge_based
1.0,1.4884943810855589e-05,0.8181818181818182,0.6666666666666666,0.038880789567986955,1e-05,121,GCN,3,128,200,2.325740019480387,2,11,98,node_only
1.0,0.022110005877948424,0.7272727272727273,0.6984126984126985,0.022447834323382487,1e-05,122,GCN,3,128,200,2.57777730623881,2,11,98,node_edge
1.0,8.443042380967825e-05,0.5454545454545454,0.6507936507936508,0.04489566864676492,1e-05,123,GCN,3,128,200,3.0112854639689126,2,11,98,edge_based
1.0,4.067888750736159e-06,0.9090909090909091,0.6507936507936508,0.04489566864676491,1e-05,127,GCN,3,256,200,3.0143556594848633,2,11,98,node_only
1.0,0.0011075810416514287,0.6363636363636364,0.7142857142857143,0.038880789567986955,1e-05,121,GCN,3,256,200,3.4571526845296225,2,11,98,node_edge
1.0,0.00011452379443532834,0.9090909090909091,0.6349206349206349,0.022447834323382432,1e-05,123,GCN,3,256,200,3.9843953450520835,2,11,98,edge_based
1.0,2.701372532953883e-05,0.7272727272727273,0.6666666666666666,0.038880789567986955,1e-05,121,GlobalAttentionNet,3,128,200,2.6372795899709067,2,11,98,node_only
1.0,0.0041207777289855585,0.8181818181818182,0.6666666666666666,0.0,1e-05,121,GlobalAttentionNet,3,128,200,2.9257985750834146,2,11,98,node_edge
1.0,0.00041841396432573674,0.6363636363636364,0.6825396825396824,0.022447834323382487,1e-05,122,GlobalAttentionNet,3,128,200,3.5195563634236655,2,11,98,edge_based
1.0,1.9967435491707874e-06,0.7272727272727273,0.7142857142857143,0.038880789567986955,1e-05,125,GlobalAttentionNet,3,256,200,3.6799004077911377,2,11,98,node_only
1.0,1.8998787325585909e-06,0.6363636363636364,0.6984126984126983,0.04489566864676492,1e-05,122,GlobalAttentionNet,3,256,200,3.661041021347046,2,11,98,node_edge
1.0,0.0,0.9090909090909091,0.6349206349206349,0.09784784131696786,1e-05,121,GlobalAttentionNet,3,256,200,4.508337656656901,2,11,98,edge_based
1.0,7.674055808593039e-07,0.5454545454545454,0.6825396825396824,0.022447834323382487,1e-05,121,SAGPool,3,128,200,3.4409271081288657,2,11,98,node_only
0.9897959183673469,0.2207451389695052,0.9090909090909091,0.6666666666666666,0.0,1e-05,121,SAGPool,3,128,200,3.72066338857015,2,11,98,node_edge
1.0,0.0005611379902035196,1.0,0.7301587301587302,0.022447834323382435,1e-05,126,SAGPool,3,128,200,4.317710955937703,2,11,98,edge_based
1.0,0.0,0.7272727272727273,0.6825396825396824,0.059391387091649844,1e-05,121,SAGPool,3,256,200,4.567954778671265,2,11,98,node_only
1.0,0.00013720380623638562,0.7272727272727273,0.6666666666666666,0.038880789567986955,1e-05,127,SAGPool,3,256,200,5.176611264546712,2,11,98,node_edge
1.0,0.0003986993823303919,0.8181818181818182,0.6984126984126985,0.022447834323382487,1e-05,121,SAGPool,3,256,200,5.904676198959351,2,11,98,edge_based
