id,atom_id_1,atom_id_2,bond_type
d1,d1_1,d1_2,7
d1,d1_2,d1_3,7
d1,d1_3,d1_4,7
d1,d1_4,d1_5,7
d1,d1_5,d1_6,7
d1,d1_6,d1_1,7
d1,d1_1,d1_7,1
d1,d1_2,d1_8,1
d1,d1_3,d1_9,1
d1,d1_6,d1_10,1
d1,d1_4,d1_11,7
d1,d1_11,d1_12,7
d1,d1_12,d1_13,7
d1,d1_13,d1_14,7
d1,d1_14,d1_5,7
d1,d1_13,d1_15,1
d1,d1_14,d1_16,1
d1,d1_11,d1_17,7
d1,d1_17,d1_18,7
d1,d1_18,d1_19,7
d1,d1_19,d1_20,7
d1,d1_20,d1_12,7
d1,d1_17,d1_21,1
d1,d1_18,d1_22,1
d1,d1_20,d1_23,1
d1,d1_24,d1_19,1
d1,d1_24,d1_25,2
d1,d1_24,d1_26,2
d100,d100_1,d100_2,7
d100,d100_2,d100_3,7
d100,d100_3,d100_4,7
d100,d100_4,d100_5,7
d100,d100_5,d100_6,7
d100,d100_6,d100_1,7
d100,d100_1,d100_7,1
d100,d100_2,d100_8,1
d100,d100_3,d100_9,1
d100,d100_5,d100_10,1
d100,d100_11,d100_12,7
d100,d100_12,d100_13,7
d100,d100_13,d100_14,7
d100,d100_14,d100_15,7
d100,d100_15,d100_16,7
d100,d100_16,d100_11,7
d100,d100_12,d100_17,1
d100,d100_13,d100_18,1
d100,d100_14,d100_19,1
d100,d100_16,d100_20,1
d100,d100_4,d100_11,1
d100,d100_15,d100_21,1
d100,d100_6,d100_22,1
d100,d100_22,d100_23,2
d100,d100_22,d100_24,2
d100,d100_21,d100_25,1
d100,d100_21,d100_26,1
d101,d101_1,d101_2,7
d101,d101_2,d101_3,7
d101,d101_3,d101_4,7
d101,d101_4,d101_5,7
d101,d101_5,d101_6,7
d101,d101_6,d101_1,7
d101,d101_3,d101_7,7
d101,d101_7,d101_8,7
d101,d101_8,d101_9,7
d101,d101_9,d101_10,7
d101,d101_10,d101_4,7
d101,d101_10,d101_11,7
d101,d101_11,d101_12,7
d101,d101_12,d101_13,7
d101,d101_13,d101_5,7
d101,d101_9,d101_14,7
d101,d101_14,d101_15,7
d101,d101_15,d101_16,7
d101,d101_16,d101_11,7
d101,d101_12,d101_17,1
d101,d101_17,d101_18,1
d101,d101_18,d101_19,1
d101,d101_19,d101_20,1
d101,d101_20,d101_13,1
d101,d101_14,d101_21,1
d101,d101_21,d101_22,2
d101,d101_21,d101_23,2
d101,d101_1,d101_24,1
d101,d101_2,d101_25,1
d101,d101_6,d101_26,1
d101,d101_7,d101_27,1
d101,d101_8,d101_28,1
d101,d101_15,d101_29,1
d101,d101_16,d101_30,1
d101,d101_20,d101_31,1
d101,d101_20,d101_32,1
d101,d101_19,d101_33,1
d101,d101_19,d101_34,1
d101,d101_17,d101_35,1
d101,d101_17,d101_36,1
d101,d101_18,d101_37,1
d101,d101_18,d101_38,1
d102,d102_1,d102_2,7
d102,d102_2,d102_3,7
d102,d102_3,d102_4,7
d102,d102_4,d102_5,7
d102,d102_5,d102_6,7
d102,d102_6,d102_1,7
d102,d102_2,d102_7,1
d102,d102_6,d102_8,1
d102,d102_9,d102_10,7
d102,d102_10,d102_11,7
d102,d102_11,d102_12,7
d102,d102_12,d102_13,7
d102,d102_13,d102_14,7
d102,d102_14,d102_9,7
d102,d102_10,d102_15,1
d102,d102_12,d102_16,1
d102,d102_4,d102_14,1
d102,d102_3,d102_17,1
d102,d102_17,d102_9,1
d102,d102_17,d102_18,2
d102,d102_11,d102_19,1
d102,d102_13,d102_20,1
d102,d102_5,d102_21,1
d102,d102_1,d102_22,1
d102,d102_22,d102_23,2
d102,d102_22,d102_24,2
d102,d102_21,d102_25,2
d102,d102_21,d102_26,2
d102,d102_20,d102_27,2
d102,d102_20,d102_28,2
d102,d102_19,d102_29,2
d102,d102_19,d102_30,2
d103,d103_1,d103_2,7
d103,d103_2,d103_3,7
d103,d103_3,d103_4,7
d103,d103_4,d103_5,7
d103,d103_5,d103_6,7
d103,d103_6,d103_1,7
d103,d103_1,d103_7,1
d103,d103_2,d103_8,1
d103,d103_6,d103_9,1
d103,d103_3,d103_10,7
d103,d103_10,d103_11,7
d103,d103_11,d103_12,7
d103,d103_12,d103_13,7
d103,d103_13,d103_4,7
d103,d103_10,d103_14,1
d103,d103_11,d103_15,1
d103,d103_13,d103_16,7
d103,d103_16,d103_17,7
d103,d103_17,d103_18,7
d103,d103_18,d103_5,7
d103,d103_17,d103_19,1
d103,d103_18,d103_20,1
d103,d103_12,d103_21,7
d103,d103_21,d103_22,7
d103,d103_22,d103_23,7
d103,d103_23,d103_16,7
d103,d103_21,d103_24,1
d103,d103_23,d103_25,1
d103,d103_22,d103_26,1
d103,d103_26,d103_27,2
d103,d103_26,d103_28,2
d104,d104_1,d104_2,7
d104,d104_2,d104_3,7
d104,d104_3,d104_4,7
d104,d104_4,d104_5,7
d104,d104_5,d104_6,7
d104,d104_6,d104_1,7
d104,d104_3,d104_7,7
d104,d104_7,d104_8,7
d104,d104_8,d104_9,7
d104,d104_9,d104_10,7
d104,d104_10,d104_4,7
d104,d104_10,d104_11,7
d104,d104_11,d104_12,7
d104,d104_12,d104_13,7
d104,d104_13,d104_5,7
d104,d104_9,d104_14,7
d104,d104_14,d104_15,7
d104,d104_15,d104_16,7
d104,d104_16,d104_11,7
d104,d104_12,d104_17,1
d104,d104_17,d104_18,1
d104,d104_18,d104_19,1
d104,d104_19,d104_20,1
d104,d104_20,d104_13,1
d104,d104_16,d104_21,1
d104,d104_21,d104_22,2
d104,d104_21,d104_23,2
d104,d104_1,d104_24,1
d104,d104_2,d104_25,1
d104,d104_6,d104_26,1
d104,d104_7,d104_27,1
d104,d104_8,d104_28,1
d104,d104_14,d104_29,1
d104,d104_15,d104_30,1
d104,d104_20,d104_31,1
d104,d104_20,d104_32,1
d104,d104_19,d104_33,1
d104,d104_19,d104_34,1
d104,d104_17,d104_35,1
d104,d104_17,d104_36,1
d104,d104_18,d104_37,1
d104,d104_18,d104_38,1
d105,d105_1,d105_2,7
d105,d105_2,d105_3,7
d105,d105_3,d105_4,7
d105,d105_4,d105_5,7
d105,d105_5,d105_6,7
d105,d105_6,d105_1,7
d105,d105_1,d105_7,1
d105,d105_2,d105_8,1
d105,d105_6,d105_9,1
d105,d105_4,d105_10,7
d105,d105_10,d105_11,7
d105,d105_11,d105_12,7
d105,d105_12,d105_13,7
d105,d105_13,d105_5,7
d105,d105_13,d105_14,1
d105,d105_10,d105_15,7
d105,d105_15,d105_16,7
d105,d105_16,d105_17,7
d105,d105_17,d105_18,7
d105,d105_18,d105_11,7
d105,d105_15,d105_19,1
d105,d105_16,d105_20,1
d105,d105_17,d105_21,1
d105,d105_3,d105_22,1
d105,d105_22,d105_23,2
d105,d105_22,d105_24,2
d107,d107_1,d107_2,7
d107,d107_2,d107_3,7
d107,d107_3,d107_4,7
d107,d107_4,d107_5,7
d107,d107_5,d107_6,7
d107,d107_6,d107_1,7
d107,d107_2,d107_7,1
d107,d107_6,d107_8,1
d107,d107_3,d107_9,7
d107,d107_9,d107_10,7
d107,d107_10,d107_11,7
d107,d107_11,d107_12,7
d107,d107_12,d107_4,7
d107,d107_11,d107_13,1
d107,d107_14,d107_15,7
d107,d107_15,d107_16,7
d107,d107_16,d107_17,7
d107,d107_17,d107_18,7
d107,d107_18,d107_19,7
d107,d107_19,d107_14,7
d107,d107_16,d107_20,1
d107,d107_17,d107_21,1
d107,d107_18,d107_22,1
d107,d107_19,d107_23,1
d107,d107_14,d107_5,1
d107,d107_15,d107_12,1
d107,d107_10,d107_24,1
d107,d107_9,d107_25,1
d107,d107_1,d107_26,1
d107,d107_26,d107_27,2
d107,d107_26,d107_28,2
d107,d107_25,d107_29,2
d107,d107_25,d107_30,2
d107,d107_24,d107_31,2
