id,ind1,inda,logp,lumo,class
d1,1.0,0.0,4.23,-1.246,pos
d4,1.0,0.0,4.69,-1.591,pos
d5,0.0,0.0,1.89,-1.59,neg
d6,1.0,0.0,3.92,-3.406,pos
d7,0.0,0.0,3.99,-1.144,neg
d8,1.0,0.0,3.46,-1.437,pos
d9,0.0,0.0,1.64,-0.982,neg
d11,1.0,0.0,4.23,-1.254,pos
d12,1.0,0.0,3.63,-1.627,pos
d14,0.0,0.0,1.77,-1.289,neg
d15,1.0,0.0,4.69,-1.698,pos
d16,1.0,0.0,4.44,-2.172,pos
d17,0.0,0.0,0.87,-0.529,neg
d19,0.0,0.0,1.84,-1.478,neg
d21,0.0,0.0,3.52,-1.665,pos
d22,1.0,0.0,5.09,-1.602,pos
d23,1.0,1.0,5.07,-2.164,pos
d25,1.0,0.0,3.43,-1.398,pos
d27,1.0,0.0,5.87,-1.801,pos
d29,1.0,0.0,2.42,-2.837,pos
d30,1.0,1.0,5.07,-2.005,pos
d31,1.0,0.0,4.44,-2.055,pos
d32,0.0,0.0,3.0,-2.562,pos
d33,1.0,0.0,4.23,-1.591,pos
d34,0.0,0.0,3.24,-1.451,neg
d35,1.0,0.0,3.06,-1.176,pos
d36,0.0,0.0,3.43,-1.24,neg
d37,0.0,0.0,4.18,-1.428,pos
d38,0.0,0.0,3.77,-1.228,neg
d39,0.0,0.0,1.87,-1.443,neg
d41,1.0,0.0,4.83,-1.6,pos
d42,0.0,0.0,1.77,-1.19,neg
d43,1.0,0.0,4.69,-1.57,pos
d45,0.0,0.0,1.46,-2.227,pos
d46,1.0,0.0,6.57,-1.804,pos
d47,1.0,0.0,5.02,-1.88,pos
d48,1.0,0.0,4.23,-1.616,pos
d49,1.0,0.0,2.29,-2.808,pos
d50,0.0,0.0,2.58,-1.932,pos
d52,1.0,0.0,6.01,-2.189,pos
d53,1.0,0.0,3.35,-2.155,pos
d54,1.0,0.0,6.24,-1.464,pos
d55,0.0,0.0,3.43,-1.177,neg
d57,0.0,0.0,3.26,-2.242,pos
d59,1.0,1.0,5.07,-2.14,pos
d60,0.0,0.0,2.3,-2.468,pos
d61,1.0,0.0,4.68,-1.556,pos
d62,0.0,0.0,1.36,-0.923,neg
d66,0.0,0.0,2.68,-0.959,neg
d68,1.0,0.0,5.87,-1.766,pos
d70,0.0,0.0,0.47,-1.786,neg
d71,1.0,0.0,6.01,-2.095,pos
d72,1.0,0.0,3.37,-1.448,pos
d73,0.0,0.0,2.68,-0.648,neg
d74,1.0,0.0,5.87,-1.689,pos
d75,0.0,0.0,3.52,-1.87,pos
d76,0.0,0.0,2.24,-1.069,neg
d78,0.0,0.0,4.27,-1.276,neg
d79,1.0,0.0,4.73,-1.26,pos
d80,1.0,0.0,4.69,-1.329,pos
d81,0.0,0.0,1.49,-1.937,pos
d82,1.0,0.0,4.18,-2.71,pos
d83,1.0,0.0,3.51,-1.145,pos
d85,1.0,1.0,5.07,-2.113,pos
d86,1.0,1.0,5.07,-1.918,pos
d87,1.0,0.0,3.83,-1.488,pos
d88,0.0,0.0,1.53,-1.605,neg
d90,1.0,0.0,5.87,-1.62,pos
d91,1.0,0.0,3.01,-2.032,pos
d92,1.0,0.0,5.28,-1.208,pos
d93,1.0,0.0,5.87,-1.729,pos
d94,1.0,0.0,4.69,-1.585,pos
d95,0.0,0.0,2.55,-2.434,pos
d97,1.0,0.0,3.95,-1.361,pos
d99,1.0,0.0,2.72,-2.159,pos
d100,0.0,0.0,2.68,-1.034,neg
d101,1.0,0.0,6.26,-1.598,pos
d102,1.0,0.0,2.4,-3.172,pos
d103,1.0,0.0,4.69,-1.487,pos
d104,1.0,0.0,6.26,-1.546,pos
d105,1.0,0.0,1.84,-1.749,pos
