dataset,representation,graph_kernel,C,svm_kernel,train_accuracy,test_accuracy
mutag,node_edge,shortest_path,10.0,precomputed,0.6891891891891891,0.6
mutag,node_edge,weisfeiler_lehman,10.0,precomputed,1.0,0.6
mutag,node_edge,graphlet_sampling,10.0,precomputed,0.6621621621621622,0.675
mutag,node_edge,shortest_path,1.0,precomputed,0.6891891891891891,0.6
mutag,node_edge,weisfeiler_lehman,1.0,precomputed,1.0,0.6
mutag,node_edge,graphlet_sampling,1.0,precomputed,0.6621621621621622,0.675
mutag,node_edge,shortest_path,0.1,precomputed,0.6891891891891891,0.625
mutag,node_edge,weisfeiler_lehman,0.1,precomputed,1.0,0.6
mutag,node_edge,graphlet_sampling,0.1,precomputed,0.6621621621621622,0.675
mutag,edge_based,shortest_path,10.0,precomputed,0.6621621621621622,0.675
mutag,edge_based,weisfeiler_lehman,10.0,precomputed,0.9391891891891891,0.575
mutag,edge_based,graphlet_sampling,10.0,precomputed,0.6351351351351351,0.6
mutag,edge_based,shortest_path,1.0,precomputed,0.6621621621621622,0.675
mutag,edge_based,weisfeiler_lehman,1.0,precomputed,0.9391891891891891,0.575
mutag,edge_based,graphlet_sampling,1.0,precomputed,0.6351351351351351,0.55
mutag,edge_based,shortest_path,0.1,precomputed,0.6621621621621622,0.675
mutag,edge_based,weisfeiler_lehman,0.1,precomputed,0.9256756756756757,0.575
mutag,edge_based,graphlet_sampling,0.1,precomputed,0.6283783783783784,0.575
mutag,Klog,shortest_path,10.0,precomputed,0.6891891891891891,0.625
mutag,Klog,weisfeiler_lehman,10.0,precomputed,0.9932432432432432,0.5
mutag,Klog,graphlet_sampling,10.0,precomputed,0.6621621621621622,0.675
mutag,Klog,shortest_path,1.0,precomputed,0.6891891891891891,0.625
mutag,Klog,weisfeiler_lehman,1.0,precomputed,0.9932432432432432,0.5
mutag,Klog,graphlet_sampling,1.0,precomputed,0.6621621621621622,0.675
mutag,Klog,shortest_path,0.1,precomputed,0.6621621621621622,0.675
mutag,Klog,weisfeiler_lehman,0.1,precomputed,0.9864864864864865,0.5
mutag,Klog,graphlet_sampling,0.1,precomputed,0.6621621621621622,0.675
