id,atom_id,atom_type
0,0,O
0,1,O
0,2,O
0,3,O
0,4,O
0,5,O
0,6,O
0,7,O
0,8,O
0,9,O
0,10,O
0,11,O
0,12,O
0,13,O
0,14,O
0,15,O
0,16,O
0,17,O
0,18,O
0,19,N
0,20,N
0,21,N
0,22,N
0,23,N
0,24,N
0,25,N
0,26,N
0,27,N
0,28,N
0,29,N
0,30,N
0,31,C
0,32,C
0,33,C
0,34,C
0,35,C
0,36,C
0,37,C
0,38,C
0,39,C
0,40,C
0,41,C
0,42,C
0,43,C
0,44,C
0,45,C
0,46,C
0,47,C
0,48,C
0,49,C
0,50,C
0,51,C
0,52,C
0,53,C
0,54,C
0,55,C
0,56,C
0,57,C
0,58,C
0,59,C
0,60,C
0,61,C
0,62,C
0,63,C
0,64,C
0,65,C
0,66,C
0,67,C
0,68,C
0,69,C
0,70,C
0,71,C
0,72,C
0,73,C
0,74,C
0,75,C
0,76,C
0,77,C
0,78,C
0,79,C
0,80,C
0,81,C
0,82,C
0,83,C
0,84,C
0,85,C
0,86,C
0,87,C
0,88,C
0,89,C
0,90,C
0,91,C
0,92,C
0,93,C
0,94,C
0,95,C
0,96,C
0,97,C
0,98,C
0,99,C
0,100,C
0,101,C
0,102,C
0,103,C
0,104,C
0,105,C
0,106,C
0,107,C
0,108,C
0,109,C
0,110,C
1,0,N
1,1,N
1,2,N
1,3,N
1,4,C
1,5,C
1,6,C
1,7,C
1,8,C
1,9,C
1,10,C
1,11,C
1,12,C
1,13,C
1,14,C
1,15,C
1,16,C
1,17,C
1,18,C
1,19,C
1,20,C
1,21,C
1,22,C
1,23,C
1,24,C
1,25,C
1,26,C
1,27,C
1,28,C
1,29,C
1,30,C
1,31,C
1,32,C
1,33,C
1,34,C
1,35,C
1,36,C
1,37,C
1,38,C
1,39,C
1,40,C
1,41,C
1,42,C
1,43,C
1,44,C
1,45,C
2,0,O
2,1,O
2,2,O
2,3,O
2,4,O
2,5,O
2,6,O
2,7,O
2,8,O
2,9,O
2,10,C
2,11,C
2,12,C
2,13,C
2,14,C
2,15,C
2,16,C
2,17,C
2,18,C
2,19,C
2,20,C
2,21,C
2,22,C
2,23,C
2,24,C
2,25,C
2,26,C
2,27,C
2,28,C
2,29,C
2,30,C
2,31,C
2,32,C
2,33,C
2,34,C
2,35,C
2,36,C
2,37,C
3,0,O
3,1,O
3,2,O
3,3,O
3,4,O
3,5,O
3,6,O
3,7,O
3,8,O
3,9,O
3,10,O
3,11,O
3,12,O
3,13,O
3,14,N
3,15,C
3,16,C
3,17,C
3,18,C
3,19,C
3,20,C
3,21,C
3,22,C
3,23,C
3,24,C
3,25,C
3,26,C
3,27,C
3,28,C
3,29,C
3,30,C
3,31,C
3,32,C
3,33,C
3,34,C
3,35,C
3,36,C
3,37,C
3,38,C
3,39,C
3,40,C
3,41,C
3,42,C
3,43,C
3,44,C
3,45,C
3,46,C
3,47,C
3,48,C
3,49,C
3,50,C
3,51,C
3,52,C
3,53,C
3,54,C
3,55,C
4,0,S
4,1,O
4,2,O
4,3,O
4,4,O
4,5,O
4,6,O
4,7,O
4,8,O
4,9,O
4,10,O
4,11,O
4,12,O
4,13,N
4,14,N
4,15,N
4,16,N
4,17,C
4,18,C
4,19,C
4,20,C
4,21,C
4,22,C
4,23,C
4,24,C
4,25,C
4,26,C
4,27,C
4,28,C
4,29,C
4,30,C
4,31,C
4,32,C
4,33,C
4,34,C
4,35,C
4,36,C
4,37,C
4,38,C
4,39,C
4,40,C
4,41,C
4,42,C
4,43,C
4,44,C
4,45,C
4,46,C
4,47,C
4,48,C
4,49,C
4,50,C
4,51,C
4,52,C
4,53,C
4,54,C
4,55,C
4,56,C
4,57,C
4,58,C
4,59,C
4,60,C
4,61,C
4,62,C
4,63,C
4,64,C
4,65,C
5,0,S
5,1,O
5,2,O
5,3,O
5,4,O
5,5,O
5,6,O
5,7,O
5,8,O
5,9,O
5,10,O
5,11,O
5,12,O
5,13,N
5,14,N
5,15,N
5,16,N
5,17,C
5,18,C
5,19,C
5,20,C
5,21,C
5,22,C
5,23,C
5,24,C
5,25,C
5,26,C
5,27,C
5,28,C
5,29,C
5,30,C
5,31,C
5,32,C
5,33,C
5,34,C
5,35,C
5,36,C
5,37,C
5,38,C
5,39,C
5,40,C
5,41,C
5,42,C
5,43,C
5,44,C
5,45,C
5,46,C
5,47,C
5,48,C
5,49,C
5,50,C
5,51,C
5,52,C
5,53,C
5,54,C
5,55,C
5,56,C
5,57,C
5,58,C
5,59,C
5,60,C
5,61,C
5,62,C
