id,atom1,atom2,bond_type
0,0,33,1
0,1,35,2
0,2,39,2
0,3,41,2
0,4,76,1
0,4,77,1
0,5,44,2
0,6,50,2
0,7,52,2
0,8,87,1
0,8,92,1
0,9,56,2
0,10,66,2
0,11,67,2
0,12,72,2
0,13,73,2
0,14,82,2
0,15,93,1
0,16,98,1
0,17,107,1
0,17,109,1
0,18,108,1
0,18,110,1
0,19,32,1
0,19,35,1
0,19,46,1
0,20,31,1
0,20,41,1
0,20,49,1
0,21,36,1
0,21,39,1
0,21,58,1
0,22,34,1
0,22,50,1
0,22,59,1
0,23,40,1
0,23,56,1
0,24,45,1
0,24,67,1
0,24,84,1
0,25,44,1
0,25,54,1
0,26,51,1
0,26,73,1
0,26,88,1
0,27,47,1
0,27,66,1
0,28,52,1
0,28,64,1
0,29,65,1
0,29,72,1
0,30,69,1
0,30,82,1
0,31,20,1
0,31,33,1
0,31,35,1
0,32,19,1
0,32,37,1
0,32,44,1
0,33,0,1
0,33,31,1
0,33,42,1
0,34,22,1
0,34,38,1
0,34,39,1
0,35,1,2
0,35,19,1
0,35,31,1
0,36,21,1
0,36,43,1
0,36,52,1
0,37,32,1
0,37,48,1
0,38,34,1
0,38,53,1
0,39,2,2
0,39,21,1
0,39,34,1
0,40,23,1
0,40,41,1
0,40,60,1
0,41,3,2
0,41,20,1
0,41,40,1
0,42,33,1
0,42,61,2
0,42,62,1
0,43,36,1
0,43,55,1
0,44,5,2
0,44,25,1
0,44,32,1
0,45,24,1
0,45,56,1
0,45,57,1
0,46,19,1
0,47,27,1
0,47,50,1
0,47,70,1
0,48,37,1
0,48,68,2
0,48,71,1
0,49,20,1
0,50,6,2
0,50,22,1
0,50,47,1
0,51,26,1
0,51,63,1
0,51,66,1
0,52,7,2
0,52,28,1
0,52,36,1
0,53,38,1
0,53,74,2
0,53,75,1
0,54,25,1
0,54,72,1
0,54,83,1
0,55,43,1
0,55,80,2
0,55,85,1
0,56,9,2
0,56,23,1
0,56,45,1
0,57,45,1
0,57,81,1
0,58,21,1
0,59,22,1
0,60,40,1
0,61,42,2
0,61,78,1
0,62,42,1
0,62,79,2
0,63,51,1
0,63,86,1
0,64,28,1
0,64,82,1
0,64,90,1
0,65,29,1
0,65,67,1
0,65,91,1
0,66,10,2
0,66,27,1
0,66,51,1
0,67,11,2
0,67,24,1
0,67,65,1
0,68,48,2
0,68,77,1
0,69,30,1
0,69,73,1
0,69,96,1
0,70,47,1
0,71,48,1
0,71,89,2
0,72,12,2
0,72,29,1
0,72,54,1
0,73,13,2
0,73,26,1
0,73,69,1
0,74,53,2
0,74,94,1
0,75,53,1
0,75,95,2
0,76,4,1
0,76,78,2
0,76,79,1
0,77,4,1
0,77,68,1
0,77,93,2
0,78,61,1
0,78,76,2
0,79,62,2
0,79,76,1
0,80,55,2
0,80,87,1
0,81,57,1
0,81,99,2
0,81,100,1
0,82,14,2
0,82,30,1
0,82,64,1
0,83,54,1
0,84,24,1
0,85,55,1
0,85,97,2
0,86,63,1
0,86,101,2
0,86,102,1
