id,atom_id,atom_type
0,0,O
0,1,O
0,2,O
0,3,O
0,4,O
0,5,O
0,6,O
0,7,O
0,8,O
0,9,O
0,10,O
0,11,O
0,12,O
0,13,O
0,14,O
0,15,O
0,16,O
0,17,O
0,18,O
0,19,N
0,20,N
0,21,N
0,22,N
0,23,N
0,24,N
0,25,N
0,26,N
0,27,N
0,28,N
0,29,N
0,30,N
0,31,C
0,32,C
0,33,C
0,34,C
0,35,C
0,36,C
0,37,C
0,38,C
0,39,C
0,40,C
0,41,C
0,42,C
0,43,C
0,44,C
0,45,C
0,46,C
0,47,C
0,48,C
0,49,C
0,50,C
0,51,C
0,52,C
0,53,C
0,54,C
0,55,C
0,56,C
0,57,C
0,58,C
0,59,C
0,60,C
0,61,C
0,62,C
0,63,C
0,64,C
0,65,C
0,66,C
0,67,C
0,68,C
0,69,C
0,70,C
0,71,C
0,72,C
0,73,C
0,74,C
0,75,C
0,76,C
0,77,C
0,78,C
0,79,C
0,80,C
0,81,C
0,82,C
0,83,C
0,84,C
0,85,C
0,86,C
0,87,C
0,88,C
0,89,C
0,90,C
0,91,C
0,92,C
0,93,C
0,94,C
0,95,C
0,96,C
0,97,C
0,98,C
0,99,C
0,100,C
0,101,C
0,102,C
0,103,C
0,104,C
0,105,C
0,106,C
0,107,C
0,108,C
0,109,C
0,110,C
2,0,O
2,1,O
2,2,O
2,3,O
2,4,O
2,5,O
2,6,O
2,7,O
2,8,O
2,9,O
2,10,C
2,11,C
2,12,C
2,13,C
2,14,C
2,15,C
2,16,C
2,17,C
2,18,C
2,19,C
2,20,C
2,21,C
2,22,C
2,23,C
2,24,C
2,25,C
2,26,C
2,27,C
2,28,C
2,29,C
2,30,C
2,31,C
2,32,C
2,33,C
2,34,C
2,35,C
2,36,C
2,37,C
4,0,S
4,1,O
4,2,O
4,3,O
4,4,O
4,5,O
4,6,O
4,7,O
4,8,O
4,9,O
4,10,O
4,11,O
4,12,O
4,13,N
4,14,N
4,15,N
4,16,N
4,17,C
4,18,C
4,19,C
4,20,C
4,21,C
4,22,C
4,23,C
4,24,C
4,25,C
4,26,C
4,27,C
4,28,C
4,29,C
4,30,C
4,31,C
4,32,C
4,33,C
4,34,C
4,35,C
4,36,C
4,37,C
4,38,C
4,39,C
4,40,C
4,41,C
4,42,C
4,43,C
4,44,C
4,45,C
4,46,C
4,47,C
4,48,C
4,49,C
4,50,C
4,51,C
4,52,C
4,53,C
4,54,C
4,55,C
4,56,C
4,57,C
4,58,C
4,59,C
4,60,C
4,61,C
4,62,C
4,63,C
4,64,C
4,65,C
5,0,S
5,1,O
5,2,O
5,3,O
5,4,O
5,5,O
5,6,O
5,7,O
5,8,O
5,9,O
5,10,O
5,11,O
5,12,O
5,13,N
5,14,N
5,15,N
5,16,N
5,17,C
5,18,C
5,19,C
5,20,C
5,21,C
5,22,C
5,23,C
5,24,C
5,25,C
5,26,C
5,27,C
5,28,C
5,29,C
5,30,C
5,31,C
5,32,C
5,33,C
5,34,C
5,35,C
5,36,C
5,37,C
5,38,C
5,39,C
5,40,C
5,41,C
5,42,C
5,43,C
5,44,C
5,45,C
5,46,C
5,47,C
5,48,C
5,49,C
5,50,C
5,51,C
5,52,C
5,53,C
5,54,C
5,55,C
5,56,C
5,57,C
5,58,C
5,59,C
5,60,C
5,61,C
5,62,C
5,63,C
5,64,C
5,65,C
6,0,Cl
6,1,O
6,2,O
6,3,O
6,4,O
6,5,O
6,6,O
6,7,O
6,8,O
6,9,O
6,10,O
6,11,O
6,12,O
6,13,N
6,14,C
6,15,C
6,16,C
6,17,C
6,18,C
6,19,C
6,20,C
6,21,C
6,22,C
6,23,C
6,24,C
6,25,C
6,26,C
6,27,C
6,28,C
6,29,C
6,30,C
6,31,C
6,32,C
6,33,C
6,34,C
6,35,C
6,36,C
6,37,C
6,38,C
6,39,C
6,40,C
6,41,C
6,42,C
6,43,C
6,44,C
6,45,C
8,0,S
8,1,O
8,2,O
8,3,O
8,4,O
8,5,O
8,6,O
8,7,O
8,8,O
8,9,O
8,10,O
8,11,O
8,12,O
8,13,N
8,14,N
8,15,N
8,16,N
8,17,C
8,18,C
8,19,C
8,20,C
8,21,C
8,22,C
8,23,C
8,24,C
8,25,C
8,26,C
8,27,C
8,28,C
8,29,C
8,30,C
8,31,C
8,32,C
8,33,C
8,34,C
8,35,C
8,36,C
8,37,C
8,38,C
8,39,C
8,40,C
8,41,C
8,42,C
8,43,C
8,44,C
8,45,C
8,46,C
8,47,C
8,48,C
8,49,C
8,50,C
8,51,C
8,52,C
