dataset,representation,graph_kernel,C,svm_kernel,train_accuracy,test_accuracy
nci,node_edge,shortest_path,10.0,precomputed,0.8354430379746836,0.7619047619047619
nci,node_edge,weisfeiler_lehman,10.0,precomputed,1.0,0.7619047619047619
nci,node_edge,graphlet_sampling,10.0,precomputed,0.7025316455696202,0.5952380952380952
nci,node_edge,shortest_path,1.0,precomputed,0.8417721518987342,0.7380952380952381
nci,node_edge,weisfeiler_lehman,1.0,precomputed,1.0,0.7619047619047619
nci,node_edge,graphlet_sampling,1.0,precomputed,0.7025316455696202,0.5952380952380952
nci,node_edge,shortest_path,0.1,precomputed,0.8164556962025317,0.7142857142857143
nci,node_edge,weisfeiler_lehman,0.1,precomputed,1.0,0.7619047619047619
nci,node_edge,graphlet_sampling,0.1,precomputed,0.689873417721519,0.5952380952380952
nci,edge_based,shortest_path,10.0,precomputed,0.7278481012658228,0.5714285714285714
nci,edge_based,weisfeiler_lehman,10.0,precomputed,1.0,0.6666666666666666
nci,edge_based,graphlet_sampling,10.0,precomputed,0.6772151898734177,0.5714285714285714
nci,edge_based,shortest_path,1.0,precomputed,0.7468354430379747,0.5714285714285714
nci,edge_based,weisfeiler_lehman,1.0,precomputed,1.0,0.6666666666666666
nci,edge_based,graphlet_sampling,1.0,precomputed,0.6772151898734177,0.5714285714285714
nci,edge_based,shortest_path,0.1,precomputed,0.6835443037974683,0.5476190476190477
nci,edge_based,weisfeiler_lehman,0.1,precomputed,1.0,0.6666666666666666
nci,edge_based,graphlet_sampling,0.1,precomputed,0.689873417721519,0.5714285714285714
nci,Klog,shortest_path,10.0,precomputed,0.9620253164556962,0.7142857142857143
nci,Klog,weisfeiler_lehman,10.0,precomputed,1.0,0.7857142857142857
nci,Klog,graphlet_sampling,10.0,precomputed,0.6582278481012658,0.47619047619047616
nci,Klog,shortest_path,1.0,precomputed,0.9430379746835443,0.6904761904761905
nci,Klog,weisfeiler_lehman,1.0,precomputed,1.0,0.7857142857142857
nci,Klog,graphlet_sampling,1.0,precomputed,0.6582278481012658,0.47619047619047616
nci,Klog,shortest_path,0.1,precomputed,0.9430379746835443,0.7142857142857143
nci,Klog,weisfeiler_lehman,0.1,precomputed,1.0,0.7857142857142857
nci,Klog,graphlet_sampling,0.1,precomputed,0.6582278481012658,0.47619047619047616
