id,class
TR000,pos
TR001,pos
TR002,neg
TR004,neg
TR006,pos
TR007,neg
TR008,neg
TR009,neg
TR010,neg
TR011,neg
TR012,neg
TR014,neg
TR015,neg
TR017,neg
TR019,pos
TR020,pos
TR021,neg
TR022,neg
TR023,neg
TR024,neg
TR025,neg
TR028,pos
TR029,pos
TR030,neg
TR031,neg
TR032,neg
TR033,neg
TR034,neg
TR035,neg
TR036,neg
TR039,pos
TR040,neg
TR041,pos
TR045,neg
TR046,neg
TR047,pos
TR048,neg
TR049,pos
TR050,neg
TR051,neg
TR053,pos
TR054,pos
TR055,pos
TR056,neg
TR058,pos
TR059,neg
TR060,neg
TR061,neg
TR063,pos
TR064,neg
TR066,neg
TR068,neg
TR071,neg
TR072,pos
TR073,neg
TR074,neg
TR076,pos
TR077,neg
TR078,neg
TR080,pos
TR081,pos
TR082,neg
TR083,neg
TR084,pos
TR085,pos
TR086,pos
TR089,pos
TR090,neg
TR091,neg
TR092,pos
TR093,pos
TR094,pos
TR095,pos
TR096,neg
TR098,neg
TR099,pos
TR100,pos
TR101,neg
TR102,neg
TR103,neg
TR104,neg
TR105,pos
TR107,neg
TR109,neg
TR110,neg
TR111,pos
TR112,neg
TR113,neg
TR114,neg
TR115,pos
TR117,neg
TR118,pos
TR120,neg
TR121,neg
TR122,neg
TR123,neg
TR124,neg
TR125,neg
TR126,neg
TR127,pos
TR128,pos
TR129,neg
TR130,pos
TR131,neg
TR132,neg
TR133,neg
TR134,neg
TR135,neg
TR136,neg
TR137,neg
TR138,neg
TR139,neg
TR140,pos
TR141,neg
TR142,pos
TR143,neg
TR144,pos
TR145,neg
TR146,neg
TR147,neg
TR148,neg
TR149,pos
TR150,neg
TR151,neg
TR153,pos
TR154,pos
TR155,pos
TR156,neg
TR157,neg
TR158,neg
TR159,neg
TR160,pos
TR161,neg
TR162,pos
TR163,neg
TR164,pos
TR165,neg
TR166,neg
TR168,neg
TR169,neg
TR171,neg
TR172,neg
TR173,neg
TR174,neg
TR175,neg
TR177,neg
TR178,neg
TR179,neg
TR180,neg
TR181,pos
TR183,neg
TR184,neg
TR185,neg
TR186,pos
TR187,neg
TR190,pos
TR191,neg
TR192,neg
TR193,pos
TR195,neg
TR196,pos
TR200,neg
TR203,neg
TR204,neg
TR205,pos
TR206,pos
TR207,pos
TR208,neg
TR209,pos
TR210,pos
TR211,neg
TR212,neg
TR214,neg
TR216,pos
TR217,pos
TR219,neg
TR220,neg
TR222,pos
TR223,neg
TR225,pos
TR226,pos
TR228,neg
TR233,neg
TR234,pos
TR235,neg
TR236,neg
TR238,pos
TR245,pos
TR247,neg
TR248,pos
TR253,pos
TR255,neg
TR257,pos
TR259,pos
TR263,neg
TR266,pos
TR267,pos
TR269,pos
TR272,neg
TR275,neg
TR276,neg
TR278,pos
TR281,neg
TR282,neg
TR284,neg
TR285,pos
TR287,pos
TR289,pos
TR291,pos
TR293,neg
TR298,pos
TR299,pos
TR300,pos
TR304,pos
TR305,neg
TR306,pos
TR307,neg
TR308,pos
TR309,pos
TR311,pos
TR312,neg
TR313,pos
TR314,neg
TR316,pos
TR319,pos
TR321,pos
TR322,neg
TR323,pos
TR328,pos
TR329,pos
TR330,neg
TR331,pos
TR332,pos
TR333,neg
TR334,pos
TR335,neg
TR336,neg
TR339,pos
TR341,pos
TR342,pos
TR343,neg
TR344,neg
TR347,pos
TR348,neg
TR350,pos
TR351,pos
TR352,neg
TR353,neg
TR354,neg
TR357,neg
TR358,pos
TR359,pos
TR360,pos
TR361,pos
TR362,pos
TR363,pos
TR366,pos
TR368,pos
TR369,pos
TR370,neg
TR371,neg
TR372,pos
TR373,neg
TR374,pos
TR377,neg
TR378,neg
TR379,neg
TR382,pos
TR383,pos
TR384,pos
TR386,pos
TR387,neg
TR388,pos
TR389,neg
TR390,pos
TR391,pos
TR394,neg
TR395,neg
TR396,neg
TR397,pos
TR398,pos
TR400,pos
TR401,neg
TR402,pos
TR403,neg
TR405,pos
TR406,neg
TR407,pos
TR409,pos
TR412,neg
TR414,pos
TR416,pos
TR422,pos
TR423,pos
TR424,neg
TR425,neg
TR427,neg
TR430,pos
TR431,neg
TR433,neg
TR435,neg
TR436,pos
TR437,neg
TR438,neg
TR439,neg
TR442,neg
TR445,neg
TR446,neg
TR448,pos
TR450,pos
TR452,pos
TR455,neg
TR456,pos
TR457,pos
TR458,pos
TR459,neg
TR461,neg
TR463,pos
TR464,neg
TR465,pos
TR466,pos
TR467,pos
TR470,pos
TR472,neg
TR473,neg
TR475,pos
TR477,neg
TR478,neg
TR480,neg
TR481,neg
TR482,pos
TR483,pos
TR484,neg
TR486,pos
TR487,pos
TR490,neg
TR491,pos
TR493,neg
TR494,pos
TR495,neg
TR496,pos
TR499,pos
TR501,neg
