atom_id,id,element
TR000_1,TR000,cl
TR000_2,TR000,c
TR000_3,TR000,cl
TR000_4,TR000,cl
TR000_5,TR000,h
TR002_1,TR002,c
TR002_2,TR002,c
TR002_3,TR002,cl
TR002_4,TR002,cl
TR002_5,TR002,cl
TR002_6,TR002,h
TR004_1,TR004,s
TR004_10,TR004,n
TR004_11,TR004,o
TR004_12,TR004,c
TR004_13,TR004,h
TR004_14,TR004,h
TR004_15,TR004,h
TR004_16,TR004,h
TR004_17,TR004,h
TR004_18,TR004,h
TR004_19,TR004,h
TR004_2,TR004,p
TR004_20,TR004,h
TR004_21,TR004,h
TR004_22,TR004,h
TR004_23,TR004,h
TR004_24,TR004,h
TR004_3,TR004,s
TR004_4,TR004,o
TR004_5,TR004,o
TR004_6,TR004,c
TR004_7,TR004,c
TR004_8,TR004,c
TR004_9,TR004,c
TR006_1,TR006,n
TR006_10,TR006,o
TR006_11,TR006,c
TR006_12,TR006,o
TR006_13,TR006,o
TR006_14,TR006,h
TR006_15,TR006,h
TR006_16,TR006,h
TR006_17,TR006,h
TR006_18,TR006,h
TR006_19,TR006,h
TR006_2,TR006,c
TR006_20,TR006,h
TR006_21,TR006,h
TR006_22,TR006,h
TR006_23,TR006,n
TR006_24,TR006,c
TR006_25,TR006,c
TR006_26,TR006,c
TR006_27,TR006,c
TR006_28,TR006,o
TR006_29,TR006,o
TR006_3,TR006,c
TR006_30,TR006,c
TR006_31,TR006,o
TR006_32,TR006,o
TR006_33,TR006,c
TR006_34,TR006,o
TR006_35,TR006,o
TR006_36,TR006,h
TR006_37,TR006,h
TR006_38,TR006,h
TR006_39,TR006,h
TR006_4,TR006,c
TR006_40,TR006,h
TR006_41,TR006,h
TR006_42,TR006,na
TR006_43,TR006,na
TR006_44,TR006,na
TR006_45,TR006,o
TR006_46,TR006,h
TR006_47,TR006,h
TR006_5,TR006,c
TR006_6,TR006,o
TR006_7,TR006,o
TR006_8,TR006,c
TR006_9,TR006,o
TR007_1,TR007,c
TR007_10,TR007,c
TR007_11,TR007,n
TR007_12,TR007,n
TR007_13,TR007,c
TR007_14,TR007,n
TR007_15,TR007,n
TR007_16,TR007,h
TR007_17,TR007,h
TR007_18,TR007,h
TR007_19,TR007,h
TR007_2,TR007,c
TR007_20,TR007,h
TR007_21,TR007,h
TR007_22,TR007,h
TR007_23,TR007,h
TR007_24,TR007,h
TR007_25,TR007,h
TR007_26,TR007,h
TR007_27,TR007,h
TR007_28,TR007,h
TR007_29,TR007,h
TR007_3,TR007,c
TR007_30,TR007,h
TR007_4,TR007,c
TR007_5,TR007,c
TR007_6,TR007,c
TR007_7,TR007,c
TR007_8,TR007,c
TR007_9,TR007,n
TR008_1,TR008,c
TR008_10,TR008,cl
TR008_11,TR008,cl
TR008_12,TR008,cl
TR008_13,TR008,cl
TR008_14,TR008,c
TR008_15,TR008,cl
TR008_16,TR008,cl
TR008_17,TR008,cl
TR008_18,TR008,cl
TR008_19,TR008,h
TR008_2,TR008,c
TR008_20,TR008,h
TR008_21,TR008,h
TR008_22,TR008,h
TR008_23,TR008,h
TR008_24,TR008,h
TR008_3,TR008,c
TR008_4,TR008,c
TR008_5,TR008,c
TR008_6,TR008,c
TR008_7,TR008,c
TR008_8,TR008,c
TR008_9,TR008,c
TR011_1,TR011,c
TR011_10,TR011,c
TR011_11,TR011,c
TR011_12,TR011,c
TR011_13,TR011,o
TR011_14,TR011,o
TR011_15,TR011,o
TR011_16,TR011,o
TR011_17,TR011,o
TR011_18,TR011,o
TR011_19,TR011,o
TR011_2,TR011,c
TR011_20,TR011,o
TR011_21,TR011,h
TR011_22,TR011,h
TR011_23,TR011,h
TR011_24,TR011,h
TR011_25,TR011,h
TR011_26,TR011,h
TR011_27,TR011,h
TR011_28,TR011,h
TR011_29,TR011,h
TR011_3,TR011,n
TR011_30,TR011,h
TR011_31,TR011,h
TR011_32,TR011,h
TR011_33,TR011,h
TR011_34,TR011,o
TR011_35,TR011,h
TR011_36,TR011,h
TR011_37,TR011,o
TR011_38,TR011,h
TR011_39,TR011,h
TR011_4,TR011,n
TR011_40,TR011,o
TR011_41,TR011,h
TR011_42,TR011,h
TR011_43,TR011,na
TR011_44,TR011,na
TR011_45,TR011,na
TR011_5,TR011,c
TR011_6,TR011,c
TR011_7,TR011,c
TR011_8,TR011,c
TR011_9,TR011,c
TR012_1,TR012,c
TR012_10,TR012,cl
TR012_11,TR012,cl
TR012_12,TR012,c
TR012_13,TR012,c
TR012_14,TR012,c
TR012_15,TR012,c
TR012_16,TR012,c
TR012_17,TR012,c
TR012_18,TR012,c
TR012_19,TR012,o
TR012_2,TR012,c
TR012_20,TR012,h
TR012_21,TR012,h
TR012_22,TR012,h
TR012_23,TR012,h
TR012_24,TR012,h
TR012_25,TR012,h
TR012_26,TR012,h
TR012_27,TR012,h
TR012_3,TR012,c
TR012_4,TR012,c
TR012_5,TR012,c
TR012_6,TR012,cl
TR012_7,TR012,cl
TR012_8,TR012,cl
TR012_9,TR012,cl
TR014_1,TR014,c
TR014_10,TR014,cl
TR014_11,TR014,cl
TR014_12,TR014,cl
TR014_13,TR014,h
TR014_14,TR014,h
TR014_15,TR014,h
TR014_16,TR014,h
TR014_17,TR014,h
TR014_18,TR014,h
TR014_2,TR014,c
TR014_3,TR014,c
TR014_4,TR014,c
TR014_5,TR014,c
TR014_6,TR014,c
TR014_7,TR014,cl
TR014_8,TR014,cl
TR014_9,TR014,cl
TR015_1,TR015,s
TR015_10,TR015,c
TR015_11,TR015,o
TR015_12,TR015,c
TR015_13,TR015,c
