dataset,representation,graph_kernel,C,svm_kernel,train_accuracy,test_accuracy
ptc,node_edge,shortest_path,10.0,precomputed,0.6370370370370371,0.4931506849315068
ptc,node_edge,weisfeiler_lehman,10.0,precomputed,0.9962962962962963,0.6301369863013698
ptc,node_edge,graphlet_sampling,10.0,precomputed,0.5740740740740741,0.6027397260273972
ptc,node_edge,shortest_path,1.0,precomputed,0.6370370370370371,0.4931506849315068
ptc,node_edge,weisfeiler_lehman,1.0,precomputed,0.9962962962962963,0.6301369863013698
ptc,node_edge,graphlet_sampling,1.0,precomputed,0.5740740740740741,0.6027397260273972
ptc,node_edge,shortest_path,0.1,precomputed,0.6407407407407407,0.5068493150684932
ptc,node_edge,weisfeiler_lehman,0.1,precomputed,0.9962962962962963,0.6301369863013698
ptc,node_edge,graphlet_sampling,0.1,precomputed,0.6111111111111112,0.6027397260273972
ptc,edge_based,shortest_path,10.0,precomputed,0.6148148148148148,0.547945205479452
ptc,edge_based,weisfeiler_lehman,10.0,precomputed,0.9962962962962963,0.5342465753424658
ptc,edge_based,graphlet_sampling,10.0,precomputed,0.6111111111111112,0.4794520547945205
ptc,edge_based,shortest_path,1.0,precomputed,0.6148148148148148,0.547945205479452
ptc,edge_based,weisfeiler_lehman,1.0,precomputed,0.9962962962962963,0.5342465753424658
ptc,edge_based,graphlet_sampling,1.0,precomputed,0.6259259259259259,0.4520547945205479
ptc,edge_based,shortest_path,0.1,precomputed,0.6185185185185185,0.547945205479452
ptc,edge_based,weisfeiler_lehman,0.1,precomputed,0.9962962962962963,0.5342465753424658
ptc,edge_based,graphlet_sampling,0.1,precomputed,0.6259259259259259,0.4520547945205479
ptc,Klog,shortest_path,10.0,precomputed,0.6925925925925925,0.4931506849315068
ptc,Klog,weisfeiler_lehman,10.0,precomputed,0.9962962962962963,0.6438356164383562
ptc,Klog,graphlet_sampling,10.0,precomputed,0.5555555555555556,0.5616438356164384
ptc,Klog,shortest_path,1.0,precomputed,0.6888888888888889,0.5068493150684932
ptc,Klog,weisfeiler_lehman,1.0,precomputed,0.9962962962962963,0.6438356164383562
ptc,Klog,graphlet_sampling,1.0,precomputed,0.5555555555555556,0.5616438356164384
ptc,Klog,shortest_path,0.1,precomputed,0.6851851851851852,0.5068493150684932
ptc,Klog,weisfeiler_lehman,0.1,precomputed,0.9888888888888889,0.589041095890411
ptc,Klog,graphlet_sampling,0.1,precomputed,0.5555555555555556,0.5616438356164384
