name1,name2,class
muhittin,yavuz,neg
firdevs,zeynep,neg
ayse,batuhan,neg
batuhan,sibel,neg
neriman,yusuf1,neg
alp,nesrin,neg
anil,muhammer,neg
murat1,nida,neg
ali1,firdevs,neg
gunay,recep,neg
ali2,melis,neg
mediha2,muhammer,neg
ismail,sibel,neg
nesrin,nida,neg
alp,yusuf2,neg
ayse,esra,neg
cemile,ismail,neg
fatma,levent,neg
anil,ayse,neg
ali1,batuhan,neg
muhammer,sevcan,neg
muhittin,yusuf3,neg
murat1,neriman,neg
cagdas,levent,neg
mediha2,mehmet1,neg
erdem,gunay,neg
ali2,recep,neg
mehmet2,recep,neg
erdem,mehmet2,neg
bedriye,murat2,neg
kubra,muhammer,neg
alp,gunay,neg
ali1,mediha1,neg
bedriye,zeynep,neg
ayten,batuhan,neg
firdevs,gunay,neg
ayten,sadullah,neg
cemile,sadullah,neg
ali1,nida,neg
firdevs,nalan,neg
nesrin,yavuz,neg
ismail,recep,neg
muhittin,nida,neg
ayten,mediha2,neg
ismail,yildirim,neg
huseyin,yusuf3,neg
ali2,mehmet2,neg
ali1,yildirim,neg
sevcan,yavuz,neg
mehmet2,secil,neg
kubra,neriman,neg
esra,mehmet1,neg
huseyin,mediha2,neg
huseyin,melis,neg
halis,mediha1,neg
gunay,nalan,neg
halis,muhammer,neg
erdem,murat1,neg
murat2,sibel,neg
huseyin,neriman,neg
neriman,yusuf3,neg
ali1,esra,neg
esra,mediha1,neg
ali1,zeynep,neg
ayten,murat1,neg
mehmet1,yusuf3,neg
mehmet1,muhittin,neg
kubra,yusuf3,neg
ayten,cemile,neg
mehmet2,yildirim,neg
ali1,cagdas,neg
gunay,sadullah,neg
huseyin,muhittin,neg
fatma,gunay,neg
batuhan,nalan,neg
mehmet1,yusuf2,neg
dilek,levent,neg
ayten,bedriye,neg
huseyin,mete,neg
mediha1,mediha2,neg
mediha2,nesrin,neg
nesrin,sibel,neg
cemile,nalan,neg
dilber,yusuf3,neg
nalan,secil,neg
ayse,secil,neg
esra,firdevs,neg
levent,recep,neg
cagdas,recep,neg
cemile,halis,neg
alp,yildirim,neg
firdevs,mediha1,neg
halis,ismail,neg
dilek,nesrin,neg
neriman,yildirim,neg
levent,mete,neg
nalan,sadullah,neg
ayse,cemile,neg
neriman,nida,neg
ali2,huseyin,neg
mete,yusuf2,pos
batuhan,erdem,pos
mediha2,sevcan,pos
alp,batuhan,pos
melis,yusuf3,pos
erdem,zeynep,pos
fatma,neriman,pos
halis,mediha2,pos
ali1,fatma,pos
ali2,sadullah,pos
secil,yusuf3,pos
ismail,nesrin,pos
alp,erdem,pos
dilek,yildirim,pos
batuhan,yavuz,pos
melis,zeynep,pos
ali2,firdevs,pos
halis,sevcan,pos
cagdas,melis,pos
firdevs,yusuf2,pos
fatma,nesrin,pos
ismail,mehmet1,pos
mediha2,mete,pos
dilek,firdevs,pos
kubra,mediha2,pos
alp,melis,pos
ali1,mehmet1,pos
ali2,mete,pos
mehmet1,nesrin,pos
sevcan,yildirim,pos
murat2,yildirim,pos
mete,yildirim,pos
alp,secil,pos
nida,zeynep,pos
sadullah,yusuf2,pos
ali2,dilber,pos
erdem,yavuz,pos
esra,yavuz,pos
murat1,yusuf2,pos
firdevs,mediha2,pos
melis,nida,pos
firdevs,yildirim,pos
dilber,sadullah,pos
dilber,kubra,pos
alp,zeynep,pos
mete,murat2,pos
nida,yavuz,pos
mehmet1,neriman,pos
mediha2,sadullah,pos
ali2,murat1,pos
erdem,secil,pos
halis,murat1,pos
esra,nida,pos
erdem,melis,pos
dilek,murat1,pos
ali1,ismail,pos
dilber,mete,pos
dilek,halis,pos
melis,secil,pos
ali1,neriman,pos
halis,sadullah,pos
ali1,nesrin,pos
ali2,murat2,pos
secil,yavuz,pos
kubra,yildirim,pos
ali2,yildirim,pos
fatma,mehmet1,pos
firdevs,kubra,pos
kubra,mete,pos
batuhan,secil,pos
batuhan,nida,pos
firdevs,mete,pos
dilek,yusuf2,pos
dilek,mete,pos
murat1,sadullah,pos
halis,yildirim,pos
halis,yusuf2,pos
erdem,esra,pos
esra,zeynep,pos
halis,mete,pos
anil,yusuf3,pos
murat2,yusuf2,pos
alp,nida,pos
murat1,murat2,pos
fatma,ismail,pos
yavuz,zeynep,pos
batuhan,zeynep,pos
yildirim,yusuf2,pos
anil,nida,pos
anil,melis,pos
nida,yusuf3,pos
dilber,dilek,pos
alp,yusuf3,pos
cagdas,secil,pos
alp,yavuz,pos
dilek,sevcan,pos
ismail,neriman,pos
firdevs,halis,pos
alp,anil,pos
esra,yusuf3,pos
