,name1,name2,class
90,alp,yildirim,neg
142,dilber,sadullah,pos
89,cemile,halis,neg
131,mete,yildirim,pos
167,firdevs,kubra,pos
123,dilek,firdevs,pos
78,huseyin,mete,neg
76,dilek,levent,neg
63,ali1,zeynep,neg
41,ismail,recep,neg
195,dilek,sevcan,pos
127,ali2,mete,pos
178,esra,zeynep,pos
57,erdem,murat1,neg
183,murat1,murat2,pos
77,ayten,bedriye,neg
165,ali2,yildirim,pos
121,ismail,mehmet1,pos
129,sevcan,yildirim,pos
157,dilek,halis,pos
162,ali2,murat2,pos
155,ali1,ismail,pos
180,anil,yusuf3,pos
32,ali1,mediha1,neg
104,melis,yusuf3,pos
45,huseyin,yusuf3,neg
188,anil,nida,pos
163,secil,yavuz,pos
115,melis,zeynep,pos
145,mete,murat2,pos
14,alp,yusuf2,neg
154,dilek,murat1,pos
85,ayse,secil,neg
52,huseyin,mediha2,neg
124,kubra,mediha2,pos
156,dilber,mete,pos
186,batuhan,zeynep,pos
159,ali1,neriman,pos
86,esra,firdevs,neg
15,ayse,esra,neg
101,batuhan,erdem,pos
138,murat1,yusuf2,pos
191,dilber,dilek,pos
119,firdevs,yusuf2,pos
22,murat1,neriman,neg
40,nesrin,yavuz,neg
134,sadullah,yusuf2,pos
93,dilek,nesrin,neg
36,ayten,sadullah,neg
184,fatma,ismail,pos
164,kubra,yildirim,pos
2,ayse,batuhan,neg
5,alp,nesrin,neg
125,alp,melis,pos
185,yavuz,zeynep,pos
66,mehmet1,muhittin,neg
34,ayten,batuhan,neg
69,mehmet2,yildirim,neg
97,ayse,cemile,neg
68,ayten,cemile,neg
102,mediha2,sevcan,pos
35,firdevs,gunay,neg
20,muhammer,sevcan,neg
38,ali1,nida,neg
58,murat2,sibel,neg
82,cemile,nalan,neg
175,halis,yildirim,pos
151,halis,murat1,pos
168,kubra,mete,pos
158,melis,secil,pos
16,cemile,ismail,neg
139,firdevs,mediha2,pos
135,ali2,dilber,pos
87,levent,recep,neg
117,halis,sevcan,pos
64,ayten,murat1,neg
100,mete,yusuf2,pos
24,mediha2,mehmet1,neg
61,ali1,esra,neg
92,halis,ismail,neg
19,ali1,batuhan,neg
169,batuhan,secil,pos
44,ismail,yildirim,neg
26,ali2,recep,neg
143,dilber,kubra,pos
47,ali1,yildirim,neg
118,cagdas,melis,pos
166,fatma,mehmet1,pos
126,ali1,mehmet1,pos
42,muhittin,nida,neg
13,nesrin,nida,neg
53,huseyin,melis,neg
80,mediha2,nesrin,neg
9,gunay,recep,neg
111,ismail,nesrin,pos
70,ali1,cagdas,neg
67,kubra,yusuf3,neg
11,mediha2,muhammer,neg
133,nida,zeynep,pos
161,ali1,nesrin,pos
7,murat1,nida,neg
46,ali2,mehmet2,neg
194,alp,yavuz,pos
116,ali2,firdevs,pos
95,levent,mete,neg
160,halis,sadullah,pos
84,nalan,secil,neg
8,ali1,firdevs,neg
60,neriman,yusuf3,neg
176,halis,yusuf2,pos
4,neriman,yusuf1,neg
18,anil,ayse,neg
91,firdevs,mediha1,neg
71,gunay,sadullah,neg
122,mediha2,mete,pos
172,dilek,yusuf2,pos
198,alp,anil,pos
110,secil,yusuf3,pos
137,esra,yavuz,pos
150,erdem,secil,pos
73,fatma,gunay,neg
152,esra,nida,pos
59,huseyin,neriman,neg
43,ayten,mediha2,neg
189,anil,melis,pos
6,anil,muhammer,neg
113,dilek,yildirim,pos
0,muhittin,yavuz,neg
196,ismail,neriman,pos
72,huseyin,muhittin,neg
75,mehmet1,yusuf2,neg
30,kubra,muhammer,neg
171,firdevs,mete,pos
147,mehmet1,neriman,pos
1,firdevs,zeynep,neg
88,cagdas,recep,neg
99,ali2,huseyin,neg
177,erdem,esra,pos
62,esra,mediha1,neg
170,batuhan,nida,pos
140,melis,nida,pos
120,fatma,nesrin,pos
31,alp,gunay,neg
79,mediha1,mediha2,neg
192,alp,yusuf3,pos
190,nida,yusuf3,pos
181,murat2,yusuf2,pos
39,firdevs,nalan,neg
144,alp,zeynep,pos
193,cagdas,secil,pos
25,erdem,gunay,neg
153,erdem,melis,pos
81,nesrin,sibel,neg
48,sevcan,yavuz,neg
105,erdem,zeynep,pos
199,esra,yusuf3,pos
37,cemile,sadullah,neg
55,gunay,nalan,neg
