dataset,representation,graph_kernel,C,svm_kernel,train_accuracy,test_accuracy
sameGen,node_only,shortest_path,10.0,precomputed,0.5,0.5
sameGen,node_only,weisfeiler_lehman,10.0,precomputed,1.0,0.6904761904761905
sameGen,node_only,graphlet_sampling,10.0,precomputed,0.5,0.5
sameGen,node_only,shortest_path,1.0,precomputed,0.5,0.5
sameGen,node_only,weisfeiler_lehman,1.0,precomputed,1.0,0.6904761904761905
sameGen,node_only,graphlet_sampling,1.0,precomputed,0.5,0.5
sameGen,node_only,shortest_path,0.1,precomputed,0.5,0.5
sameGen,node_only,weisfeiler_lehman,0.1,precomputed,1.0,0.6904761904761905
sameGen,node_only,graphlet_sampling,0.1,precomputed,0.5,0.5
sameGen,node_edge,shortest_path,10.0,precomputed,1.0,1.0
sameGen,node_edge,weisfeiler_lehman,10.0,precomputed,1.0,0.8333333333333334
sameGen,node_edge,graphlet_sampling,10.0,precomputed,1.0,1.0
sameGen,node_edge,shortest_path,1.0,precomputed,0.9936708860759493,1.0
sameGen,node_edge,weisfeiler_lehman,1.0,precomputed,1.0,0.8333333333333334
sameGen,node_edge,graphlet_sampling,1.0,precomputed,1.0,1.0
sameGen,node_edge,shortest_path,0.1,precomputed,0.9810126582278481,1.0
sameGen,node_edge,weisfeiler_lehman,0.1,precomputed,1.0,0.8333333333333334
sameGen,node_edge,graphlet_sampling,0.1,precomputed,1.0,1.0
sameGen,edge_based,shortest_path,10.0,precomputed,1.0,1.0
sameGen,edge_based,weisfeiler_lehman,10.0,precomputed,1.0,0.9761904761904762
sameGen,edge_based,graphlet_sampling,10.0,precomputed,1.0,1.0
sameGen,edge_based,shortest_path,1.0,precomputed,1.0,1.0
sameGen,edge_based,weisfeiler_lehman,1.0,precomputed,1.0,0.9761904761904762
sameGen,edge_based,graphlet_sampling,1.0,precomputed,1.0,1.0
sameGen,edge_based,shortest_path,0.1,precomputed,1.0,1.0
sameGen,edge_based,weisfeiler_lehman,0.1,precomputed,1.0,0.9761904761904762
sameGen,edge_based,graphlet_sampling,0.1,precomputed,1.0,1.0
