dataset,representation,graph_kernel,C,svm_kernel,train_accuracy,test_accuracy
sameGen,node_only,weisfeiler_lehman,100000,linear,1.0,0.4375
sameGen,node_only,weisfeiler_lehman,100000,precomputed,1.0,0.4375
sameGen,node_only,weisfeiler_lehman,100000,rbf,1.0,0.5
sameGen,node_only,weisfeiler_lehman,100000,poly,1.0,0.4375
sameGen,node_only,weisfeiler_lehman,10000,linear,1.0,0.4375
sameGen,node_only,weisfeiler_lehman,10000,precomputed,1.0,0.4375
sameGen,node_only,weisfeiler_lehman,10000,rbf,1.0,0.5
sameGen,node_only,weisfeiler_lehman,10000,poly,1.0,0.4375
sameGen,node_only,weisfeiler_lehman,1000,linear,1.0,0.4375
sameGen,node_only,weisfeiler_lehman,1000,precomputed,1.0,0.4375
sameGen,node_only,weisfeiler_lehman,1000,rbf,1.0,0.5
sameGen,node_only,weisfeiler_lehman,1000,poly,1.0,0.4375
sameGen,node_only,weisfeiler_lehman,100,linear,1.0,0.4375
sameGen,node_only,weisfeiler_lehman,100,precomputed,1.0,0.4375
sameGen,node_only,weisfeiler_lehman,100,rbf,1.0,0.5
sameGen,node_only,weisfeiler_lehman,100,poly,1.0,0.4375
sameGen,node_only,weisfeiler_lehman,10,linear,1.0,0.4375
sameGen,node_only,weisfeiler_lehman,10,precomputed,1.0,0.4375
sameGen,node_only,weisfeiler_lehman,10,rbf,1.0,0.5
sameGen,node_only,weisfeiler_lehman,10,poly,1.0,0.4375
sameGen,node_edge,weisfeiler_lehman,100000,linear,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,100000,precomputed,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,100000,rbf,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,100000,poly,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,10000,linear,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,10000,precomputed,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,10000,rbf,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,10000,poly,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,1000,linear,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,1000,precomputed,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,1000,rbf,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,1000,poly,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,100,linear,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,100,precomputed,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,100,rbf,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,100,poly,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,10,linear,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,10,precomputed,1.0,0.5625
sameGen,node_edge,weisfeiler_lehman,10,rbf,0.9487179487179487,0.5
sameGen,node_edge,weisfeiler_lehman,10,poly,1.0,0.5625
sameGen,edge_based,weisfeiler_lehman,100000,linear,1.0,0.8125
sameGen,edge_based,weisfeiler_lehman,100000,precomputed,1.0,0.8125
sameGen,edge_based,weisfeiler_lehman,100000,rbf,1.0,0.6875
sameGen,edge_based,weisfeiler_lehman,100000,poly,1.0,0.8125
sameGen,edge_based,weisfeiler_lehman,10000,linear,1.0,0.8125
sameGen,edge_based,weisfeiler_lehman,10000,precomputed,1.0,0.8125
sameGen,edge_based,weisfeiler_lehman,10000,rbf,1.0,0.6875
sameGen,edge_based,weisfeiler_lehman,10000,poly,1.0,0.8125
sameGen,edge_based,weisfeiler_lehman,1000,linear,1.0,0.8125
sameGen,edge_based,weisfeiler_lehman,1000,precomputed,1.0,0.8125
sameGen,edge_based,weisfeiler_lehman,1000,rbf,1.0,0.6875
sameGen,edge_based,weisfeiler_lehman,1000,poly,1.0,0.8125
sameGen,edge_based,weisfeiler_lehman,100,linear,0.9743589743589743,0.6875
sameGen,edge_based,weisfeiler_lehman,100,precomputed,1.0,0.8125
sameGen,edge_based,weisfeiler_lehman,100,rbf,1.0,0.6875
sameGen,edge_based,weisfeiler_lehman,100,poly,1.0,0.8125
sameGen,edge_based,weisfeiler_lehman,10,linear,0.8205128205128205,0.625
