id,car_id
t1,t1_c2
t10,t10_c1
t10,t10_c2
t10,t10_c3
t10,t10_c4
t100,t100_c1
t100,t100_c2
t1000,t1000_c1
t1000,t1000_c2
t1000,t1000_c3
t101,t101_c1
t101,t101_c2
t102,t102_c1
t102,t102_c2
t103,t103_c1
t103,t103_c2
t104,t104_c1
t104,t104_c2
t104,t104_c3
t105,t105_c1
t105,t105_c2
t105,t105_c3
t106,t106_c1
t106,t106_c2
t106,t106_c3
t106,t106_c4
t107,t107_c1
t107,t107_c2
t107,t107_c3
t108,t108_c1
t108,t108_c2
t109,t109_c1
t109,t109_c2
t109,t109_c3
t11,t11_c1
t11,t11_c2
t11,t11_c3
t110,t110_c1
t110,t110_c2
t111,t111_c1
t111,t111_c2
t111,t111_c3
t112,t112_c1
t112,t112_c2
t112,t112_c3
t112,t112_c4
t113,t113_c1
t113,t113_c2
t114,t114_c1
t114,t114_c2
t114,t114_c3
t115,t115_c1
t115,t115_c2
t115,t115_c3
t115,t115_c4
t116,t116_c1
t116,t116_c2
t116,t116_c3
t116,t116_c4
t117,t117_c1
t117,t117_c2
t117,t117_c3
t117,t117_c4
t118,t118_c1
t118,t118_c2
t118,t118_c3
t118,t118_c4
t119,t119_c1
t119,t119_c2
t119,t119_c3
t119,t119_c4
t12,t12_c1
t12,t12_c2
t120,t120_c1
t120,t120_c2
t121,t121_c1
t121,t121_c2
t121,t121_c3
t121,t121_c4
t122,t122_c1
t122,t122_c2
t122,t122_c3
t123,t123_c1
t123,t123_c2
t124,t124_c1
t124,t124_c2
t124,t124_c3
t124,t124_c4
t125,t125_c1
t125,t125_c2
t125,t125_c3
t125,t125_c4
t126,t126_c1
t126,t126_c2
t126,t126_c3
t127,t127_c1
t127,t127_c2
t128,t128_c1
t128,t128_c2
t129,t129_c1
t129,t129_c2
t129,t129_c3
t129,t129_c4
t13,t13_c1
t13,t13_c2
t13,t13_c3
t130,t130_c1
t130,t130_c2
t131,t131_c1
t131,t131_c2
t131,t131_c3
t131,t131_c4
t132,t132_c1
t132,t132_c2
t132,t132_c3
t132,t132_c4
t133,t133_c1
t133,t133_c2
t133,t133_c3
t134,t134_c1
t134,t134_c2
t134,t134_c3
t135,t135_c1
t135,t135_c2
t136,t136_c1
t136,t136_c2
t136,t136_c3
t136,t136_c4
t137,t137_c1
t137,t137_c2
t137,t137_c3
t137,t137_c4
t138,t138_c1
t138,t138_c2
t138,t138_c3
t139,t139_c1
t139,t139_c2
t14,t14_c1
t14,t14_c2
t14,t14_c3
t14,t14_c4
t140,t140_c1
t140,t140_c2
t140,t140_c3
t141,t141_c1
t141,t141_c2
t141,t141_c3
t141,t141_c4
t142,t142_c1
t142,t142_c2
t143,t143_c1
t143,t143_c2
t144,t144_c1
t144,t144_c2
t144,t144_c3
t145,t145_c1
t145,t145_c2
t145,t145_c3
t145,t145_c4
t146,t146_c1
t146,t146_c2
t146,t146_c3
t147,t147_c1
t147,t147_c2
t147,t147_c3
t148,t148_c1
t148,t148_c2
t149,t149_c1
t149,t149_c2
t149,t149_c3
t149,t149_c4
t15,t15_c1
t15,t15_c2
t150,t150_c1
t150,t150_c2
t151,t151_c1
t151,t151_c2
t151,t151_c3
t152,t152_c1
t152,t152_c2
t152,t152_c3
t153,t153_c1
t153,t153_c2
t153,t153_c3
t154,t154_c1
t154,t154_c2
t154,t154_c3
t155,t155_c1
t155,t155_c2
t156,t156_c1
t156,t156_c2
t157,t157_c1
t157,t157_c2
t157,t157_c3
t158,t158_c1
t158,t158_c2
t159,t159_c1
t159,t159_c2
t159,t159_c3
t16,t16_c1
t16,t16_c2
t16,t16_c3
t160,t160_c1
t160,t160_c2
t160,t160_c3
t160,t160_c4
t161,t161_c1
t161,t161_c2
t162,t162_c1
t162,t162_c2
t163,t163_c1
t163,t163_c2
t164,t164_c1
t164,t164_c2
t164,t164_c3
t165,t165_c1
t165,t165_c2
t166,t166_c1
t166,t166_c2
t166,t166_c3
t166,t166_c4
t167,t167_c1
t167,t167_c2
t167,t167_c3
t167,t167_c4
t168,t168_c1
t168,t168_c2
t168,t168_c3
t168,t168_c4
t169,t169_c1
t169,t169_c2
t169,t169_c3
t169,t169_c4
t17,t17_c1
t17,t17_c2
t17,t17_c3
t170,t170_c1
t170,t170_c2
t170,t170_c3
t171,t171_c1
t171,t171_c2
t171,t171_c3
t172,t172_c1
t172,t172_c2
t173,t173_c1
t173,t173_c2
t174,t174_c1
t174,t174_c2
t175,t175_c1
t175,t175_c2
t176,t176_c1
