id,class
t183,neg
t180,neg
t979,neg
t626,pos
t540,pos
t570,neg
t892,pos
t351,neg
t55,neg
t662,pos
t677,neg
t365,neg
t713,neg
t894,neg
t460,neg
t504,neg
t739,pos
t837,pos
t710,neg
t651,neg
t999,neg
t111,pos
t658,pos
t838,neg
t462,neg
t949,pos
t470,neg
t967,neg
t716,pos
t152,neg
t292,neg
t974,neg
t847,pos
t746,pos
t487,pos
t283,neg
t764,neg
t566,pos
t170,neg
t855,pos
t165,neg
t965,pos
t214,pos
t104,neg
t79,pos
t864,neg
t297,neg
t585,pos
t533,neg
t308,neg
t342,neg
t251,neg
t667,neg
t464,pos
t528,pos
t5,pos
t554,pos
t30,pos
t355,pos
t109,neg
t349,neg
t395,neg
t21,pos
t373,pos
t890,neg
t833,neg
t871,neg
t573,neg
t723,neg
t339,pos
t795,neg
t503,neg
t467,neg
t659,neg
t25,pos
t286,pos
t869,neg
t24,neg
t220,pos
t213,pos
t820,neg
t386,pos
t465,pos
t100,pos
t432,pos
t473,pos
t343,pos
t753,pos
t751,pos
t175,neg
t49,pos
t912,pos
t291,pos
t737,neg
t493,pos
t280,neg
t930,neg
t522,pos
t97,neg
t514,neg
t984,neg
t212,neg
t13,pos
t726,neg
t927,neg
t488,pos
t172,neg
t16,pos
t621,pos
t287,neg
t326,neg
t486,pos
t243,pos
t437,neg
t922,neg
t518,neg
t329,neg
t748,neg
t943,pos
t945,pos
t91,pos
t844,neg
t970,neg
t983,pos
t8,pos
t47,neg
t201,neg
t83,neg
t905,pos
t435,pos
t656,pos
t344,pos
t757,neg
t413,pos
t128,neg
t407,pos
t131,pos
t456,pos
t358,pos
t556,pos
t929,pos
t266,neg
t51,pos
t680,neg
t962,pos
t791,pos
t896,neg
t619,pos
t654,pos
t408,pos
t471,pos
t728,pos
t80,neg
t497,neg
t583,pos
t449,neg
t314,neg
t398,neg
t96,neg
t26,pos
t271,pos
t689,pos
t372,pos
t661,pos
t796,neg
t405,pos
t742,neg
t227,neg
t776,pos
t931,neg
t178,pos
t579,pos
t228,pos
t817,pos
t846,pos
t767,neg
t187,neg
t142,pos
t352,pos
t899,pos
t590,pos
t918,neg
t7,neg
t729,neg
t794,neg
t818,pos
t459,neg
t63,pos
t565,pos
t48,neg
t441,pos
t189,pos
t347,pos
t429,neg
t457,neg
t614,neg
t369,neg
t445,neg
t563,neg
t655,neg
t719,pos
t261,neg
t961,pos
t603,pos
t856,neg
t390,neg
t393,pos
t633,pos
t126,neg
t531,pos
t346,pos
t693,pos
t957,neg
t766,pos
t248,neg
t362,neg
t217,pos
t598,pos
t507,neg
t350,pos
t599,neg
t577,pos
t643,neg
t202,neg
t631,neg
t385,pos
t135,neg
t379,neg
t289,neg
t112,pos
t803,neg
t268,pos
t35,pos
t356,pos
t933,neg
t107,pos
t255,neg
t714,neg
t41,pos
t538,neg
t895,neg
t230,pos
t977,pos
t416,neg
t153,neg
t475,pos
t181,pos
t448,neg
t696,pos
t359,pos
t229,pos
t519,pos
t316,pos
t966,pos
t77,neg
t587,pos
t706,pos
t840,pos
t498,neg
t121,neg
t994,pos
t364,pos
t843,neg
t902,pos
t330,pos
t915,pos
t95,neg
t209,pos
t322,neg
t582,neg
t226,neg
t672,neg
t575,neg
t199,pos
t664,neg
t584,pos
t686,neg
t692,pos
t901,neg
t959,neg
t793,pos
t20,pos
t529,pos
t923,pos
t790,neg
t319,neg
t750,pos
t600,pos
t778,pos
t758,neg
t71,pos
t134,pos
t711,neg
t703,neg
t382,neg
t881,pos
t783,neg
t499,neg
t541,neg
t805,pos
t704,pos
t978,pos
t114,neg
t69,pos
t315,pos
t451,neg
t85,pos
t709,neg
t954,neg
t635,pos
t70,pos
t376,neg
t732,pos
t775,neg
t127,neg
t564,neg
t377,neg
t210,pos
t34,neg
t608,pos
t863,neg
t391,neg
t670,pos
t763,pos
t428,pos
t787,neg
t921,neg
t525,pos
t968,neg
t10,pos
t907,pos
t867,pos
t824,neg
t511,neg
t222,pos
t647,neg
t708,neg
t754,pos
t628,neg
t203,pos
t216,pos
t66,neg
t149,pos
t125,pos
t337,neg
t627,neg
t458,neg
t941,neg
t387,pos
t734,pos
t145,pos
t388,pos
t524,pos
t834,neg
t822,pos
t174,neg
t808,pos
t324,pos
t898,neg
t482,neg
t345,neg
t512,pos
t375,neg
t357,neg
t781,neg
t821,pos
t27,pos
t884,pos
t348,neg
t880,pos
t876,pos
t562,pos
t830,neg
t827,neg
t883,neg
t730,neg
t536,pos
t991,pos
t634,pos
t101,neg
t678,pos
t500,pos
t865,neg
t219,pos
t250,neg
t224,neg
t452,pos
t56,pos
t650,neg
t645,neg
t122,neg
t946,pos
t784,neg
t192,neg
t73,pos
t244,neg
t809,neg
t848,pos
t490,neg
t770,neg
