id,car_id
t10,t10_c1
t10,t10_c2
t10,t10_c3
t10,t10_c4
t107,t107_c1
t107,t107_c2
t107,t107_c3
t109,t109_c1
t109,t109_c2
t109,t109_c3
t111,t111_c1
t111,t111_c2
t111,t111_c3
t112,t112_c1
t112,t112_c2
t112,t112_c3
t112,t112_c4
t114,t114_c1
t114,t114_c2
t114,t114_c3
t121,t121_c1
t121,t121_c2
t121,t121_c3
t121,t121_c4
t122,t122_c1
t122,t122_c2
t122,t122_c3
t125,t125_c1
t125,t125_c2
t125,t125_c3
t125,t125_c4
t127,t127_c1
t127,t127_c2
t128,t128_c1
t128,t128_c2
t13,t13_c1
t13,t13_c2
t13,t13_c3
t134,t134_c1
t134,t134_c2
t134,t134_c3
t149,t149_c1
t149,t149_c2
t149,t149_c3
t149,t149_c4
t153,t153_c1
t153,t153_c2
t153,t153_c3
t16,t16_c1
t16,t16_c2
t16,t16_c3
t165,t165_c1
t165,t165_c2
t170,t170_c1
t170,t170_c2
t170,t170_c3
t174,t174_c1
t174,t174_c2
t175,t175_c1
t175,t175_c2
t178,t178_c1
t178,t178_c2
t178,t178_c3
t178,t178_c4
t180,t180_c1
t180,t180_c2
t181,t181_c1
t181,t181_c2
t181,t181_c3
t183,t183_c1
t183,t183_c2
t183,t183_c3
t183,t183_c4
t192,t192_c1
t192,t192_c2
t199,t199_c1
t199,t199_c2
t199,t199_c3
t199,t199_c4
t20,t20_c1
t20,t20_c2
t20,t20_c3
t20,t20_c4
t201,t201_c1
t201,t201_c2
t201,t201_c3
t201,t201_c4
t202,t202_c1
t202,t202_c2
t203,t203_c1
t203,t203_c2
t203,t203_c3
t21,t21_c1
t21,t21_c2
t21,t21_c3
t210,t210_c1
t210,t210_c2
t210,t210_c3
t210,t210_c4
t212,t212_c1
t212,t212_c2
t212,t212_c3
t214,t214_c1
t214,t214_c2
t214,t214_c3
t214,t214_c4
t216,t216_c1
t216,t216_c2
t219,t219_c1
t219,t219_c2
t219,t219_c3
t219,t219_c4
t220,t220_c1
t220,t220_c2
t220,t220_c3
t220,t220_c4
t224,t224_c1
t224,t224_c2
t224,t224_c3
t226,t226_c1
t226,t226_c2
t226,t226_c3
t226,t226_c4
t227,t227_c1
t227,t227_c2
t227,t227_c3
t228,t228_c1
t228,t228_c2
t228,t228_c3
t228,t228_c4
t229,t229_c1
t229,t229_c2
t230,t230_c1
t230,t230_c2
t230,t230_c3
t24,t24_c1
t24,t24_c2
t24,t24_c3
t24,t24_c4
t244,t244_c1
t244,t244_c2
t248,t248_c1
t248,t248_c2
t248,t248_c3
t250,t250_c1
t250,t250_c2
t251,t251_c1
t251,t251_c2
t255,t255_c1
t255,t255_c2
t255,t255_c3
t26,t26_c1
t26,t26_c2
t26,t26_c3
t26,t26_c4
t261,t261_c1
t261,t261_c2
t261,t261_c3
t261,t261_c4
t266,t266_c1
t266,t266_c2
t268,t268_c1
t268,t268_c2
t268,t268_c3
t27,t27_c1
t27,t27_c2
t27,t27_c3
t27,t27_c4
t271,t271_c1
t271,t271_c2
t271,t271_c3
t271,t271_c4
t280,t280_c1
t280,t280_c2
t283,t283_c1
t283,t283_c2
t283,t283_c3
t283,t283_c4
t286,t286_c1
t286,t286_c2
t286,t286_c3
t287,t287_c1
t287,t287_c2
t287,t287_c3
t287,t287_c4
t289,t289_c1
t289,t289_c2
t289,t289_c3
t291,t291_c1
t291,t291_c2
t292,t292_c1
t292,t292_c2
t292,t292_c3
t292,t292_c4
t30,t30_c1
t30,t30_c2
t30,t30_c3
t308,t308_c1
t308,t308_c2
t315,t315_c1
t315,t315_c2
t324,t324_c1
t324,t324_c2
t324,t324_c3
t324,t324_c4
t326,t326_c1
t326,t326_c2
t326,t326_c3
t326,t326_c4
t330,t330_c1
t330,t330_c2
t330,t330_c3
t337,t337_c1
t337,t337_c2
t339,t339_c1
t339,t339_c2
t339,t339_c3
t339,t339_c4
t34,t34_c1
t34,t34_c2
t34,t34_c3
t34,t34_c4
t342,t342_c1
t342,t342_c2
t342,t342_c3
t343,t343_c1
t343,t343_c2
t346,t346_c1
t346,t346_c2
t347,t347_c1
t347,t347_c2
t347,t347_c3
t347,t347_c4
t348,t348_c1
t348,t348_c2
t348,t348_c3
t349,t349_c1
t349,t349_c2
t349,t349_c3
t349,t349_c4
t350,t350_c1
t350,t350_c2
t350,t350_c3
t350,t350_c4
t352,t352_c1
t352,t352_c2
t355,t355_c1
t355,t355_c2
t356,t356_c1
t356,t356_c2
t358,t358_c1
t358,t358_c2
t358,t358_c3
t358,t358_c4
t359,t359_c1
t359,t359_c2
t359,t359_c3
t362,t362_c1
t362,t362_c2
t362,t362_c3
t362,t362_c4
t365,t365_c1
t365,t365_c2
t365,t365_c3
t369,t369_c1
t369,t369_c2
t369,t369_c3
t372,t372_c1
t372,t372_c2
t373,t373_c1
t373,t373_c2
t373,t373_c3
t373,t373_c4
t376,t376_c1
t376,t376_c2
t376,t376_c3
t376,t376_c4
t377,t377_c1
t377,t377_c2
t377,t377_c3
t377,t377_c4
t379,t379_c1
t379,t379_c2
t386,t386_c1
t386,t386_c2
t386,t386_c3
t387,t387_c1
t387,t387_c2
t387,t387_c3
t388,t388_c1
t388,t388_c2
t388,t388_c3
t390,t390_c1
t390,t390_c2
t391,t391_c1
t391,t391_c2
t391,t391_c3
t391,t391_c4
t393,t393_c1
t393,t393_c2
t393,t393_c3
t393,t393_c4
t395,t395_c1
t395,t395_c2
t398,t398_c1
t398,t398_c2
t398,t398_c3
t407,t407_c1
t407,t407_c2
t407,t407_c3
t408,t408_c1
t408,t408_c2
t408,t408_c3
t408,t408_c4
t41,t41_c1
t41,t41_c2
t41,t41_c3
t41,t41_c4
t413,t413_c1
t413,t413_c2
t413,t413_c3
t416,t416_c1
t416,t416_c2
t416,t416_c3
t428,t428_c1
t428,t428_c2
t428,t428_c3
t429,t429_c1
t429,t429_c2
t429,t429_c3
t432,t432_c1
t432,t432_c2
t432,t432_c3
t435,t435_c1
t435,t435_c2
t435,t435_c3
t435,t435_c4
t437,t437_c1
t437,t437_c2
t437,t437_c3
t437,t437_c4
t441,t441_c1
t441,t441_c2
t445,t445_c1
t445,t445_c2
t445,t445_c3
t445,t445_c4
t449,t449_c1
t449,t449_c2
t452,t452_c1
t452,t452_c2
t452,t452_c3
t456,t456_c1
t456,t456_c2
t456,t456_c3
t456,t456_c4
t457,t457_c1
t457,t457_c2
t458,t458_c1
t458,t458_c2
t459,t459_c1
t459,t459_c2
t459,t459_c3
t460,t460_c1
t460,t460_c2
t460,t460_c3
t460,t460_c4
t462,t462_c1
t462,t462_c2
t464,t464_c1
t464,t464_c2
t467,t467_c1
t467,t467_c2
t47,t47_c1
t47,t47_c2
t47,t47_c3
t470,t470_c1
t470,t470_c2
t471,t471_c1
t471,t471_c2
t471,t471_c3
t471,t471_c4
t473,t473_c1
t473,t473_c2
t473,t473_c3
t473,t473_c4
t475,t475_c1
t475,t475_c2
t482,t482_c1
t482,t482_c2
t482,t482_c3
t486,t486_c1
t486,t486_c2
t486,t486_c3
t486,t486_c4
t497,t497_c1
t497,t497_c2
t497,t497_c3
t497,t497_c4
t498,t498_c1
t498,t498_c2
t498,t498_c3
t499,t499_c1
t499,t499_c2
t5,t5_c1
t5,t5_c2
t500,t500_c1
t500,t500_c2
t500,t500_c3
t500,t500_c4
t503,t503_c1
t503,t503_c2
t503,t503_c3
t503,t503_c4
t504,t504_c1
t504,t504_c2
t511,t511_c1
t511,t511_c2
t511,t511_c3
t512,t512_c1
t512,t512_c2
t514,t514_c1
t514,t514_c2
t514,t514_c3
t518,t518_c1
t518,t518_c2
t519,t519_c1
t519,t519_c2
t519,t519_c3
t524,t524_c1
t524,t524_c2
t524,t524_c3
t524,t524_c4
t525,t525_c1
t525,t525_c2
t525,t525_c3
t528,t528_c1
t528,t528_c2
t528,t528_c3
t529,t529_c1
t529,t529_c2
t529,t529_c3
t529,t529_c4
t531,t531_c1
t531,t531_c2
t533,t533_c1
t533,t533_c2
t533,t533_c3
t533,t533_c4
t536,t536_c1
t536,t536_c2
t536,t536_c3
t538,t538_c1
t538,t538_c2
t556,t556_c1
t556,t556_c2
t56,t56_c1
t56,t56_c2
t56,t56_c3
t563,t563_c1
t563,t563_c2
t563,t563_c3
t563,t563_c4
t564,t564_c1
t564,t564_c2
t564,t564_c3
t565,t565_c1
t565,t565_c2
t565,t565_c3
t565,t565_c4
t566,t566_c1
t566,t566_c2
t566,t566_c3
t570,t570_c1
t570,t570_c2
t573,t573_c1
t573,t573_c2
t575,t575_c1
t575,t575_c2
t577,t577_c1
t577,t577_c2
t577,t577_c3
t577,t577_c4
t579,t579_c1
t579,t579_c2
t583,t583_c1
t583,t583_c2
t583,t583_c3
t583,t583_c4
t584,t584_c1
t584,t584_c2
t585,t585_c1
t585,t585_c2
t585,t585_c3
t585,t585_c4
t587,t587_c1
t587,t587_c2
t587,t587_c3
t590,t590_c1
t590,t590_c2
t590,t590_c3
t590,t590_c4
t598,t598_c1
t598,t598_c2
t598,t598_c3
t598,t598_c4
t599,t599_c1
t599,t599_c2
t599,t599_c3
t599,t599_c4
t600,t600_c1
t600,t600_c2
t600,t600_c3
t600,t600_c4
t608,t608_c1
t608,t608_c2
t614,t614_c1
t614,t614_c2
t619,t619_c1
t619,t619_c2
t619,t619_c3
t619,t619_c4
t621,t621_c1
t621,t621_c2
t621,t621_c3
t626,t626_c1
t626,t626_c2
t626,t626_c3
t627,t627_c1
t627,t627_c2
t628,t628_c1
t628,t628_c2
t631,t631_c1
t631,t631_c2
t631,t631_c3
t633,t633_c1
t633,t633_c2
t633,t633_c3
t633,t633_c4
t634,t634_c1
t634,t634_c2
t635,t635_c1
t635,t635_c2
t635,t635_c3
t635,t635_c4
t643,t643_c1
t643,t643_c2
t647,t647_c1
t647,t647_c2
t647,t647_c3
t647,t647_c4
t651,t651_c1
t651,t651_c2
t651,t651_c3
t651,t651_c4
t654,t654_c1
t654,t654_c2
t654,t654_c3
t655,t655_c1
t655,t655_c2
t656,t656_c1
t656,t656_c2
t658,t658_c1
t658,t658_c2
t658,t658_c3
t659,t659_c1
t659,t659_c2
t659,t659_c3
t659,t659_c4
t66,t66_c1
t66,t66_c2
