car_id,load_id
t1000_c1,t1000_c1_l1
t1000_c1,t1000_c1_l2
t1000_c2,t1000_c2_l1
t1000_c2,t1000_c2_l2
t1000_c2,t1000_c2_l3
t100_c1,t100_c1_l1
t100_c1,t100_c1_l2
t100_c1,t100_c1_l3
t100_c2,t100_c2_l1
t100_c2,t100_c2_l2
t101_c1,t101_c1_l1
t101_c1,t101_c1_l2
t101_c2,t101_c2_l1
t102_c1,t102_c1_l1
t102_c2,t102_c2_l1
t102_c2,t102_c2_l2
t103_c1,t103_c1_l1
t104_c1,t104_c1_l1
t104_c1,t104_c1_l2
t104_c2,t104_c2_l1
t104_c2,t104_c2_l2
t104_c2,t104_c2_l3
t104_c3,t104_c3_l1
t105_c1,t105_c1_l1
t105_c1,t105_c1_l2
t105_c2,t105_c2_l1
t105_c2,t105_c2_l2
t105_c3,t105_c3_l1
t105_c3,t105_c3_l2
t106_c1,t106_c1_l1
t106_c2,t106_c2_l1
t106_c3,t106_c3_l1
t106_c3,t106_c3_l2
t106_c4,t106_c4_l1
t107_c1,t107_c1_l1
t107_c1,t107_c1_l2
t107_c1,t107_c1_l3
t107_c2,t107_c2_l1
t107_c2,t107_c2_l2
t108_c1,t108_c1_l1
t108_c1,t108_c1_l2
t108_c1,t108_c1_l3
t108_c2,t108_c2_l1
t109_c1,t109_c1_l1
t109_c1,t109_c1_l2
t109_c2,t109_c2_l1
t109_c2,t109_c2_l2
t109_c3,t109_c3_l1
t109_c3,t109_c3_l2
t10_c1,t10_c1_l1
t10_c1,t10_c1_l2
t10_c1,t10_c1_l3
t10_c2,t10_c2_l1
t10_c2,t10_c2_l2
t10_c4,t10_c4_l1
t10_c4,t10_c4_l2
t110_c1,t110_c1_l1
t110_c1,t110_c1_l2
t110_c1,t110_c1_l3
t110_c2,t110_c2_l1
t110_c2,t110_c2_l2
t111_c2,t111_c2_l1
t111_c2,t111_c2_l2
t111_c2,t111_c2_l3
t111_c3,t111_c3_l1
t112_c1,t112_c1_l1
t112_c1,t112_c1_l2
t112_c1,t112_c1_l3
t112_c3,t112_c3_l1
t112_c3,t112_c3_l2
t112_c4,t112_c4_l1
t113_c1,t113_c1_l1
t113_c1,t113_c1_l2
t113_c2,t113_c2_l1
t113_c2,t113_c2_l2
t114_c1,t114_c1_l1
t114_c2,t114_c2_l1
t114_c3,t114_c3_l1
t114_c3,t114_c3_l2
t115_c2,t115_c2_l1
t115_c3,t115_c3_l1
t115_c3,t115_c3_l2
t115_c4,t115_c4_l1
t116_c1,t116_c1_l1
t116_c1,t116_c1_l2
t116_c2,t116_c2_l1
t116_c2,t116_c2_l2
t116_c3,t116_c3_l1
t116_c3,t116_c3_l2
t116_c4,t116_c4_l1
t116_c4,t116_c4_l2
t117_c1,t117_c1_l1
t117_c1,t117_c1_l2
t117_c1,t117_c1_l3
t117_c3,t117_c3_l1
t117_c3,t117_c3_l2
t117_c4,t117_c4_l1
t118_c2,t118_c2_l1
t118_c3,t118_c3_l1
t118_c4,t118_c4_l1
t118_c4,t118_c4_l2
t119_c1,t119_c1_l1
t119_c2,t119_c2_l1
t119_c2,t119_c2_l2
t119_c2,t119_c2_l3
t119_c3,t119_c3_l1
t119_c4,t119_c4_l1
t119_c4,t119_c4_l2
t11_c1,t11_c1_l1
t11_c1,t11_c1_l2
t11_c2,t11_c2_l1
t11_c3,t11_c3_l1
t11_c3,t11_c3_l2
t120_c1,t120_c1_l1
t120_c2,t120_c2_l1
t120_c2,t120_c2_l2
t120_c2,t120_c2_l3
t121_c1,t121_c1_l1
t121_c1,t121_c1_l2
t121_c2,t121_c2_l1
t121_c2,t121_c2_l2
t121_c3,t121_c3_l1
t121_c4,t121_c4_l1
t122_c1,t122_c1_l1
t122_c1,t122_c1_l2
t122_c2,t122_c2_l1
t122_c3,t122_c3_l1
t122_c3,t122_c3_l2
t122_c3,t122_c3_l3
t123_c2,t123_c2_l1
t124_c1,t124_c1_l1
t124_c2,t124_c2_l1
t124_c2,t124_c2_l2
t124_c3,t124_c3_l1
t124_c4,t124_c4_l1
t125_c1,t125_c1_l1
t125_c2,t125_c2_l1
t125_c3,t125_c3_l1
t125_c3,t125_c3_l2
t125_c4,t125_c4_l1
t125_c4,t125_c4_l2
t126_c1,t126_c1_l1
t126_c2,t126_c2_l1
t126_c2,t126_c2_l2
t126_c3,t126_c3_l1
t126_c3,t126_c3_l2
t126_c3,t126_c3_l3
t127_c1,t127_c1_l1
t127_c1,t127_c1_l2
t127_c2,t127_c2_l1
t127_c2,t127_c2_l2
t128_c1,t128_c1_l1
t128_c1,t128_c1_l2
t128_c2,t128_c2_l1
t129_c1,t129_c1_l1
t129_c2,t129_c2_l1
t129_c2,t129_c2_l2
t129_c3,t129_c3_l1
t129_c3,t129_c3_l2
t129_c4,t129_c4_l1
t12_c1,t12_c1_l1
