dataset,representation,graph_kernel,C,svm_kernel,train_accuracy,test_accuracy
train,node_only,shortest_path,10.0,precomputed,0.5569620253164557,0.5119047619047619
train,node_only,weisfeiler_lehman,10.0,precomputed,1.0,0.9642857142857143
train,node_only,graphlet_sampling,10.0,precomputed,0.5126582278481012,0.5357142857142857
train,node_only,shortest_path,1.0,precomputed,0.5569620253164557,0.5119047619047619
train,node_only,weisfeiler_lehman,1.0,precomputed,1.0,0.9642857142857143
train,node_only,graphlet_sampling,1.0,precomputed,0.5126582278481012,0.5357142857142857
train,node_only,shortest_path,0.1,precomputed,0.5569620253164557,0.5119047619047619
train,node_only,weisfeiler_lehman,0.1,precomputed,1.0,0.9642857142857143
train,node_only,graphlet_sampling,0.1,precomputed,0.5126582278481012,0.5357142857142857
train,node_edge,shortest_path,10.0,precomputed,0.6360759493670886,0.6428571428571429
train,node_edge,weisfeiler_lehman,10.0,precomputed,1.0,0.9761904761904762
train,node_edge,graphlet_sampling,10.0,precomputed,0.6107594936708861,0.6071428571428571
train,node_edge,shortest_path,1.0,precomputed,0.6360759493670886,0.6428571428571429
train,node_edge,weisfeiler_lehman,1.0,precomputed,1.0,0.9761904761904762
train,node_edge,graphlet_sampling,1.0,precomputed,0.6107594936708861,0.6071428571428571
train,node_edge,shortest_path,0.1,precomputed,0.6360759493670886,0.6428571428571429
train,node_edge,weisfeiler_lehman,0.1,precomputed,1.0,0.9761904761904762
train,node_edge,graphlet_sampling,0.1,precomputed,0.6107594936708861,0.6071428571428571
train,edge_based,shortest_path,10.0,precomputed,0.7025316455696202,0.6547619047619048
train,edge_based,weisfeiler_lehman,10.0,precomputed,1.0,0.9047619047619048
train,edge_based,graphlet_sampling,10.0,precomputed,0.6645569620253164,0.7023809523809523
train,edge_based,shortest_path,1.0,precomputed,0.7025316455696202,0.6547619047619048
train,edge_based,weisfeiler_lehman,1.0,precomputed,1.0,0.9047619047619048
train,edge_based,graphlet_sampling,1.0,precomputed,0.6645569620253164,0.7023809523809523
train,edge_based,shortest_path,0.1,precomputed,0.7025316455696202,0.6547619047619048
train,edge_based,weisfeiler_lehman,0.1,precomputed,1.0,0.9047619047619048
train,edge_based,graphlet_sampling,0.1,precomputed,0.6645569620253164,0.7023809523809523
train,Klog,shortest_path,10.0,precomputed,0.6360759493670886,0.6428571428571429
train,Klog,weisfeiler_lehman,10.0,precomputed,1.0,0.9880952380952381
train,Klog,graphlet_sampling,10.0,precomputed,0.6139240506329114,0.6666666666666666
train,Klog,shortest_path,1.0,precomputed,0.6360759493670886,0.6428571428571429
train,Klog,weisfeiler_lehman,1.0,precomputed,1.0,0.9880952380952381
train,Klog,graphlet_sampling,1.0,precomputed,0.6139240506329114,0.6666666666666666
train,Klog,shortest_path,0.1,precomputed,0.6360759493670886,0.6428571428571429
train,Klog,weisfeiler_lehman,0.1,precomputed,1.0,0.9880952380952381
train,Klog,graphlet_sampling,0.1,precomputed,0.6139240506329114,0.6666666666666666
