train_acc,train_loss,val_acc,test_acc,test_acc_std,lr,epoch,model,layers,hidden_dims,total_epochs,runtime,test_size,val_size,train_size,representation
1.0,0.0855032389263215,1.0,0.9523809523809524,0.038880789567986955,1e-05,133,GINE,2,32,200,15.717709938685099,6,32,284,node_only
1.0,0.16765166260302067,1.0,1.0,0.0,1e-05,123,GINE,2,32,200,13.78371000289917,6,32,284,node_edge
1.0,0.11572405802144203,1.0,1.0,0.0,1e-05,123,GINE,2,32,200,16.29470698038737,6,32,284,edge_based
0.9823943661971831,1.330557172652334,0.96875,0.9920634920634921,0.005611958580845595,1e-05,123,GINE,2,32,200,15.811351935068766,6,32,284,Klog
0.9859154929577465,0.7127058574114926,0.96875,0.9523809523809524,0.044543540318737376,1e-05,128,GINE,2,64,200,19.252237637837727,6,32,284,node_only
1.0,0.23238956011482514,0.96875,1.0,0.0,1e-05,130,GINE,2,64,200,15.877525091171265,6,32,284,node_edge
1.0,0.024501877360307844,1.0,1.0,0.0,1e-05,131,GINE,2,64,200,18.400286038716633,6,32,284,edge_based
1.0,0.05641292021869049,1.0,0.9880952380952381,0.016835875742536838,1e-05,123,GINE,2,64,200,15.943947712580362,6,32,284,Klog
1.0,0.013874542240955634,1.0,0.9365079365079364,0.036800073394824245,1e-05,132,GINE,2,128,200,20.976130723953247,6,32,284,node_only
1.0,0.15840781153383432,1.0,1.0,0.0,1e-05,125,GINE,2,128,200,16.32865111033122,6,32,284,node_edge
1.0,0.007623811128723901,1.0,1.0,0.0,1e-05,124,GINE,2,128,200,23.161105235417683,6,32,284,edge_based
0.9894366197183099,0.9359289270360023,0.90625,0.9841269841269842,0.022447834323382487,1e-05,132,GINE,2,128,200,20.234452803929646,6,32,284,Klog
0.9823943661971831,1.722374975681305,0.9375,0.9047619047619048,0.025717224993681977,1e-05,127,GINE,3,32,200,21.659039974212646,6,32,284,node_only
1.0,0.026920400605376926,1.0,1.0,0.0,1e-05,128,GINE,3,32,200,18.619937658309937,6,32,284,node_edge
1.0,0.06802093271835474,1.0,1.0,0.0,1e-05,130,GINE,3,32,200,21.580103397369385,6,32,284,edge_based
1.0,0.24689604723243974,1.0,0.9682539682539683,0.011223917161691244,1e-05,129,GINE,3,32,200,18.97066267331441,6,32,284,Klog
0.9929577464788732,1.28622119827196,0.875,0.9007936507936508,0.01122391716169119,1e-05,122,GINE,3,64,200,24.84528883298238,6,32,284,node_only
1.0,0.013955450363937416,0.96875,0.996031746031746,0.005611958580845595,1e-05,126,GINE,3,64,200,20.573164621988933,6,32,284,node_edge
1.0,0.35319131550295424,1.0,1.0,0.0,1e-05,123,GINE,3,64,200,27.573378960291546,6,32,284,edge_based
0.9894366197183099,1.5032446989789605,0.96875,0.9880952380952381,0.016835875742536838,1e-05,125,GINE,3,64,200,24.151814699172974,6,32,284,Klog
0.9788732394366197,2.001712992787361,0.96875,0.9047619047619048,0.009720197391996704,1e-05,143,GINE,3,128,200,34.86241499582926,6,32,284,node_only
1.0,0.0531937564664986,1.0,0.996031746031746,0.005611958580845595,1e-05,129,GINE,3,128,200,23.41217501958211,6,32,284,node_edge
1.0,0.011465230697467632,1.0,1.0,0.0,1e-05,133,GINE,3,128,200,37.42961057027181,6,32,284,edge_based
0.9964788732394366,0.8622274450026453,0.90625,0.9841269841269842,0.011223917161691244,1e-05,136,GINE,3,128,200,30.615469058354694,6,32,284,Klog
