test_acc,runtime,train_acc,system,representation
1.0,3.47719407081604,1.0,Tilde,node_only
0.8928571428571429,101.16256904602052,0.9666666666666668,Popper,node_only
1.0,0.2383170829999999,0.0,Aleph,node_only
1.0,2.1307828426361084,1.0,Tilde,node_edge
1.0,70.13304615020752,1.0,Popper,node_edge
1.0,0.183155417,0.0,Aleph,node_edge
0.5,3.085737943649292,0.5,Tilde,edge_based
0.9047619047619048,100.36761999130248,0.9666666666666668,Popper,edge_based
0.5,180.082482917,0.0,Aleph,edge_based
1.0,2.780850887298584,1.0,Tilde,Klog
0.7380952380952381,101.48441910743712,1.0,Popper,Klog
1.0,0.2354196659999999,0.0,Aleph,Klog
