dataset,representation,graph_kernel,C,svm_kernel,train_accuracy,test_accuracy
university,node_only,weisfeiler_lehman,100000,linear,1.0,1.0
university,node_only,weisfeiler_lehman,100000,precomputed,1.0,1.0
university,node_only,weisfeiler_lehman,100000,rbf,1.0,1.0
university,node_only,weisfeiler_lehman,100000,poly,1.0,0.5
university,node_only,weisfeiler_lehman,10000,linear,1.0,1.0
university,node_only,weisfeiler_lehman,10000,precomputed,1.0,1.0
university,node_only,weisfeiler_lehman,10000,rbf,1.0,1.0
university,node_only,weisfeiler_lehman,10000,poly,1.0,0.5
university,node_only,weisfeiler_lehman,1000,linear,1.0,1.0
university,node_only,weisfeiler_lehman,1000,precomputed,1.0,1.0
university,node_only,weisfeiler_lehman,1000,rbf,1.0,1.0
university,node_only,weisfeiler_lehman,1000,poly,1.0,0.5
university,node_only,weisfeiler_lehman,100,linear,1.0,1.0
university,node_only,weisfeiler_lehman,100,precomputed,1.0,1.0
university,node_only,weisfeiler_lehman,100,rbf,1.0,1.0
university,node_only,weisfeiler_lehman,100,poly,1.0,0.5
university,node_only,weisfeiler_lehman,10,linear,1.0,1.0
university,node_only,weisfeiler_lehman,10,precomputed,1.0,1.0
university,node_only,weisfeiler_lehman,10,rbf,1.0,1.0
university,node_only,weisfeiler_lehman,10,poly,1.0,0.5
university,node_edge,weisfeiler_lehman,100000,linear,1.0,1.0
university,node_edge,weisfeiler_lehman,100000,precomputed,1.0,1.0
university,node_edge,weisfeiler_lehman,100000,rbf,1.0,0.6666666666666666
university,node_edge,weisfeiler_lehman,100000,poly,1.0,0.5
university,node_edge,weisfeiler_lehman,10000,linear,1.0,1.0
university,node_edge,weisfeiler_lehman,10000,precomputed,1.0,1.0
university,node_edge,weisfeiler_lehman,10000,rbf,1.0,0.6666666666666666
university,node_edge,weisfeiler_lehman,10000,poly,1.0,0.5
university,node_edge,weisfeiler_lehman,1000,linear,1.0,1.0
university,node_edge,weisfeiler_lehman,1000,precomputed,1.0,1.0
university,node_edge,weisfeiler_lehman,1000,rbf,1.0,0.6666666666666666
university,node_edge,weisfeiler_lehman,1000,poly,1.0,0.5
university,node_edge,weisfeiler_lehman,100,linear,1.0,1.0
university,node_edge,weisfeiler_lehman,100,precomputed,1.0,1.0
university,node_edge,weisfeiler_lehman,100,rbf,1.0,0.6666666666666666
university,node_edge,weisfeiler_lehman,100,poly,1.0,0.5
university,node_edge,weisfeiler_lehman,10,linear,1.0,1.0
university,node_edge,weisfeiler_lehman,10,precomputed,1.0,1.0
university,node_edge,weisfeiler_lehman,10,rbf,1.0,0.6666666666666666
university,node_edge,weisfeiler_lehman,10,poly,1.0,0.5
university,edge_based,weisfeiler_lehman,100000,linear,1.0,1.0
university,edge_based,weisfeiler_lehman,100000,precomputed,1.0,1.0
university,edge_based,weisfeiler_lehman,100000,rbf,1.0,0.6666666666666666
university,edge_based,weisfeiler_lehman,100000,poly,1.0,0.6666666666666666
university,edge_based,weisfeiler_lehman,10000,linear,1.0,1.0
university,edge_based,weisfeiler_lehman,10000,precomputed,1.0,1.0
university,edge_based,weisfeiler_lehman,10000,rbf,1.0,0.6666666666666666
university,edge_based,weisfeiler_lehman,10000,poly,1.0,0.6666666666666666
university,edge_based,weisfeiler_lehman,1000,linear,1.0,1.0
university,edge_based,weisfeiler_lehman,1000,precomputed,1.0,1.0
university,edge_based,weisfeiler_lehman,1000,rbf,1.0,0.6666666666666666
university,edge_based,weisfeiler_lehman,1000,poly,1.0,0.6666666666666666
university,edge_based,weisfeiler_lehman,100,linear,1.0,1.0
university,edge_based,weisfeiler_lehman,100,precomputed,1.0,1.0
university,edge_based,weisfeiler_lehman,100,rbf,1.0,0.6666666666666666
university,edge_based,weisfeiler_lehman,100,poly,1.0,0.6666666666666666
university,edge_based,weisfeiler_lehman,10,linear,1.0,1.0
university,edge_based,weisfeiler_lehman,10,precomputed,1.0,1.0
university,edge_based,weisfeiler_lehman,10,rbf,1.0,0.6666666666666666
university,edge_based,weisfeiler_lehman,10,poly,1.0,0.6666666666666666
university,Klog,weisfeiler_lehman,100000,linear,1.0,1.0
university,Klog,weisfeiler_lehman,100000,precomputed,1.0,1.0
university,Klog,weisfeiler_lehman,100000,rbf,1.0,1.0
university,Klog,weisfeiler_lehman,100000,poly,1.0,0.5
university,Klog,weisfeiler_lehman,10000,linear,1.0,1.0
university,Klog,weisfeiler_lehman,10000,precomputed,1.0,1.0
university,Klog,weisfeiler_lehman,10000,rbf,1.0,1.0
university,Klog,weisfeiler_lehman,10000,poly,1.0,0.5
university,Klog,weisfeiler_lehman,1000,linear,1.0,1.0
university,Klog,weisfeiler_lehman,1000,precomputed,1.0,1.0
university,Klog,weisfeiler_lehman,1000,rbf,1.0,1.0
university,Klog,weisfeiler_lehman,1000,poly,1.0,0.5
university,Klog,weisfeiler_lehman,100,linear,1.0,1.0
university,Klog,weisfeiler_lehman,100,precomputed,1.0,1.0
university,Klog,weisfeiler_lehman,100,rbf,1.0,1.0
university,Klog,weisfeiler_lehman,100,poly,1.0,0.5
university,Klog,weisfeiler_lehman,10,linear,1.0,1.0
university,Klog,weisfeiler_lehman,10,precomputed,1.0,1.0
university,Klog,weisfeiler_lehman,10,rbf,1.0,1.0
university,Klog,weisfeiler_lehman,10,poly,1.0,0.5
