train_acc,train_loss,val_acc,test_acc,test_acc_std,lr,epoch,model,layers,hidden_dims,total_epochs,runtime,test_size,val_size,train_size,representation
1.0,0.4724931865930557,1.0,1.0,0.0,1e-05,121,GINE,3,128,200,2.1155803203582764,1,3,18,edge_based
1.0,1.6254786029458046,0.6666666666666666,1.0,0.0,1e-05,121,GINE,3,128,200,2.9356846809387207,1,3,18,node_only
1.0,0.11304471641778946,0.3333333333333333,1.0,0.0,1e-05,121,GINE,3,128,200,2.151041348775228,1,3,18,node_edge
1.0,0.20411277562379837,0.3333333333333333,1.0,0.0,1e-05,121,GINE,3,128,200,2.2256357669830322,1,3,18,Klog
1.0,6.390432983636856,1.0,0.9444444444444445,0.0785674201318386,1e-05,125,GINE,3,256,200,2.5647358099619546,1,3,18,edge_based
1.0,1.521760143339634,1.0,1.0,0.0,1e-05,125,GINE,3,256,200,3.890526533126831,1,3,18,node_only
1.0,0.5977431684732437,0.6666666666666666,1.0,0.0,1e-05,126,GINE,3,256,200,2.553311030069987,1,3,18,node_edge
1.0,2.1592029333114624,1.0,1.0,0.0,1e-05,123,GINE,3,256,200,2.6610536575317383,1,3,18,Klog
0.9444444444444444,1.2768728584051132,1.0,1.0,0.0,1e-05,127,GCN,3,128,200,0.7227292855580648,1,3,18,edge_based
1.0,0.013021634891629219,1.0,1.0,0.0,1e-05,123,GCN,3,128,200,1.082837740580241,1,3,18,node_only
1.0,0.0004273635568097234,0.6666666666666666,1.0,0.0,1e-05,121,GCN,3,128,200,0.7206127643585205,1,3,18,node_edge
0.9444444444444444,0.11092919111234778,1.0,1.0,0.0,1e-05,122,GCN,3,128,200,0.7399637699127197,1,3,18,Klog
0.9444444444444444,0.4565636217594147,1.0,1.0,0.0,1e-05,121,GCN,3,256,200,0.9002759456634521,1,3,18,edge_based
1.0,0.00034609611611813307,0.6666666666666666,1.0,0.0,1e-05,123,GCN,3,256,200,1.6081163088480632,1,3,18,node_only
1.0,0.04023478546241677,0.6666666666666666,1.0,0.0,1e-05,122,GCN,3,256,200,0.8686559200286865,1,3,18,node_edge
1.0,0.05049056839197874,0.6666666666666666,1.0,0.0,1e-05,125,GCN,3,256,200,0.9294020334879557,1,3,18,Klog
0.9444444444444444,0.89913509786129,0.3333333333333333,1.0,0.0,1e-05,122,GlobalAttentionNet,3,128,200,0.7159661451975504,1,3,18,edge_based
1.0,0.0070077781565487385,0.6666666666666666,1.0,0.0,1e-05,126,GlobalAttentionNet,3,128,200,0.952502171198527,1,3,18,node_only
1.0,0.09212732687592506,1.0,1.0,0.0,1e-05,128,GlobalAttentionNet,3,128,200,0.7225146293640137,1,3,18,node_edge
1.0,0.18968496099114418,1.0,1.0,0.0,1e-05,127,GlobalAttentionNet,3,128,200,0.7495306332906088,1,3,18,Klog
0.9444444444444444,0.3657858818769455,1.0,1.0,0.0,1e-05,125,GlobalAttentionNet,3,256,200,0.9473170439402262,1,3,18,edge_based
1.0,0.013861160943633877,0.6666666666666666,0.9444444444444445,0.0785674201318386,1e-05,121,GlobalAttentionNet,3,256,200,1.3374889691670735,1,3,18,node_only
1.0,0.00013211149780545384,0.3333333333333333,1.0,0.0,1e-05,124,GlobalAttentionNet,3,256,200,0.9232959747314453,1,3,18,node_edge
1.0,0.2518487125635147,1.0,1.0,0.0,1e-05,123,GlobalAttentionNet,3,256,200,0.9741199811299642,1,3,18,Klog
0.9444444444444444,0.2888667583465576,0.6666666666666666,1.0,0.0,1e-05,122,SAGPool,3,128,200,0.9506229559580485,1,3,18,edge_based
1.0,0.03219536314918514,0.6666666666666666,1.0,0.0,1e-05,122,SAGPool,3,128,200,1.2618963718414307,1,3,18,node_only
0.9444444444444444,0.20681466162204742,1.0,1.0,0.0,1e-05,123,SAGPool,3,128,200,0.9239446322123209,1,3,18,node_edge
1.0,0.04033756523858756,1.0,1.0,0.0,1e-05,122,SAGPool,3,128,200,0.9632111390431722,1,3,18,Klog
0.9444444444444444,0.17627855762839317,0.3333333333333333,1.0,0.0,1e-05,122,SAGPool,3,256,200,1.279757022857666,1,3,18,edge_based
1.0,0.00010841515904758126,0.6666666666666666,1.0,0.0,1e-05,124,SAGPool,3,256,200,1.810174862543742,1,3,18,node_only
1.0,5.5384894949384034e-05,0.6666666666666666,1.0,0.0,1e-05,123,SAGPool,3,256,200,1.279384930928548,1,3,18,node_edge
1.0,0.027870282530784607,1.0,1.0,0.0,1e-05,122,SAGPool,3,256,200,1.3295108477274578,1,3,18,Klog
