"Name","Runtime","Notes","State","Tags","dataset_size","hidden_dims","layers","test_acc","val_acc"
"zesty-sweep-96","21","-","finished","","200","128","5","1","1"
"zesty-sweep-95","16","-","finished","","200","128","4","1","1"
"unique-sweep-94","15","-","finished","","200","128","3","1","1"
"whole-sweep-93","14","-","finished","","200","128","2","1","1"
"polar-sweep-92","16","-","finished","","200","64","5","1","1"
"worthy-sweep-91","14","-","finished","","200","64","4","1","1"
"ruby-sweep-90","14","-","finished","","200","64","3","1","1"
"treasured-sweep-89","13","-","finished","","200","64","2","1","1"
"toasty-sweep-88","20","-","finished","","200","32","5","1","1"
"noble-sweep-87","15","-","finished","","200","32","4","1","1"
"rural-sweep-86","21","-","finished","","200","32","3","1","0.9523809523809524"
"icy-sweep-85","15","-","finished","","200","32","2","1","1"
"likely-sweep-84","16","-","finished","","175","128","5","1","1"
"hearty-sweep-83","18","-","finished","","175","128","4","1","1"
"whole-sweep-82","14","-","finished","","175","128","3","1","1"
"young-sweep-81","13","-","finished","","175","128","2","1","1"
"curious-sweep-80","18","-","finished","","175","64","5","1","0.9761904761904762"
"stoic-sweep-79","16","-","finished","","175","64","4","1","1"
"northern-sweep-78","13","-","finished","","175","64","3","1","0.9761904761904762"
"misty-sweep-77","12","-","finished","","175","64","2","1","1"
"colorful-sweep-76","18","-","finished","","175","32","5","1","1"
"floral-sweep-75","14","-","finished","","175","32","4","1","1"
"upbeat-sweep-74","17","-","finished","","175","32","3","1","1"
"true-sweep-73","10","-","finished","","175","32","2","1","1"
"devout-sweep-72","21","-","finished","","150","128","5","1","0.9761904761904762"
"different-sweep-71","19","-","finished","","150","128","4","1","1"
"snowy-sweep-70","15","-","finished","","150","128","3","1","1"
"frosty-sweep-69","11","-","finished","","150","128","2","1","1"
"exalted-sweep-68","14","-","finished","","150","64","5","1","1"
"helpful-sweep-67","15","-","finished","","150","64","4","1","0.9523809523809524"
"flowing-sweep-66","12","-","finished","","150","64","3","1","1"
"dry-sweep-65","15","-","finished","","150","64","2","1","1"
"sunny-sweep-64","15","-","finished","","150","32","5","1","1"
"earthy-sweep-63","11","-","finished","","150","32","4","1","1"
"northern-sweep-62","10","-","finished","","150","32","3","1","0.9761904761904762"
"bumbling-sweep-61","10","-","finished","","150","32","2","1","1"
"solar-sweep-60","13","-","finished","","125","128","5","1","0.9761904761904762"
"fluent-sweep-59","12","-","finished","","125","128","4","1","0.9761904761904762"
"ancient-sweep-58","11","-","finished","","125","128","3","1","1"
"sunny-sweep-57","11","-","finished","","125","128","2","1","1"
"fancy-sweep-56","14","-","finished","","125","64","5","1","1"
"fresh-sweep-55","10","-","finished","","125","64","4","1","0.9761904761904762"
"clean-sweep-54","13","-","finished","","125","64","3","1","1"
"distinctive-sweep-53","11","-","finished","","125","64","2","1","1"
"sunny-sweep-52","12","-","finished","","125","32","5","0.94","0.9523809523809524"
"electric-sweep-51","10","-","finished","","125","32","4","0.98","1"
"winter-sweep-50","10","-","finished","","125","32","3","1","1"
"tough-sweep-49","13","-","finished","","125","32","2","1","0.9523809523809524"
"wild-sweep-48","20","-","finished","","100","128","5","0.92","0.9523809523809524"
"apricot-sweep-47","20","-","finished","","100","128","4","1","1"
"cosmic-sweep-46","10","-","finished","","100","128","3","1","0.9761904761904762"
"lilac-sweep-45","12","-","finished","","100","128","2","1","1"
"dashing-sweep-44","12","-","finished","","100","64","5","0.98","0.9523809523809524"
"fancy-sweep-43","12","-","finished","","100","64","4","0.96","0.9523809523809524"
"toasty-sweep-42","9","-","finished","","100","64","3","0.96","1"
"floral-sweep-41","12","-","finished","","100","64","2","1","1"
"electric-sweep-40","11","-","finished","","100","32","5","0.92","0.9047619047619048"
"elated-sweep-39","9","-","finished","","100","32","4","0.96","0.9523809523809524"
"neat-sweep-38","10","-","finished","","100","32","3","0.98","0.9523809523809524"
"winter-sweep-37","9","-","finished","","100","32","2","1","1"
"earthy-sweep-36","14","-","finished","","75","128","5","0.96","0.9523809523809524"
"proud-sweep-35","13","-","finished","","75","128","4","0.96","0.9523809523809524"
"crimson-sweep-34","9","-","finished","","75","128","3","0.98","1"
"glorious-sweep-33","10","-","finished","","75","128","2","1","1"
"pious-sweep-32","12","-","finished","","75","64","5","0.96","0.9047619047619048"
"dry-sweep-31","11","-","finished","","75","64","4","0.92","0.8571428571428571"
"autumn-sweep-30","16","-","finished","","75","64","3","0.98","0.9761904761904762"
"flowing-sweep-29","10","-","finished","","75","64","2","0.94","0.9523809523809524"
"easy-sweep-28","11","-","finished","","75","32","5","0.92","0.9047619047619048"
"glamorous-sweep-27","12","-","finished","","75","32","4","0.86","0.8571428571428571"
"blooming-sweep-26","18","-","finished","","75","32","3","0.92","0.8809523809523809"
"light-sweep-25","10","-","finished","","75","32","2","0.98","1"
"honest-sweep-24","14","-","finished","","50","128","5","0.76","0.8095238095238095"
"trim-sweep-23","14","-","finished","","50","128","4","0.84","0.8095238095238095"
"curious-sweep-22","10","-","finished","","50","128","3","0.86","0.8571428571428571"
"fancy-sweep-21","11","-","finished","","50","128","2","0.84","0.7619047619047619"
"major-sweep-20","12","-","finished","","50","64","5","0.7","0.5714285714285714"
"fragrant-sweep-19","18","-","finished","","50","64","4","0.8","0.8571428571428571"
"sage-sweep-18","9","-","finished","","50","64","3","0.76","0.7619047619047619"
"distinctive-sweep-17","12","-","finished","","50","64","2","0.9","0.9047619047619048"
"crisp-sweep-16","11","-","finished","","50","32","5","0.84","0.7857142857142857"
"whole-sweep-15","10","-","finished","","50","32","4","0.76","0.7142857142857143"
"decent-sweep-14","11","-","finished","","50","32","3","0.84","0.7142857142857143"
"fresh-sweep-13","11","-","finished","","50","32","2","0.86","0.8333333333333334"
"floral-sweep-12","14","-","finished","","25","128","5","0.84","0.7857142857142857"
"denim-sweep-11","9","-","finished","","25","128","4","0.82","0.8095238095238095"
"true-sweep-10","11","-","finished","","25","128","3","0.84","0.7857142857142857"
"silvery-sweep-9","17","-","finished","","25","128","2","0.9","0.9047619047619048"
"stellar-sweep-8","10","-","finished","","25","64","5","0.82","0.6428571428571429"
"morning-sweep-7","10","-","finished","","25","64","4","0.8","0.7142857142857143"
"sunny-sweep-6","16","-","finished","","25","64","3","0.88","0.8333333333333334"
"tough-sweep-5","14","-","finished","","25","64","2","0.94","0.9047619047619048"
"whole-sweep-4","15","-","finished","","25","32","5","0.78","0.7142857142857143"
"dazzling-sweep-3","11","-","finished","","25","32","4","0.86","0.8571428571428571"
"ethereal-sweep-2","12","-","finished","","25","32","3","0.9","0.7619047619047619"
"misunderstood-sweep-1","11","-","finished","","25","32","2","0.88","0.8809523809523809"
