"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_size","epochs","hidden","hidden_dims","layers","repetitions","start_lr","best_test_acc","best_val_acc","epoch","lr","test_acc","train_acc","val_acc"
"sweepy-sweep-96","finished","-","nicolas-debie","","2023-11-13T22:42:42.000Z","32","1u60knq4","64","200","200","","128","5","","0.01","","","199","0.00001","1","1","1"
"vocal-sweep-95","finished","-","nicolas-debie","","2023-11-13T22:42:09.000Z","25","1u60knq4","64","200","200","","128","4","","0.01","","","199","0.00001","1","1","1"
"wise-sweep-94","finished","-","nicolas-debie","","2023-11-13T22:41:43.000Z","22","1u60knq4","64","200","200","","128","3","","0.01","","","199","0.00001","1","1","1"
"atomic-sweep-93","finished","-","nicolas-debie","","2023-11-13T22:41:22.000Z","16","1u60knq4","64","200","200","","128","2","","0.01","","","151","0.00001","1","1","1"
"winter-sweep-92","finished","-","nicolas-debie","","2023-11-13T22:40:55.000Z","24","1u60knq4","64","200","200","","64","5","","0.01","","","199","0.00001","0.98","1","1"
"dutiful-sweep-91","finished","-","nicolas-debie","","2023-11-13T22:40:28.000Z","23","1u60knq4","64","200","200","","64","4","","0.01","","","173","0.00001","0.98","1","1"
"wobbly-sweep-90","finished","-","nicolas-debie","","2023-11-13T22:40:08.000Z","17","1u60knq4","64","200","200","","64","3","","0.01","","","199","0.00001","1","1","1"
"revived-sweep-89","finished","-","nicolas-debie","","2023-11-13T22:39:47.000Z","15","1u60knq4","64","200","200","","64","2","","0.01","","","199","0.00001","0.98","1","1"
"winter-sweep-88","finished","-","nicolas-debie","","2023-11-13T22:39:21.000Z","21","1u60knq4","64","200","200","","32","5","","0.01","","","181","0.00001","0.98","1","1"
"azure-sweep-87","finished","-","nicolas-debie","","2023-11-13T22:39:00.000Z","17","1u60knq4","64","200","200","","32","4","","0.01","","","199","0.00001","0.98","1","1"
"visionary-sweep-86","finished","-","nicolas-debie","","2023-11-13T22:38:39.000Z","15","1u60knq4","64","200","200","","32","3","","0.01","","","199","0.00001","1","1","1"
"toasty-sweep-85","finished","-","nicolas-debie","","2023-11-13T22:38:18.000Z","17","1u60knq4","64","200","200","","32","2","","0.01","","","199","0.00001","1","1","1"
"zany-sweep-84","finished","-","nicolas-debie","","2023-11-13T22:37:46.000Z","24","1u60knq4","64","175","200","","128","5","","0.01","","","199","0.00001","1","1","1"
"brisk-sweep-83","finished","-","nicolas-debie","","2023-11-13T22:37:25.000Z","19","1u60knq4","64","175","200","","128","4","","0.01","","","199","0.00001","0.98","1","1"
"desert-sweep-82","finished","-","nicolas-debie","","2023-11-13T22:36:59.000Z","22","1u60knq4","64","175","200","","128","3","","0.01","","","199","0.00001","1","1","1"
"valiant-sweep-81","finished","-","nicolas-debie","","2023-11-13T22:36:38.000Z","15","1u60knq4","64","175","200","","128","2","","0.01","","","199","0.00001","1","1","1"
"crimson-sweep-80","finished","-","nicolas-debie","","2023-11-13T22:36:12.000Z","21","1u60knq4","64","175","200","","64","5","","0.01","","","199","0.00001","1","1","1"
"spring-sweep-79","finished","-","nicolas-debie","","2023-11-13T22:35:51.000Z","16","1u60knq4","64","175","200","","64","4","","0.01","","","199","0.00001","0.98","1","1"
"hardy-sweep-78","finished","-","nicolas-debie","","2023-11-13T22:35:25.000Z","21","1u60knq4","64","175","200","","64","3","","0.01","","","199","0.00001","0.98","1","1"
"cerulean-sweep-77","finished","-","nicolas-debie","","2023-11-13T22:35:04.000Z","14","1u60knq4","64","175","200","","64","2","","0.01","","","199","0.00001","1","1","1"
"earnest-sweep-76","finished","-","nicolas-debie","","2023-11-13T22:34:43.000Z","15","1u60knq4","64","175","200","","32","5","","0.01","","","199","0.00001","1","1","1"
"solar-sweep-75","finished","-","nicolas-debie","","2023-11-13T22:34:27.000Z","13","1u60knq4","64","175","200","","32","4","","0.01","","","199","0.00001","1","1","1"
"vibrant-sweep-74","finished","-","nicolas-debie","","2023-11-13T22:34:11.000Z","13","1u60knq4","64","175","200","","32","3","","0.01","","","199","0.00001","1","1","1"
"restful-sweep-73","finished","-","nicolas-debie","","2023-11-13T22:33:55.000Z","12","1u60knq4","64","175","200","","32","2","","0.01","","","199","0.00001","0.98","1","1"
