"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_size","epochs","hidden","hidden_dims","layers","repetitions","start_lr","best_test_acc","best_val_acc","epoch","lr","test_acc","train_acc","val_acc"
"deft-sweep-96","finished","-","nicolas-debie","","2023-11-13T21:51:52.000Z","20","tdztg2wo","64","200","200","","128","5","","0.01","","","171","0.00001","0.96","1","1"
"zesty-sweep-95","finished","-","nicolas-debie","","2023-11-13T21:51:31.000Z","18","tdztg2wo","64","200","200","","128","4","","0.01","","","199","0.00001","1","1","1"
"icy-sweep-94","finished","-","nicolas-debie","","2023-11-13T21:51:05.000Z","21","tdztg2wo","64","200","200","","128","3","","0.01","","","199","0.00001","1","1","1"
"splendid-sweep-93","finished","-","nicolas-debie","","2023-11-13T21:50:44.000Z","15","tdztg2wo","64","200","200","","128","2","","0.01","","","199","0.00001","1","1","1"
"leafy-sweep-92","finished","-","nicolas-debie","","2023-11-13T21:50:23.000Z","19","tdztg2wo","64","200","200","","64","5","","0.01","","","199","0.00001","1","1","1"
"different-sweep-91","finished","-","nicolas-debie","","2023-11-13T21:50:02.000Z","16","tdztg2wo","64","200","200","","64","4","","0.01","","","199","0.00001","1","1","1"
"stoic-sweep-90","finished","-","nicolas-debie","","2023-11-13T21:49:41.000Z","16","tdztg2wo","64","200","200","","64","3","","0.01","","","199","0.00001","1","1","1"
"mild-sweep-89","finished","-","nicolas-debie","","2023-11-13T21:49:26.000Z","11","tdztg2wo","64","200","200","","64","2","","0.01","","","199","0.00001","0.98","1","1"
"desert-sweep-88","finished","-","nicolas-debie","","2023-11-13T21:49:00.000Z","21","tdztg2wo","64","200","200","","32","5","","0.01","","","199","0.00001","1","1","1"
"fluent-sweep-87","finished","-","nicolas-debie","","2023-11-13T21:48:39.000Z","14","tdztg2wo","64","200","200","","32","4","","0.01","","","199","0.00001","1","1","1"
"quiet-sweep-86","finished","-","nicolas-debie","","2023-11-13T21:48:18.000Z","15","tdztg2wo","64","200","200","","32","3","","0.01","","","199","0.00001","0.98","1","1"
"chocolate-sweep-85","finished","-","nicolas-debie","","2023-11-13T21:48:02.000Z","13","tdztg2wo","64","200","200","","32","2","","0.01","","","199","0.00001","1","1","1"
