n_examples,n_pos_examples,n_neg_examples,accuracy,accuracy_std,accuracy_default,cramers_coeff,TP,FN,type,total_examples,time_total,object_complexity,relation_complexity
8,4,4,0.5,0.176776695296637,0.5,0.0,0.0,0.0,training,10,0.02,10,5
2,1,1,0.5,0.353553390593274,0.5,0.0,0.0,0.0,testing,10,0.02,10,5
16,9,7,0.9375,0.0605153647844909,0.5625,0.87831006565368,1.0,0.142857142857143,training,20,0.04,10,5
4,1,3,0.75,0.21650635094611,0.75,0.577350269189626,1.0,0.333333333333333,testing,20,0.04,10,5
24,10,14,0.708333333333333,0.0927804806658846,0.583333333333333,0.392792202424786,0.6,0.214285714285714,training,30,0.11,10,5
6,5,1,0.5,0.204124145231932,0.833333333333333,0.316227766016838,0.4,0.0,testing,30,0.11,10,5
32,16,16,0.96875,0.0307578432578586,0.5,0.939336436627724,1.0,0.0625,training,40,0.07,10,5
8,4,4,1.0,0.0,0.5,1.0,1.0,0.0,testing,40,0.07,10,5
40,19,21,0.925,0.0416458281223942,0.525,0.850320519688241,0.894736842105263,0.0476190476190476,training,50,0.16,10,5
10,6,4,0.9,0.0948683298050514,0.6,0.816496580927726,0.833333333333333,0.0,testing,50,0.16,10,5
48,23,25,0.895833333333333,0.0440917538166677,0.520833333333333,0.810643483377778,1.0,0.2,training,60,0.09,10,5
12,7,5,0.833333333333333,0.107582870727984,0.583333333333333,0.683130051063973,1.0,0.4,testing,60,0.09,10,5
56,29,27,1.0,0.0,0.517857142857143,1.0,1.0,0.0,training,70,0.07,10,5
14,6,8,1.0,0.0,0.571428571428571,1.0,1.0,0.0,testing,70,0.07,10,5
64,32,32,1.0,0.0,0.5,1.0,1.0,0.0,training,80,0.08,10,5
16,8,8,1.0,0.0,0.5,1.0,1.0,0.0,testing,80,0.08,10,5
72,34,38,1.0,0.0,0.527777777777778,1.0,1.0,0.0,training,90,0.08,10,5
18,11,7,1.0,0.0,0.611111111111111,1.0,1.0,0.0,testing,90,0.08,10,5
80,42,38,0.8625,0.0385022320781536,0.525,0.750372300841991,1.0,0.289473684210526,training,100,0.32,10,5
20,8,12,0.85,0.0798435971133566,0.6,0.738548945875996,1.0,0.25,testing,100,0.32,10,5
88,42,46,1.0,0.0,0.522727272727273,1.0,1.0,0.0,training,110,0.08,10,5
22,13,9,1.0,0.0,0.590909090909091,1.0,1.0,0.0,testing,110,0.08,10,5
96,51,45,1.0,0.0,0.53125,1.0,1.0,0.0,training,120,0.08,10,5
24,9,15,1.0,0.0,0.625,1.0,1.0,0.0,testing,120,0.08,10,5
104,49,55,1.0,0.0,0.528846153846154,1.0,1.0,0.0,training,130,0.07,10,5
26,16,10,1.0,0.0,0.615384615384615,1.0,1.0,0.0,testing,130,0.07,10,5
112,59,53,1.0,0.0,0.526785714285714,1.0,1.0,0.0,training,140,0.08,10,5
28,11,17,1.0,0.0,0.607142857142857,1.0,1.0,0.0,testing,140,0.08,10,5
120,60,60,0.916666666666667,0.0252304196174791,0.5,0.845154254728517,1.0,0.166666666666667,training,150,0.3,10,5
30,15,15,0.833333333333333,0.0680413817439772,0.5,0.707106781186548,1.0,0.333333333333333,testing,150,0.3,10,5
128,61,67,1.0,0.0,0.5234375,1.0,1.0,0.0,training,160,0.11,10,5
32,19,13,1.0,0.0,0.59375,1.0,1.0,0.0,testing,160,0.11,10,5
136,65,71,0.852941176470588,0.0303693593106262,0.522058823529412,0.741144907995655,1.0,0.28169014084507,training,170,0.31,10,5
34,20,14,0.970588235294118,0.0289760107689347,0.588235294117647,0.940400840863405,1.0,0.0714285714285714,testing,170,0.31,10,5
144,71,73,1.0,0.0,0.506944444444444,1.0,1.0,0.0,training,180,0.08,10,5
36,19,17,1.0,0.0,0.527777777777778,1.0,1.0,0.0,testing,180,0.08,10,5
152,72,80,1.0,0.0,0.526315789473684,1.0,1.0,0.0,training,190,0.09,10,5
38,23,15,1.0,0.0,0.605263157894737,1.0,1.0,0.0,testing,190,0.09,10,5
