n_examples,n_pos_examples,n_neg_examples,accuracy,accuracy_std,accuracy_default,cramers_coeff,TP,FN,type,total_examples,time_total
8,4,4,0.875,0.116926793336686,0.5,0.774596669241483,1.0,0.25,training,10,0.03
2,1,1,0.5,0.353553390593274,0.5,0.0,1.0,1.0,testing,10,0.03
16,9,7,0.9375,0.0605153647844909,0.5625,0.87831006565368,1.0,0.142857142857143,training,20,0.03
4,1,3,0.75,0.21650635094611,0.75,0.577350269189626,1.0,0.333333333333333,testing,20,0.03
24,12,12,0.833333333333333,0.0760725774312731,0.5,0.707106781186548,1.0,0.333333333333333,training,30,0.08
6,3,3,1.0,0.0,0.5,1.0,1.0,0.0,testing,30,0.08
32,16,16,1.0,0.0,0.5,1.0,1.0,0.0,training,40,0.07
8,4,4,1.0,0.0,0.5,1.0,1.0,0.0,testing,40,0.07
40,19,21,0.925,0.0416458281223942,0.525,0.86038348441828,1.0,0.142857142857143,training,50,0.12
10,6,4,0.8,0.126491106406735,0.6,0.612372435695794,1.0,0.5,testing,50,0.12
48,22,26,1.0,0.0,0.541666666666667,1.0,1.0,0.0,training,60,0.07
12,8,4,1.0,0.0,0.666666666666667,1.0,1.0,0.0,testing,60,0.07
56,28,28,1.0,0.0,0.5,1.0,1.0,0.0,training,70,0.07
14,7,7,1.0,0.0,0.5,1.0,1.0,0.0,testing,70,0.07
64,34,30,1.0,0.0,0.53125,1.0,1.0,0.0,training,80,0.07
16,6,10,1.0,0.0,0.625,1.0,1.0,0.0,testing,80,0.07
72,36,36,1.0,0.0,0.5,1.0,1.0,0.0,training,90,0.08
18,9,9,1.0,0.0,0.5,1.0,1.0,0.0,testing,90,0.08
80,41,39,1.0,0.0,0.5125,1.0,1.0,0.0,training,100,0.07
20,9,11,1.0,0.0,0.55,1.0,1.0,0.0,testing,100,0.07
88,43,45,1.0,0.0,0.511363636363636,1.0,1.0,0.0,training,110,0.08
22,12,10,1.0,0.0,0.545454545454545,1.0,1.0,0.0,testing,110,0.08
96,50,46,1.0,0.0,0.520833333333333,1.0,1.0,0.0,training,120,0.08
24,10,14,1.0,0.0,0.583333333333333,1.0,1.0,0.0,testing,120,0.08
104,48,56,1.0,0.0,0.538461538461538,1.0,1.0,0.0,training,130,0.08
26,17,9,1.0,0.0,0.653846153846154,1.0,1.0,0.0,testing,130,0.08
112,59,53,1.0,0.0,0.526785714285714,1.0,1.0,0.0,training,140,0.08
28,11,17,1.0,0.0,0.607142857142857,1.0,1.0,0.0,testing,140,0.08
120,63,57,1.0,0.0,0.525,1.0,1.0,0.0,training,150,0.08
30,12,18,1.0,0.0,0.6,1.0,1.0,0.0,testing,150,0.08
128,62,66,1.0,0.0,0.515625,1.0,1.0,0.0,training,160,0.09
32,18,14,1.0,0.0,0.5625,1.0,1.0,0.0,testing,160,0.09
136,66,70,1.0,0.0,0.514705882352941,1.0,1.0,0.0,training,170,0.08
34,19,15,1.0,0.0,0.558823529411765,1.0,1.0,0.0,testing,170,0.08
144,72,72,1.0,0.0,0.5,1.0,1.0,0.0,training,180,0.08
36,18,18,1.0,0.0,0.5,1.0,1.0,0.0,testing,180,0.08
152,72,80,1.0,0.0,0.526315789473684,1.0,1.0,0.0,training,190,0.08
38,23,15,1.0,0.0,0.605263157894737,1.0,1.0,0.0,testing,190,0.08
